VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    CTC        2519   964   730    59   766
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    CTC        2519   675   496    81  1267
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    CTC        2519   369   353   106  1691
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    CTC        2519   162   229   147  1981
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    CTC        2519    19    53    75  2372
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    CTC        2519     5    23    19  2472
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    CTC        2519     2     7     7  2503
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    CTC        2519     0     6     5  2508
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    CTC        2519   964   749    59   747
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    CTC        2519   679   491    77  1272
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    CTC        2519   368   357   107  1687
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    CTC        2519   165   222   144  1988
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=25.0      >=25.0     NA         NA    CTC        2519    19    51    75  2374
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=50.0      >=50.0     NA         NA    CTC        2519     4    22    20  2473
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=75.0      >=75.0     NA         NA    CTC        2519     2     7     7  2503
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=100.0     >=100.0    NA         NA    CTC        2519     0     6     5  2508
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=0.1       >=0.1      NA         NA    CTC        2519   970   754    53   742
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=1         >=1        NA         NA    CTC        2519   681   501    75  1262
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=5.0       >=5.0      NA         NA    CTC        2519   370   356   105  1688
