VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL F_RATE    H_RATE     O_RATE
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    FHO        2519 0.67249   0.38269    0.40611
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    FHO        2519 0.46487   0.26796    0.30012
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    FHO        2519 0.28662   0.14649    0.18857
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    FHO        2519 0.15522   0.064311   0.12267
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    FHO        2519 0.028583  0.0075427  0.037316
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    FHO        2519 0.011116  0.0019849  0.0095276
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    FHO        2519 0.0035728 0.00079397 0.0035728
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    FHO        2519 0.0023819 0          0.0019849
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    FHO        2519 0.68003   0.38269    0.40611
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    FHO        2519 0.46447   0.26955    0.30012
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    FHO        2519 0.28781   0.14609    0.18857
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    FHO        2519 0.15363   0.065502   0.12267
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=25.0      >=25.0     NA         NA    FHO        2519 0.027789  0.0075427  0.037316
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=50.0      >=50.0     NA         NA    FHO        2519 0.010322  0.0015879  0.0095276
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=75.0      >=75.0     NA         NA    FHO        2519 0.0035728 0.00079397 0.0035728
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=100.0     >=100.0    NA         NA    FHO        2519 0.0023819 0          0.0019849
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=0.1       >=0.1      NA         NA    FHO        2519 0.6844    0.38507    0.40611
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=1         >=1        NA         NA    FHO        2519 0.46923   0.27035    0.30012
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=5.0       >=5.0      NA         NA    FHO        2519 0.28821   0.14688    0.18857
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=10.0      >=10.0     NA         NA    FHO        2519 0.15601   0.067487   0.12267
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=25.0      >=25.0     NA         NA    FHO        2519 0.028583  0.0079397  0.037316
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=50.0      >=50.0     NA         NA    FHO        2519 0.010719  0.0019849  0.0095276
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=75.0      >=75.0     NA         NA    FHO        2519 0.0035728 0.00079397 0.0035728
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=100.0     >=100.0    NA         NA    FHO        2519 0.0027789 0          0.0019849
