VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL     CSI_NCU    CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL      HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS      ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50399 0.54184     0.53818    0.54548           NA        NA 0.7541     0.75093    0.75724           NA        NA 0.69912 0.69575 0.70247      NA      NA  1.39175        NA        NA  0.91823   0.9162      0.92021          NA       NA 0.44     0.43636  0.44364       NA       NA 0.56       0.55636    0.56364          NA       NA 0.34024 0.33677 0.34372      NA      NA 0.62315   0.61959    0.6267          NA      NA  0.22814         NA      NA  0.35823     0.3542      0.36226      NA     NA  0.37152         NA      NA   8.82295  8.45695   9.20479       NA       NA  2.17736   2.13499   2.21972        NA        NA  0.7964   0.78865  0.80414       NA       NA  0.7556   0.74813  0.76307      NA      NA  0.28208  0.27662  0.28753       NA       NA  0.74348  0.72283  0.76413      NA      NA  0.54571  0.71829  0.76867       NA       NA  0.28135         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50399 0.54184     0.53748    0.54618           NA        NA 0.7541     0.75032    0.75784           NA        NA 0.69912 0.6951  0.70311      NA      NA  1.39175        NA        NA  0.91823   0.9158      0.92059          NA       NA 0.44     0.43567  0.44434       NA       NA 0.56       0.55566    0.56433          NA       NA 0.34024 0.33611 0.34438      NA      NA 0.62315   0.61891    0.62737         NA      NA  0.22814         NA      NA  0.35823     0.35343     0.36303      NA     NA  0.37152         NA      NA   8.82295  8.38858   9.27981       NA       NA  2.17736   2.12687   2.22784        NA        NA  0.7964   0.78716  0.80563       NA       NA  0.7556   0.7467   0.7645       NA      NA  0.28208  0.27558  0.28858       NA       NA  0.74348  0.71888  0.76809      NA      NA  0.54571  0.71346  0.7735        NA       NA  0.28135         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50399 0.40152     0.39793    0.40511           NA        NA 0.56287    0.55923    0.5665            NA        NA 0.72515 0.72187 0.72841      NA      NA  1.40186        NA        NA  0.85867   0.8561      0.8612           NA       NA 0.63558  0.63205  0.6391        NA       NA 0.36442    0.3609     0.36795          NA       NA 0.38748 0.38392 0.39105      NA      NA 0.55642   0.55278    0.56006         NA      NA  0.30174         NA      NA  0.49425     0.48904     0.49945      NA     NA  0.46359         NA      NA  10.59624 10.19515  11.01311       NA       NA  2.3605    2.32191   2.39909        NA        NA  0.82753  0.82145  0.83361       NA       NA  0.71382  0.70627  0.72137      NA      NA  0.3966   0.39045  0.40276       NA       NA  0.7377   0.72425  0.75115      NA      NA  0.66089  0.72251  0.75289       NA       NA  0.306           NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50399 0.40152     0.39724    0.4058            NA        NA 0.56287    0.55853    0.56719           NA        NA 0.72515 0.72124 0.72903      NA      NA  1.40186        NA        NA  0.85867   0.8556      0.86168          NA       NA 0.63558  0.63137  0.63977       NA       NA 0.36442    0.36023    0.36863          NA       NA 0.38748 0.38323 0.39174      NA      NA 0.55642   0.55208    0.56076         NA      NA  0.30174         NA      NA  0.49425     0.48804     0.50045      NA     NA  0.46359         NA      NA  10.59624 10.12006  11.09482       NA       NA  2.3605    2.31452   2.40648        NA        NA  0.82753  0.82028  0.83478       NA       NA  0.71382  0.70482  0.72282      NA      NA  0.3966   0.38927  0.40394       NA       NA  0.7377   0.72167  0.75373      NA      NA  0.66089  0.7196   0.7558        NA       NA  0.306           NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50399 0.22155     0.21852    0.22461           NA        NA 0.31919    0.31579    0.32262           NA        NA 0.78327 0.78024 0.78627      NA      NA  1.44071        NA        NA  0.73124   0.72798     0.73447          NA       NA 0.79808  0.79512  0.801         NA       NA 0.20192    0.199      0.20488          NA       NA 0.49245 0.48878 0.49611      NA      NA 0.42776   0.42413    0.43138         NA      NA  0.29637         NA      NA  0.52932     0.5215      0.53714      NA     NA  0.45724         NA      NA  10.75356 10.32413  11.20086       NA       NA  2.37524   2.33448   2.41599        NA        NA  0.82984  0.82349  0.83618       NA       NA  0.65605  0.64746  0.66463      NA      NA  0.45543  0.44789  0.46298       NA       NA  0.67273  0.66008  0.68537      NA      NA  0.688    0.6603   0.68516       NA       NA  0.27626         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50399 0.22155     0.21795    0.2252            NA        NA 0.31919    0.31514    0.32328           NA        NA 0.78327 0.77965 0.78684      NA      NA  1.44071        NA        NA  0.73124   0.72735     0.73509          NA       NA 0.79808  0.79455  0.80156       NA       NA 0.20192    0.19844    0.20545          NA       NA 0.49245 0.48808 0.49681      NA      NA 0.42776   0.42344    0.43208         NA      NA  0.29637         NA      NA  0.52932     0.52        0.53863      NA     NA  0.45724         NA      NA  10.75356 10.24384  11.28865       NA       NA  2.37524   2.32668   2.4238         NA        NA  0.82984  0.82228  0.8374        NA       NA  0.65605  0.64582  0.66628      NA      NA  0.45543  0.44644  0.46443       NA       NA  0.67273  0.65766  0.6878       NA      NA  0.688    0.65792  0.68754       NA       NA  0.27626         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50399 0.14256     0.14002    0.14514           NA        NA 0.17665    0.17387    0.17946           NA        NA 0.8577  0.85512 0.86024      NA      NA  1.23911        NA        NA  0.62046   0.6169      0.62401          NA       NA 0.89714  0.89489  0.89934       NA       NA 0.10286    0.10066    0.10511          NA       NA 0.49927 0.49561 0.50293      NA      NA 0.38332   0.37976    0.38689         NA      NA  0.30777         NA      NA  0.5176      0.50743     0.52777      NA     NA  0.47068         NA      NA  14.2583  13.59383  14.95525       NA       NA  2.65734   2.60962   2.70506        NA        NA  0.86892  0.86308  0.87477       NA       NA  0.6064   0.59635  0.61645      NA      NA  0.518    0.5085   0.5275        NA       NA  0.65309  0.64084  0.66533      NA      NA  0.694    0.64115  0.66503       NA       NA  0.28689         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50399 0.14256     0.13954    0.14564           NA        NA 0.17665    0.17335    0.18              NA        NA 0.8577  0.85462 0.86072      NA      NA  1.23911        NA        NA  0.62046   0.61621     0.62469          NA       NA 0.89714  0.89446  0.89976       NA       NA 0.10286    0.10024    0.10554          NA       NA 0.49927 0.4949  0.50364      NA      NA 0.38332   0.37908    0.38757         NA      NA  0.30777         NA      NA  0.5176      0.50548     0.52971      NA     NA  0.47068         NA      NA  14.2583  13.47012  15.0926        NA       NA  2.65734   2.60047   2.7142         NA        NA  0.86892  0.86196  0.87589       NA       NA  0.6064   0.59442  0.61838      NA      NA  0.518    0.50668  0.52932       NA       NA  0.65309  0.6385   0.66768      NA      NA  0.694    0.63886  0.66731       NA       NA  0.28689         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50399 0.061807    0.060066   0.063595          NA        NA 0.063513   0.06175    0.065324          NA        NA 0.94028 0.93852 0.94199      NA      NA  1.02761        NA        NA  0.53066   0.527       0.53431          NA       NA 0.96726  0.96593  0.96854       NA       NA 0.032738   0.031459   0.034067         NA       NA 0.4836  0.47994 0.48726      NA      NA 0.35449   0.351      0.35801         NA      NA  0.32589         NA      NA  0.49792     0.48274     0.5131       NA     NA  0.49158         NA      NA  33.40509 31.06081  35.92631       NA       NA  3.50871   3.43595   3.58147        NA        NA  0.94187  0.93776  0.94598       NA       NA  0.62917  0.61595  0.64238      NA      NA  0.6212   0.60805  0.63435       NA       NA  0.68731  0.67336  0.70127      NA      NA  0.72456  0.6735   0.70113       NA       NA  0.3223          NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50399 0.061807    0.059738   0.063943          NA        NA 0.063513   0.061417   0.065676          NA        NA 0.94028 0.93817 0.94231      NA      NA  1.02761        NA        NA  0.53066   0.5263      0.53501          NA       NA 0.96726  0.96567  0.96878       NA       NA 0.032738   0.03122    0.034328         NA       NA 0.4836  0.47924 0.48796      NA      NA 0.35449   0.35033    0.35868         NA      NA  0.32589         NA      NA  0.49792     0.47984     0.516        NA     NA  0.49158         NA      NA  33.40509 30.63085  36.4306        NA       NA  3.50871   3.42201   3.59541        NA        NA  0.94187  0.93698  0.94676       NA       NA  0.62917  0.61342  0.64491      NA      NA  0.6212   0.60553  0.63687       NA       NA  0.68731  0.67068  0.70394      NA      NA  0.72456  0.67085  0.70377       NA       NA  0.3223          NA        NA
