VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1    CL_2 VALUE_2    CL_3 VALUE_3    CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6    CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14 CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50399 0.54184     0.35823       19 0.05 -1.39738    0.1 -0.43034   0.15 -0.10799    0.2  0.053181 0.25  0.14989   0.3  0.21435   0.35  0.2604    0.4  0.29494  0.45  0.3218     0.5  0.34329    0.55  0.33948    0.6  0.20794   0.65  0.038827   0.7 -0.18666  0.75  -0.50234   0.8  -0.97587  0.85  -1.76507   0.9  -3.34349  0.95  -8.07873
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50399 0.40152     0.49425       19 0.05 -1.16596    0.1 -0.21778   0.15  0.098277   0.2  0.25631  0.25  0.35113   0.3  0.41434   0.35  0.45949   0.4  0.49335  0.45  0.41424    0.5  0.31548    0.55  0.19477    0.6  0.043882  0.65 -0.15011    0.7 -0.40878  0.75  -0.7709    0.8  -1.31409  0.85  -2.21941   0.9  -4.03005  0.95  -9.46195
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50399 0.22155     0.52932       19 0.05 -0.65526    0.1  0.10965   0.15  0.36463    0.2  0.49211  0.25  0.49475   0.3  0.42718   0.35  0.34921   0.4  0.25825  0.45  0.15076    0.5  0.021762   0.55 -0.1359     0.6 -0.33298   0.65 -0.58636    0.7 -0.9242   0.75  -1.39719   0.8  -2.10666  0.85  -3.28912   0.9  -5.65404  0.95 -12.74879
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50399 0.14256     0.5176        19 0.05 -0.30185    0.1  0.3292    0.15  0.51129    0.2  0.4658   0.25  0.41424   0.3  0.35532   0.35  0.28734   0.4  0.20803  0.45  0.11429    0.5  0.0018093  0.55 -0.13567    0.6 -0.30752   0.65 -0.52846    0.7 -0.82306  0.75  -1.23549   0.8  -1.85414  0.85  -2.88522   0.9  -4.94739  0.95 -11.13389
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50399 0.061807    0.49792       19 0.05  0.37979    0.1  0.47544   0.15  0.44296    0.2  0.40642  0.25  0.36501   0.3  0.31768   0.35  0.26307   0.4  0.19936  0.45  0.12406    0.5  0.033708   0.55 -0.076726   0.6 -0.21477   0.65 -0.39225    0.7 -0.62889  0.75  -0.96019   0.8  -1.45714  0.85  -2.28539   0.9  -3.94189  0.95  -8.9114
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50399 0.018234    0.21615       19 0.05  0.19747    0.1  0.1654    0.15  0.12955    0.2  0.089227 0.25  0.043526  0.3 -0.0087051 0.35 -0.068971  0.4 -0.13928  0.45 -0.22238    0.5 -0.32209    0.55 -0.44396    0.6 -0.5963    0.65 -0.79217    0.7 -1.05332  0.75  -1.41893   0.8  -1.96736  0.85  -2.88139   0.9  -4.70947  0.95 -10.19369
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50399 0.0045437   0.080159      19 0.05  0.050563   0.1  0.014556  0.15 -0.025687   0.2 -0.070961 0.25 -0.12227   0.3 -0.18091   0.35 -0.24857   0.4 -0.32751  0.45 -0.4208     0.5 -0.53275    0.55 -0.66958    0.6 -0.84061   0.65 -1.06051    0.7 -1.35371  0.75  -1.76419   0.8  -2.37991  0.85  -3.40611   0.9  -5.45852  0.95 -11.61572
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50399 0.001627    0.035751      19 0.05  0.0096277  0.1 -0.020325  0.15 -0.053802   0.2 -0.091463 0.25 -0.13415   0.3 -0.18293   0.35 -0.23921   0.4 -0.30488  0.45 -0.38248    0.5 -0.47561    0.55 -0.58943    0.6 -0.73171   0.65 -0.91463    0.7 -1.15854  0.75  -1.5       0.8  -2.0122   0.85  -2.86585   0.9  -4.57317  0.95  -9.69512
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50399 0.00011905 -0.0001786     19 0.05 -0.078947   0.1 -0.16667   0.15 -0.26471    0.2 -0.375    0.25 -0.5       0.3 -0.64286   0.35 -0.80769   0.4 -1        0.45 -1.22727    0.5 -1.5        0.55 -1.83333    0.6 -2.25      0.65 -2.78571    0.7 -3.5      0.75  -4.5       0.8  -6        0.85  -8.5       0.9 -13.5      0.95 -28.5
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50399 0          NA             19 0.05 NA          0.1 NA         0.15 NA          0.2 NA        0.25 NA         0.3 NA         0.35 NA         0.4 NA        0.45 NA          0.5 NA          0.55 NA          0.6 NA         0.65 NA          0.7 NA        0.75  NA         0.8  NA        0.85  NA         0.9  NA        0.95  NA
