VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL    HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL   EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49475 0.54547     0.54178    0.54915           NA        NA 0.75778     0.75459    0.76093           NA        NA 0.70947 0.7061  0.71282      NA      NA  1.38922        NA        NA  0.9283    0.92637     0.93018          NA       NA 0.44686  0.44319  0.45054       NA       NA 0.55314     0.54946    0.55681          NA       NA  0.33179  0.32831  0.33528      NA      NA  0.63542   0.63185     0.63897         NA      NA  0.24251         NA      NA  0.37516     0.37133   0.37899      NA     NA  0.39036         NA      NA 10.45921 10.00255  10.93671       NA       NA  2.34748   2.30284   2.39213        NA        NA  0.82547  0.81836  0.83258       NA       NA  0.78134  0.77405   0.78862      NA      NA  0.29825  0.29294   0.30356       NA       NA  0.77676  0.75727   0.79624      NA      NA  0.57154  0.75111   0.8024        NA       NA  0.29846         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49475 0.54547     0.54108    0.54985           NA        NA 0.75778     0.75398    0.76153           NA        NA 0.70947 0.70545 0.71345      NA      NA  1.38922        NA        NA  0.9283    0.92599     0.93054          NA       NA 0.44686  0.44248  0.45125       NA       NA 0.55314     0.54875    0.55752          NA       NA  0.33179  0.32765  0.33595      NA      NA  0.63542   0.63117     0.63965         NA      NA  0.24251         NA      NA  0.37516     0.37059   0.37973      NA     NA  0.39036         NA      NA 10.45921  9.91737  11.03065       NA       NA  2.34748   2.29429   2.40068        NA        NA  0.82547  0.81699  0.83394       NA       NA  0.78134  0.77266   0.79002      NA      NA  0.29825  0.29193   0.30458       NA       NA  0.77676  0.75354   0.79997      NA      NA  0.57154  0.7462    0.80731       NA       NA  0.29846         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20761 0.47083     0.46514    0.47654           NA        NA 0.71577     0.71059    0.72089           NA        NA 0.64949 0.64402 0.65491      NA      NA  1.5202         NA        NA  0.88788   0.88422     0.89143          NA       NA 0.43737  0.43172  0.44305       NA       NA 0.56263     0.55695    0.56828          NA       NA  0.41595  0.41033  0.42159      NA      NA  0.54393   0.53824     0.54961         NA      NA  0.18778         NA      NA  0.32525     0.31804   0.33247      NA     NA  0.31619         NA      NA  6.15593  5.7888    6.54634       NA       NA  1.81742   1.75593   1.87891        NA        NA  0.72051  0.70573  0.7353        NA       NA  0.7273   0.71559   0.73901      NA      NA  0.24706  0.23861   0.25552       NA       NA  0.65732  0.62009   0.69455      NA      NA  0.48998  0.61788   0.69676       NA       NA  0.23922         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20761 0.47083     0.46405    0.47763           NA        NA 0.71577     0.70959    0.72186           NA        NA 0.64949 0.64297 0.65595      NA      NA  1.5202         NA        NA  0.88788   0.88351     0.8921           NA       NA 0.43737  0.43064  0.44413       NA       NA 0.56263     0.55587    0.56936          NA       NA  0.41595  0.40926  0.42267      NA      NA  0.54393   0.53715     0.5507          NA      NA  0.18778         NA      NA  0.32525     0.31665   0.33385      NA     NA  0.31619         NA      NA  6.15593  5.72101   6.62391       NA       NA  1.81742   1.74415   1.89069        NA        NA  0.72051  0.7029   0.73813       NA       NA  0.7273   0.71335   0.74125      NA      NA  0.24706  0.23699   0.25714       NA       NA  0.65732  0.61295   0.70168      NA      NA  0.48998  0.61032   0.70431       NA       NA  0.23922         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49475 0.39883     0.39521    0.40245           NA        NA 0.56099     0.55732    0.56466           NA        NA 0.74058 0.73732 0.7438       NA      NA  1.4066         NA        NA  0.87807   0.87563     0.88047          NA       NA 0.64936  0.64583  0.65288       NA       NA 0.35064     0.34712    0.35417          NA       NA  0.37575  0.37218  0.37934      NA      NA  0.57445   0.57079     0.5781          NA      NA  0.32771         NA      NA  0.52743     0.52249   0.53237      NA     NA  0.49365         NA      NA 13.3362  12.80061  13.89421       NA       NA  2.59048   2.54949   2.63147        NA        NA  0.86049  0.85517  0.86581       NA       NA  0.75214  0.74486   0.75943      NA      NA  0.42699  0.42105   0.43292       NA       NA  0.77924  0.76676   0.79172      NA      NA  0.69748  0.76437   0.79411       NA       NA  0.33229         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49475 0.39883     0.39452    0.40315           NA        NA 0.56099     0.55661    0.56536           NA        NA 0.74058 0.7367  0.74442      NA      NA  1.4066         NA        NA  0.87807   0.87515     0.88092          NA       NA 0.64936  0.64515  0.65356       NA       NA 0.35064     0.34644    0.35485          NA       NA  0.37575  0.37149  0.38003      NA      NA  0.57445   0.57009     0.5788          NA      NA  0.32771         NA      NA  0.52743     0.52154   0.53332      NA     NA  0.49365         NA      NA 13.3362  12.70048  14.00375       NA       NA  2.59048   2.54164   2.63932        NA        NA  0.86049  0.85415  0.86683       NA       NA  0.75214  0.74346   0.76082      NA      NA  0.42699  0.41991   0.43406       NA       NA  0.77924  0.76437   0.79411      NA      NA  0.69748  0.76152   0.79695       NA       NA  0.33229         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20761 0.30923     0.30398    0.31453           NA        NA 0.5111      0.5054     0.51681           NA        NA 0.6991  0.69384 0.70431      NA      NA  1.6528         NA        NA  0.83988   0.83564     0.84402          NA       NA 0.63608  0.63057  0.64155       NA       NA 0.36392     0.35845    0.36943          NA       NA  0.49185  0.48614  0.49756      NA      NA  0.46327   0.45758     0.46897         NA      NA  0.25255         NA      NA  0.47595     0.4669    0.48501      NA     NA  0.40325         NA      NA  9.16768  8.60933   9.76225       NA       NA  2.21568   2.15285   2.27852        NA        NA  0.8033   0.79215  0.81444       NA       NA  0.74113  0.72955   0.7527       NA      NA  0.36842  0.35932   0.37751       NA       NA  0.70556  0.68098   0.73014      NA      NA  0.63861  0.67883   0.73229       NA       NA  0.26295         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20761 0.30923     0.30298    0.31556           NA        NA 0.5111      0.5043     0.5179            NA        NA 0.6991  0.69282 0.7053       NA      NA  1.6528         NA        NA  0.83988   0.83482     0.8448           NA       NA 0.63608  0.62951  0.6426        NA       NA 0.36392     0.3574     0.37049          NA       NA  0.49185  0.48505  0.49865      NA      NA  0.46327   0.45649     0.47006         NA      NA  0.25255         NA      NA  0.47595     0.46516   0.48675      NA     NA  0.40325         NA      NA  9.16768  8.50631   9.88048       NA       NA  2.21568   2.14081   2.29056        NA        NA  0.8033   0.79002  0.81658       NA       NA  0.74113  0.72733   0.75492      NA      NA  0.36842  0.35757   0.37926       NA       NA  0.70556  0.67628   0.73485      NA      NA  0.63861  0.67371   0.73741       NA       NA  0.26295         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49475 0.21114     0.20813    0.21417           NA        NA 0.31796     0.31452    0.32141           NA        NA 0.79325 0.79024 0.79623      NA      NA  1.50594        NA        NA  0.76335   0.7602      0.76648          NA       NA 0.80125  0.79828  0.80418       NA       NA 0.19875     0.19582    0.20172          NA       NA  0.4931   0.48941  0.4968       NA      NA  0.43806   0.43439     0.44173         NA      NA  0.31264         NA      NA  0.5646      0.5569    0.57231      NA     NA  0.47635         NA      NA 13.00438 12.45414  13.57893       NA       NA  2.56529   2.52205   2.60852        NA        NA  0.85719  0.85145  0.86292       NA       NA  0.70412  0.69575   0.71248      NA      NA  0.47982  0.47255   0.48708       NA       NA  0.71361  0.70107   0.72614      NA      NA  0.72292  0.70126   0.72595       NA       NA  0.29211         NA        NA
V7.0    ECMWF NA   240000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49475 0.21114     0.20756    0.21476           NA        NA 0.31796     0.31387    0.32208           NA        NA 0.79325 0.78966 0.79679      NA      NA  1.50594        NA        NA  0.76335   0.75959     0.76708          NA       NA 0.80125  0.79771  0.80474       NA       NA 0.19875     0.19526    0.20229          NA       NA  0.4931   0.4887   0.49751      NA      NA  0.43806   0.43369     0.44244         NA      NA  0.31264         NA      NA  0.5646      0.55543   0.57378      NA     NA  0.47635         NA      NA 13.00438 12.35142  13.69186       NA       NA  2.56529   2.51377   2.6168         NA        NA  0.85719  0.85036  0.86402       NA       NA  0.70412  0.69415   0.71409      NA      NA  0.47982  0.47116   0.48847       NA       NA  0.71361  0.69867   0.72854      NA      NA  0.72292  0.69889   0.72832       NA       NA  0.29211         NA        NA
