VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL  BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL  PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL   CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL      HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50399 0.54184    0.53818    0.54548           NA        NA 0.75625    0.75309    0.75938           NA        NA 0.69726 0.69388 0.70061      NA      NA  1.39571        NA        NA  0.91849   0.91646   0.92047          NA       NA 0.43562  0.43199  0.43926       NA       NA 0.56438    0.56074    0.56801          NA       NA  0.34192  0.33845  0.34541      NA      NA  0.62176   0.61821   0.62531         NA      NA  0.22503         NA      NA  0.35411     0.35009     0.35813      NA     NA  0.36738         NA      NA  8.69723  8.33596   9.07414       NA       NA  2.163     2.12058   2.20543        NA        NA  0.79376  0.78591  0.8016        NA       NA  0.7563   0.74884   0.76376      NA      NA  0.27852  0.27309  0.28396       NA       NA  0.74118  0.72017  0.7622       NA      NA  0.54143  0.71567  0.7667        NA       NA  0.27962         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50399 0.54184    0.53748    0.54618           NA        NA 0.75625    0.75248    0.75997           NA        NA 0.69726 0.69323 0.70125      NA      NA  1.39571        NA        NA  0.91849   0.91606   0.92084          NA       NA 0.43562  0.4313   0.43996       NA       NA 0.56438    0.56004    0.5687           NA       NA  0.34192  0.33779  0.34607      NA      NA  0.62176   0.61752   0.62599         NA      NA  0.22503         NA      NA  0.35411     0.34931     0.3589       NA     NA  0.36738         NA      NA  8.69723  8.26849   9.14819       NA       NA  2.163     2.11245   2.21356        NA        NA  0.79376  0.7844   0.80311       NA       NA  0.7563   0.74741   0.76519      NA      NA  0.27852  0.27205  0.285         NA       NA  0.74118  0.71614  0.76623      NA      NA  0.54143  0.71078  0.77159       NA       NA  0.27962         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50399 0.40152    0.39793    0.40511           NA        NA 0.56305    0.55941    0.56668           NA        NA 0.71997 0.71667 0.72325      NA      NA  1.4023         NA        NA  0.85244   0.84982   0.85502          NA       NA 0.6311   0.62756  0.63463       NA       NA 0.3689     0.36537    0.37244          NA       NA  0.39211  0.38854  0.3957       NA      NA  0.55001   0.54636   0.55365         NA      NA  0.29326         NA      NA  0.48355     0.47824     0.48885      NA     NA  0.45352         NA      NA  9.88318  9.51414  10.26654       NA       NA  2.29083   2.25278   2.32889        NA        NA  0.81623  0.80988  0.82258       NA       NA  0.70219  0.69455   0.70983      NA      NA  0.38683  0.38061  0.39305       NA       NA  0.724    0.7102   0.7378       NA      NA  0.64883  0.70864  0.73936       NA       NA  0.29766         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50399 0.40152    0.39724    0.4058            NA        NA 0.56305    0.55871    0.56737           NA        NA 0.71997 0.71604 0.72388      NA      NA  1.4023         NA        NA  0.85244   0.84932   0.85551          NA       NA 0.6311   0.62688  0.63531       NA       NA 0.3689     0.36469    0.37312          NA       NA  0.39211  0.38786  0.39638      NA      NA  0.55001   0.54566   0.55435         NA      NA  0.29326         NA      NA  0.48355     0.47723     0.48986      NA     NA  0.45352         NA      NA  9.88318  9.44504  10.34166       NA       NA  2.29083   2.24549   2.33618        NA        NA  0.81623  0.80866  0.8238        NA       NA  0.70219  0.69309   0.71129      NA      NA  0.38683  0.37941  0.39424       NA       NA  0.724    0.70756  0.74044      NA      NA  0.64883  0.7057   0.7423        NA       NA  0.29766         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50399 0.22155    0.21852    0.22461           NA        NA 0.3062     0.30283    0.30958           NA        NA 0.77797 0.77491 0.781        NA      NA  1.38205        NA        NA  0.68995   0.68655   0.69333          NA       NA 0.80302  0.80009  0.80592       NA       NA 0.19698    0.19408    0.19991          NA       NA  0.50078  0.49711  0.50444      NA      NA  0.40775   0.40415   0.41135         NA      NA  0.2769          NA      NA  0.49297     0.48482     0.50113      NA     NA  0.4337          NA      NA  9.07197  8.71968   9.43849       NA       NA  2.20519   2.16558   2.2448         NA        NA  0.80143  0.79435  0.80851       NA       NA  0.60481  0.59589   0.61372      NA      NA  0.43253  0.42457  0.44049       NA       NA  0.62809  0.61525  0.64092      NA      NA  0.65123  0.61544  0.64073       NA       NA  0.25765         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50399 0.22155    0.21795    0.2252            NA        NA 0.3062     0.30219    0.31024           NA        NA 0.77797 0.77432 0.78158      NA      NA  1.38205        NA        NA  0.68995   0.6859    0.69397          NA       NA 0.80302  0.79953  0.80647       NA       NA 0.19698    0.19353    0.20047          NA       NA  0.50078  0.49641  0.50514      NA      NA  0.40775   0.40347   0.41205         NA      NA  0.2769          NA      NA  0.49297     0.48325     0.5027       NA     NA  0.4337          NA      NA  9.07197  8.65377   9.51037       NA       NA  2.20519   2.158     2.25238        NA        NA  0.80143  0.79299  0.80987       NA       NA  0.60481  0.59418   0.61543      NA      NA  0.43253  0.42305  0.44201       NA       NA  0.62809  0.61279  0.64338      NA      NA  0.65123  0.61301  0.64316       NA       NA  0.25765         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50399 0.14256    0.14002    0.14514           NA        NA 0.17746    0.17468    0.18028           NA        NA 0.85168 0.84906 0.85427      NA      NA  1.24482        NA        NA  0.60223   0.59864   0.60581          NA       NA 0.89316  0.89088  0.8954        NA       NA 0.10684    0.1046     0.10912          NA       NA  0.51621  0.51255  0.51987      NA      NA  0.36663   0.36311   0.37017         NA      NA  0.28992         NA      NA  0.49539     0.48513     0.50564      NA     NA  0.44951         NA      NA 12.65664 12.0731   13.26838       NA       NA  2.53818   2.49098   2.58538        NA        NA  0.85355  0.84714  0.85996       NA       NA  0.58688  0.57669   0.59708      NA      NA  0.49769  0.48807  0.50731       NA       NA  0.63032  0.61773  0.64291      NA      NA  0.67176  0.61793  0.64271       NA       NA  0.2699          NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50399 0.14256    0.13954    0.14564           NA        NA 0.17746    0.17415    0.18082           NA        NA 0.85168 0.84855 0.85476      NA      NA  1.24482        NA        NA  0.60223   0.59795   0.60649          NA       NA 0.89316  0.89043  0.89583       NA       NA 0.10684    0.10417    0.10957          NA       NA  0.51621  0.51185  0.52057      NA      NA  0.36663   0.36244   0.37085         NA      NA  0.28992         NA      NA  0.49539     0.48317     0.50761      NA     NA  0.44951         NA      NA 12.65664 11.96442  13.3889        NA       NA  2.53818   2.48194   2.59443        NA        NA  0.85355  0.84592  0.86118       NA       NA  0.58688  0.57474   0.59903      NA      NA  0.49769  0.48622  0.50915       NA       NA  0.63032  0.61532  0.64532      NA      NA  0.67176  0.61555  0.64508       NA       NA  0.2699          NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50399 0.061787   0.060046   0.063575          NA        NA 0.06387    0.062102   0.065685          NA        NA 0.93486 0.93303 0.93664      NA      NA  1.03372        NA        NA  0.48972   0.48606   0.49339          NA       NA 0.96417  0.96279  0.96551       NA       NA 0.035825   0.034488   0.037212         NA       NA  0.52625  0.52259  0.52991      NA      NA  0.31718   0.31378   0.3206          NA      NA  0.28771         NA      NA  0.4539      0.43869     0.4691       NA     NA  0.44686         NA      NA 25.82924 24.0434   27.74773       NA       NA  3.25151   3.17986   3.32315        NA        NA  0.92545  0.92031  0.9306        NA       NA  0.59181  0.57812   0.60551      NA      NA  0.58233  0.56872  0.59594       NA       NA  0.64684  0.63206  0.66162      NA      NA  0.6842   0.63196  0.66172       NA       NA  0.28385         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50399 0.061787   0.059718   0.063923          NA        NA 0.06387    0.061769   0.066039          NA        NA 0.93486 0.93267 0.93698      NA      NA  1.03372        NA        NA  0.48972   0.48536   0.49409          NA       NA 0.96417  0.96252  0.96576       NA       NA 0.035825   0.034238   0.037484         NA       NA  0.52625  0.52189  0.53061      NA      NA  0.31718   0.31313   0.32126         NA      NA  0.28771         NA      NA  0.4539      0.43578     0.47201      NA     NA  0.44686         NA      NA 25.82924 23.71564  28.13121       NA       NA  3.25151   3.16613   3.33688        NA        NA  0.92545  0.91933  0.93158       NA       NA  0.59181  0.5755    0.60813      NA      NA  0.58233  0.56611  0.59855       NA       NA  0.64684  0.62923  0.66445      NA      NA  0.6842   0.62911  0.66457       NA       NA  0.28385         NA        NA
