VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1    CL_2 VALUE_2    CL_3 VALUE_3   CL_4 VALUE_4     CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11 CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18 CL_19 VALUE_19
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50399 0.54184     0.35411       19 0.05 -1.396      0.1 -0.43199   0.15 -0.11065   0.2  0.050019   0.25  0.14642   0.3  0.21069  0.35  0.25659   0.4  0.29102  0.45  0.3178     0.5  0.33922    0.55  0.33521   0.6  0.20265   0.65  0.032215   0.7 -0.19503  0.75 -0.51318   0.8 -0.99041  0.85 -1.78578   0.9 -3.37652  0.95  -8.14875
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50399 0.40152     0.48355       19 0.05 -1.24981    0.1 -0.25985   0.15  0.07013   0.2  0.23512    0.25  0.33412   0.3  0.40011  0.35  0.44726   0.4  0.48261  0.45  0.40255    0.5  0.30258    0.55  0.18039   0.6  0.027649  0.65 -0.16873    0.7 -0.43057  0.75 -0.79714   0.8 -1.34701  0.85 -2.26344   0.9 -4.09631  0.95  -9.59493
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50399 0.22155     0.49297       19 0.05 -0.87358    0.1  0.0088446 0.15  0.30298   0.2  0.45005    0.25  0.45925   0.3  0.39334  0.35  0.31728   0.4  0.22855  0.45  0.12369    0.5 -0.0021494  0.55 -0.15595   0.6 -0.3482    0.65 -0.59538    0.7 -0.92495  0.75 -1.38635   0.8 -2.07845  0.85 -3.23195   0.9 -5.53896  0.95 -12.45997
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50399 0.14256     0.49539       19 0.05 -0.36342    0.1  0.29794   0.15  0.48883   0.2  0.44158    0.25  0.38803   0.3  0.32683  0.35  0.25622   0.4  0.17383  0.45  0.076472   0.5 -0.040362   0.55 -0.18316   0.6 -0.36166   0.65 -0.59115    0.7 -0.89715  0.75 -1.32554   0.8 -1.96813  0.85 -3.03911   0.9 -5.18107  0.95 -11.60696
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50399 0.061787    0.4539        19 0.05  0.32568    0.1  0.42928   0.15  0.39372   0.2  0.35373    0.25  0.30839   0.3  0.25658  0.35  0.1968    0.4  0.12706  0.45  0.044637   0.5 -0.054271   0.55 -0.17516   0.6 -0.32627   0.65 -0.52055    0.7 -0.7796   0.75 -1.14226   0.8 -1.68626  0.85 -2.59291   0.9 -4.40623  0.95  -9.84618
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50399 0.018234    0.15294       19 0.05  0.12811    0.1  0.085479  0.15  0.037829  0.2 -0.015778   0.25 -0.076532  0.3 -0.14597  0.35 -0.22608   0.4 -0.31955  0.45 -0.43001    0.5 -0.56257    0.55 -0.72458   0.6 -0.92709   0.65 -1.18747    0.7 -1.53464  0.75 -2.02067   0.8 -2.74973  0.85 -3.96482   0.9 -6.39499  0.95 -13.68553
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50399 0.0045437   0.02351       19 0.05 -0.0048265  0.1 -0.039301  0.15 -0.077832  0.2 -0.12118    0.25 -0.17031   0.3 -0.22645  0.35 -0.29123   0.4 -0.36681  0.45 -0.45613    0.5 -0.56332    0.55 -0.69432   0.6 -0.85808   0.65 -1.06862    0.7 -1.34934  0.75 -1.74236   0.8 -2.33188  0.85 -3.31441   0.9 -5.27948  0.95 -11.17467
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50399 0.001627   -0.00083471    19 0.05 -0.026958   0.1 -0.056911  0.15 -0.090387  0.2 -0.12805    0.25 -0.17073   0.3 -0.21951  0.35 -0.2758    0.4 -0.34146  0.45 -0.41907    0.5 -0.5122     0.55 -0.62602   0.6 -0.76829   0.65 -0.95122    0.7 -1.19512  0.75 -1.53659   0.8 -2.04878  0.85 -2.90244   0.9 -4.60976  0.95  -9.73171
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50399 0.00011905 -7.9376e-05    19 0.05 -0.035088   0.1 -0.074074  0.15 -0.11765   0.2 -0.16667    0.25 -0.22222   0.3 -0.28571  0.35 -0.35897   0.4 -0.44444  0.45 -0.54545    0.5 -0.66667    0.55 -0.81481   0.6 -1         0.65 -1.2381     0.7 -1.55556  0.75 -2         0.8 -2.66667  0.85 -3.77778   0.9 -6        0.95 -12.66667
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50399 0          NA             19 0.05 NA          0.1 NA         0.15 NA         0.2 NA          0.25 NA         0.3 NA        0.35 NA         0.4 NA        0.45 NA          0.5 NA          0.55 NA         0.6 NA         0.65 NA          0.7 NA        0.75 NA         0.8 NA        0.85 NA         0.9 NA        0.95  NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >0.1        >0.1       NA         NA    ECLV      20795 0.47107     0.31508       19 0.05 -1.52968    0.1 -0.49777   0.15 -0.1538    0.2  0.018183   0.25  0.12137   0.3  0.19017  0.35  0.23931   0.4  0.27616  0.45  0.30483    0.5  0.2452     0.55  0.10322   0.6 -0.074265  0.65 -0.30246    0.7 -0.60671  0.75 -1.03267   0.8 -1.6716   0.85 -2.73649   0.9 -4.86627  0.95 -11.25561
