VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      NA    NBRCTC    49475 25033 12525  1954  9963
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      NA    NBRCTC    20752  8748  6198  1018  4788
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      NA    NBRCTC    49475 17219 10564  2513 19179
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      NA    NBRCTC    20752  5436  5294   975  9047
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      NA    NBRCTC    49475  7459  7466  2988 31562
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      NA    NBRCTC    20752  2168  2859   953 14772
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      NA    NBRCTC    49475  4077  4387  2440 38571
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      NA    NBRCTC    20752   863  1778   877 17234
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      >=0.5      NA    NBRCTC    49475  1473  1462  1347 45193
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      >=0.5      NA    NBRCTC    20752    98   345   445 19864
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      >=0.5      NA    NBRCTC    49475   147   562   623 48143
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >50.0       >50.0      >=0.5      NA    NBRCTC    20752    17    54    98 20583
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >75.0       >75.0      >=0.5      NA    NBRCTC    49475     2    60   185 49228
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >75.0       >75.0      >=0.5      NA    NBRCTC    20752     2    14    28 20708
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >100.0      >100.0     >=0.5      NA    NBRCTC    49475     0    16    52 49407
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >100.0      >100.0     >=0.5      NA    NBRCTC    20752     0     7     2 20743
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >150.0      >150.0     >=0.5      NA    NBRCTC    49475     0     0     0 49475
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >150.0      >150.0     >=0.5      NA    NBRCTC    20752     0     0     0 20752
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >200.0      >200.0     >=0.5      NA    NBRCTC    49475     0     0     0 49475
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >200.0      >200.0     >=0.5      NA    NBRCTC    20752     0     0     0 20752
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >0.1        >0.1       >=0.5      NA    NBRCTC    48551 24850 12241  1678  9782
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >0.1        >0.1       >=0.5      NA    NBRCTC    20701  8775  6234   897  4795
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >1.0        >1.0       >=0.5      NA    NBRCTC    48551 17190 10053  2128 19180
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >1.0        >1.0       >=0.5      NA    NBRCTC    20701  5410  5248   801  9242
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >5.0        >5.0       >=0.5      NA    NBRCTC    48551  7176  7332  2629 31414
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >5.0        >5.0       >=0.5      NA    NBRCTC    20701  2104  2855   784 14958
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >10.0       >10.0      >=0.5      NA    NBRCTC    48551  3745  4273  2031 38502
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >10.0       >10.0      >=0.5      NA    NBRCTC    20701   744  1744   777 17436
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >25.0       >25.0      >=0.5      NA    NBRCTC    48551  1426  1278  1070 44777
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >25.0       >25.0      >=0.5      NA    NBRCTC    20701    77   252   359 20013
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >50.0       >50.0      >=0.5      NA    NBRCTC    48551   126   449   518 47458
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >50.0       >50.0      >=0.5      NA    NBRCTC    20701    16    35    47 20603
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >75.0       >75.0      >=0.5      NA    NBRCTC    48551     0    14   118 48419
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >75.0       >75.0      >=0.5      NA    NBRCTC    20701     0     8    17 20676
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >100.0      >100.0     >=0.5      NA    NBRCTC    48551     0     0    24 48527
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >100.0      >100.0     >=0.5      NA    NBRCTC    20701     0     0     0 20701
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >150.0      >150.0     >=0.5      NA    NBRCTC    48551     0     0     0 48551
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >150.0      >150.0     >=0.5      NA    NBRCTC    20701     0     0     0 20701
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 25          >200.0      >200.0     >=0.5      NA    NBRCTC    48551     0     0     0 48551
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 25          >200.0      >200.0     >=0.5      NA    NBRCTC    20701     0     0     0 20701
