VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI        CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS      ODDS_NCL  ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49475 0.54547     0.54178    0.54915           NA        NA 0.75913     0.75595    0.76228           NA        NA 0.70735 0.70397 0.7107       NA      NA  1.39171        NA        NA  0.92759   0.92565     0.92949          NA       NA 0.44304  0.43937  0.44671       NA       NA 0.55696     0.55329    0.56063          NA       NA  0.33348  0.33001  0.33698      NA      NA  0.63355    0.62998     0.63711         NA      NA  0.23896         NA      NA  0.37063     0.36678    0.37448      NA     NA  0.38575         NA      NA  10.19062   9.74708  10.65435       NA       NA  2.32147   2.27697   2.36597        NA        NA  0.82128  0.81404  0.82852       NA       NA  0.77935  0.77205   0.78666      NA      NA  0.29419  0.28887   0.2995        NA       NA  0.77238  0.75253  0.79224      NA      NA  0.56621  0.74652   0.79825       NA       NA  0.29564         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49475 0.54547     0.54108    0.54985           NA        NA 0.75913     0.75534    0.76288           NA        NA 0.70735 0.70332 0.71134      NA      NA  1.39171        NA        NA  0.92759   0.92528     0.92985          NA       NA 0.44304  0.43866  0.44742       NA       NA 0.55696     0.55258    0.56134          NA       NA  0.33348  0.32934  0.33765      NA      NA  0.63355    0.6293      0.63779         NA      NA  0.23896         NA      NA  0.37063     0.36604    0.37522      NA     NA  0.38575         NA      NA  10.19062   9.66434  10.74557       NA       NA  2.32147   2.26844   2.37449        NA        NA  0.82128  0.81265  0.82991       NA       NA  0.77935  0.77065   0.78806      NA      NA  0.29419  0.28785   0.30052       NA       NA  0.77238  0.74872  0.79605      NA      NA  0.56621  0.74157   0.8032        NA       NA  0.29564         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20752 0.47061     0.46491    0.47631           NA        NA 0.72022     0.71507    0.72532           NA        NA 0.65227 0.64682 0.65769      NA      NA  1.53041        NA        NA  0.89576   0.89222     0.8992           NA       NA 0.43583  0.43017  0.4415        NA       NA 0.56417     0.5585     0.56983          NA       NA  0.41469  0.40908  0.42033      NA      NA  0.54798    0.54229     0.55366         NA      NA  0.19197         NA      NA  0.33159     0.3246     0.33858      NA     NA  0.3221          NA      NA   6.6384    6.23311   7.07005       NA       NA  1.89287   1.82987   1.95587        NA        NA  0.73817  0.72383  0.7525        NA       NA  0.74513  0.73366   0.7566       NA      NA  0.2525   0.24427   0.26074       NA       NA  0.6774   0.64039  0.71442      NA      NA  0.50155  0.63713   0.71768       NA       NA  0.24674         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20752 0.47061     0.46382    0.4774            NA        NA 0.72022     0.71407    0.72629           NA        NA 0.65227 0.64577 0.65873      NA      NA  1.53041        NA        NA  0.89576   0.89153     0.89985          NA       NA 0.43583  0.42909  0.44259       NA       NA 0.56417     0.55741    0.57091          NA       NA  0.41469  0.40801  0.42141      NA      NA  0.54798    0.5412      0.55474         NA      NA  0.19197         NA      NA  0.33159     0.32326    0.33992      NA     NA  0.3221          NA      NA   6.6384    6.15833   7.15589       NA       NA  1.89287   1.81781   1.96794        NA        NA  0.73817  0.72108  0.75525       NA       NA  0.74513  0.73146   0.7588       NA      NA  0.2525   0.24269   0.26231       NA       NA  0.6774   0.63329  0.72152      NA      NA  0.50155  0.62941   0.7254        NA       NA  0.24674         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49475 0.39883     0.39521    0.40245           NA        NA 0.56156     0.55788    0.56522           NA        NA 0.73568 0.73241 0.73893      NA      NA  1.40802        NA        NA  0.87264   0.87016     0.87509          NA       NA 0.64482  0.64128  0.64835       NA       NA 0.35518     0.35165    0.35872          NA       NA  0.38023  0.37665  0.38383      NA      NA  0.56836    0.56469     0.57202         NA      NA  0.31945         NA      NA  0.51747     0.51243    0.5225       NA     NA  0.48422         NA      NA  12.43979  11.94742  12.95245       NA       NA  2.5209    2.48052   2.56128        NA        NA  0.85119  0.84563  0.85675       NA       NA  0.74186  0.73448   0.74924      NA      NA  0.41765  0.41165   0.42366       NA       NA  0.7674   0.75457  0.78024      NA      NA  0.68672  0.75236   0.78245       NA       NA  0.32411         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49475 0.39883     0.39452    0.40315           NA        NA 0.56156     0.55718    0.56592           NA        NA 0.73568 0.73178 0.73955      NA      NA  1.40802        NA        NA  0.87264   0.86968     0.87555          NA       NA 0.64482  0.6406   0.64903       NA       NA 0.35518     0.35097    0.3594           NA       NA  0.38023  0.37596  0.38452      NA      NA  0.56836    0.56399     0.57272         NA      NA  0.31945         NA      NA  0.51747     0.51147    0.52347      NA     NA  0.48422         NA      NA  12.43979  11.85534  13.05304       NA       NA  2.5209    2.47278   2.56902        NA        NA  0.85119  0.84456  0.85782       NA       NA  0.74186  0.73306   0.75066      NA      NA  0.41765  0.41049   0.42481       NA       NA  0.7674   0.75211  0.7827       NA      NA  0.68672  0.74948   0.78533       NA       NA  0.32411         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20752 0.30893     0.30368    0.31423           NA        NA 0.51706     0.51135    0.52276           NA        NA 0.69791 0.69264 0.70313      NA      NA  1.67369        NA        NA  0.84792   0.84377     0.85197          NA       NA 0.63085  0.62532  0.63634       NA       NA 0.36915     0.36366    0.37468          NA       NA  0.49338  0.48768  0.49909      NA      NA  0.46442    0.45873     0.47012         NA      NA  0.25281         NA      NA  0.47877     0.46989    0.48764      NA     NA  0.40359         NA      NA   9.52786   8.93811  10.15653       NA       NA  2.25422   2.19032   2.31812        NA        NA  0.81003  0.79904  0.82101       NA       NA  0.7537   0.74231   0.76509      NA      NA  0.36924  0.36034   0.37813       NA       NA  0.71594  0.69122  0.74065      NA      NA  0.64304  0.68868   0.7432        NA       NA  0.26586         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20752 0.30893     0.30268    0.31526           NA        NA 0.51706     0.51026    0.52385           NA        NA 0.69791 0.69163 0.70412      NA      NA  1.67369        NA        NA  0.84792   0.84297     0.85274          NA       NA 0.63085  0.62426  0.63739       NA       NA 0.36915     0.36261    0.37574          NA       NA  0.49338  0.48658  0.50019      NA      NA  0.46442    0.45764     0.47121         NA      NA  0.25281         NA      NA  0.47877     0.46819    0.48934      NA     NA  0.40359         NA      NA   9.52786   8.82937  10.28162       NA       NA  2.25422   2.17808   2.33036        NA        NA  0.81003  0.79694  0.82312       NA       NA  0.7537   0.74013   0.76727      NA      NA  0.36924  0.35864   0.37983       NA       NA  0.71594  0.68649  0.74539      NA      NA  0.64304  0.68346   0.74842       NA       NA  0.26586         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49475 0.21116     0.20815    0.21419           NA        NA 0.30167     0.29828    0.30507           NA        NA 0.7887  0.78567 0.7917       NA      NA  1.42864        NA        NA  0.71398   0.71063     0.71731          NA       NA 0.8087   0.80578  0.81159       NA       NA 0.1913      0.18841    0.19422          NA       NA  0.50023  0.49654  0.50393      NA      NA  0.4164     0.41276     0.42005         NA      NA  0.29181         NA      NA  0.52269     0.5145     0.53087      NA     NA  0.45178         NA      NA  10.55301  10.12475  10.99939       NA       NA  2.35641   2.31498   2.39784        NA        NA  0.82689  0.82033  0.83344       NA       NA  0.64388  0.63503   0.65273      NA      NA  0.45535  0.44751   0.46318       NA       NA  0.66155  0.64873  0.67438      NA      NA  0.68206  0.64898   0.67412       NA       NA  0.2709          NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49475 0.21116     0.20758    0.21478           NA        NA 0.30167     0.29764    0.30573           NA        NA 0.7887  0.78508 0.79228      NA      NA  1.42864        NA        NA  0.71398   0.70999     0.71795          NA       NA 0.8087   0.80521  0.81214       NA       NA 0.1913      0.18786    0.19479          NA       NA  0.50023  0.49583  0.50464      NA      NA  0.4164     0.41206     0.42075         NA      NA  0.29181         NA      NA  0.52269     0.51293    0.53244      NA     NA  0.45178         NA      NA  10.55301  10.04472  11.08703       NA       NA  2.35641   2.30705   2.40578        NA        NA  0.82689  0.81908  0.83469       NA       NA  0.64388  0.63334   0.65443      NA      NA  0.45535  0.44601   0.46468       NA       NA  0.66155  0.64627  0.67683      NA      NA  0.68206  0.64658   0.67653       NA       NA  0.2709          NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    20752 0.1504      0.14636    0.15452           NA        NA 0.24224     0.23738    0.24717           NA        NA 0.81631 0.81184 0.82069      NA      NA  1.6107         NA        NA  0.69465   0.68937     0.69988          NA       NA 0.83784  0.83359  0.84201       NA       NA 0.16216     0.15799    0.16641          NA       NA  0.56873  0.56307  0.57437      NA      NA  0.36254    0.35707     0.36805         NA      NA  0.27029         NA      NA  0.53249     0.51778    0.5472       NA     NA  0.42555         NA      NA  11.75416  10.93515  12.63451       NA       NA  2.46421   2.39198   2.53643        NA        NA  0.84319  0.83275  0.85363       NA       NA  0.6774   0.66291   0.6919       NA      NA  0.46638  0.45371   0.47905       NA       NA  0.66628  0.64459  0.68796      NA      NA  0.69478  0.6452    0.68735       NA       NA  0.24621         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    20752 0.1504      0.1456     0.15532           NA        NA 0.24224     0.23646    0.24812           NA        NA 0.81631 0.81098 0.82152      NA      NA  1.6107         NA        NA  0.69465   0.68835     0.70088          NA       NA 0.83784  0.83277  0.84279       NA       NA 0.16216     0.15721    0.16723          NA       NA  0.56873  0.56198  0.57545      NA      NA  0.36254    0.35603     0.36911         NA      NA  0.27029         NA      NA  0.53249     0.51497    0.55001      NA     NA  0.42555         NA      NA  11.75416  10.78489  12.81054       NA       NA  2.46421   2.37815   2.55027        NA        NA  0.84319  0.83075  0.85563       NA       NA  0.6774   0.66013   0.69467      NA      NA  0.46638  0.45128   0.48148       NA       NA  0.66628  0.64044  0.69211      NA      NA  0.69478  0.64116   0.69139       NA       NA  0.24621         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.1   NBRCTS    49475 0.13172     0.12924    0.13424           NA        NA 0.17108     0.16831    0.17388           NA        NA 0.86201 0.85944 0.86454      NA      NA  1.29876        NA        NA  0.62559   0.62201     0.62917          NA       NA 0.89788  0.89562  0.90009       NA       NA 0.10212     0.099905   0.10438          NA       NA  0.51831  0.51462  0.52201      NA      NA  0.3739     0.37033     0.37748         NA      NA  0.30259         NA      NA  0.52347     0.51289    0.53405      NA     NA  0.4646          NA      NA  14.69076  13.97999  15.43766       NA       NA  2.68722   2.63763   2.73681        NA        NA  0.87254  0.86662  0.87845       NA       NA  0.62417  0.61392   0.63443      NA      NA  0.51945  0.50985   0.52904       NA       NA  0.65895  0.64618  0.67172      NA      NA  0.69966  0.64653   0.67137       NA       NA  0.27901         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.05  NBRCTS    49475 0.13172     0.12877    0.13473           NA        NA 0.17108     0.16778    0.17442           NA        NA 0.86201 0.85894 0.86502      NA      NA  1.29876        NA        NA  0.62559   0.62132     0.62985          NA       NA 0.89788  0.89518  0.90051       NA       NA 0.10212     0.099486   0.10482          NA       NA  0.51831  0.51391  0.52271      NA      NA  0.3739     0.36965     0.37817         NA      NA  0.30259         NA      NA  0.52347     0.51086    0.53608      NA     NA  0.4646          NA      NA  14.69076  13.8478   15.58502       NA       NA  2.68722   2.62813   2.74631        NA        NA  0.87254  0.86548  0.87959       NA       NA  0.62417  0.61195   0.63639      NA      NA  0.51945  0.50801   0.53088       NA       NA  0.65895  0.64373  0.67417      NA      NA  0.69966  0.64415   0.67375       NA       NA  0.27901         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.1   NBRCTS    20752 0.083847    0.080737   0.087066          NA        NA 0.12726     0.12351    0.13112           NA        NA 0.87206 0.8682  0.87583      NA      NA  1.51782        NA        NA  0.49598   0.49027     0.50169          NA       NA 0.90648  0.9031   0.90975       NA       NA 0.09352     0.090248   0.096898         NA       NA  0.67323  0.66785  0.67856      NA      NA  0.24531    0.24043     0.25026         NA      NA  0.19461         NA      NA  0.40246     0.38187    0.42304      NA     NA  0.32582         NA      NA   9.53818   8.72706  10.42469       NA       NA  2.2553    2.16643   2.34418        NA        NA  0.81021  0.79495  0.82548       NA       NA  0.55898  0.53949   0.57846      NA      NA  0.42776  0.40991   0.4456        NA       NA  0.5433   0.5175   0.56909      NA      NA  0.58517  0.51687   0.56972       NA       NA  0.17192         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.05  NBRCTS    20752 0.083847    0.080153   0.087696          NA        NA 0.12726     0.1228     0.13187           NA        NA 0.87206 0.86745 0.87654      NA      NA  1.51782        NA        NA  0.49598   0.48918     0.50278          NA       NA 0.90648  0.90244  0.91037       NA       NA 0.09352     0.089633   0.097557         NA       NA  0.67323  0.66682  0.67958      NA      NA  0.24531    0.2395      0.25121         NA      NA  0.19461         NA      NA  0.40246     0.37794    0.42698      NA     NA  0.32582         NA      NA   9.53818   8.57973  10.6037        NA       NA  2.2553    2.1494    2.3612         NA        NA  0.81021  0.79202  0.82841       NA       NA  0.55898  0.53575   0.5822       NA      NA  0.42776  0.40649   0.44902       NA       NA  0.5433   0.51256  0.57403      NA      NA  0.58517  0.5118    0.57479       NA       NA  0.17192         NA        NA
V7.0    ECMWF NA   360000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      >=0.5      0.1   NBRCTS    49475 0.056998    0.055308   0.058737          NA        NA 0.059323    0.0576     0.061094          NA        NA 0.94322 0.94149 0.94491      NA      NA  1.04078        NA        NA  0.52234   0.51865     0.52603          NA       NA 0.96866  0.96735  0.96993       NA       NA 0.031336    0.030073   0.032651         NA       NA  0.49813  0.49443  0.50182      NA      NA  0.344      0.34049     0.34752         NA      NA  0.31733         NA      NA  0.491       0.47508    0.50693      NA     NA  0.48177         NA      NA  33.80329  31.33361  36.46762       NA       NA  3.52056   3.44469   3.59642        NA        NA  0.94253  0.9383   0.94677       NA       NA  0.63039  0.61665   0.64413      NA      NA  0.61902  0.60537   0.63266       NA       NA  0.68416  0.66954  0.69878      NA      NA  0.72097  0.66965   0.69867       NA       NA  0.31227         NA        NA
