VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY       PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI        CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL    HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS      SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI       EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI      SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS       BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50400 0.54185     0.53819    0.54549           NA        NA 0.75504     0.75188    0.75818           NA        NA 0.6953  0.69191 0.69866      NA      NA  1.39346        NA        NA  0.91556    0.9135      0.91757          NA       NA 0.4348   0.43117  0.43844       NA       NA 0.5652      0.56156    0.56883          NA       NA  0.34296  0.33949  0.34645      NA      NA  0.6195     0.61594     0.62305         NA      NA  0.22206         NA      NA  0.35036     0.34627   0.35445       NA     NA  0.36342         NA      NA  8.34109  7.99857  8.69828       NA       NA  2.12119   2.07926   2.16313        NA        NA  0.78589  0.77788  0.79391       NA       NA  0.7483    0.74076  0.75584      NA      NA  0.27499   0.26949  0.28048       NA       NA  0.73218   0.71091  0.75345      NA      NA  0.5352    0.70682  0.75754       NA       NA  0.27547           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50400 0.54185     0.53749    0.54619           NA        NA 0.75504     0.75127    0.75877           NA        NA 0.6953  0.69126 0.6993       NA      NA  1.39346        NA        NA  0.91556    0.9131      0.91795          NA       NA 0.4348   0.43048  0.43913       NA       NA 0.5652      0.56087    0.56952          NA       NA  0.34296  0.33883  0.34712      NA      NA  0.6195     0.61525     0.62373         NA      NA  0.22206         NA      NA  0.35036     0.34549   0.35523       NA     NA  0.36342         NA      NA  8.34109  7.93457  8.76843       NA       NA  2.12119   2.07123   2.17116        NA        NA  0.78589  0.77634  0.79544       NA       NA  0.7483    0.73932  0.75728      NA      NA  0.27499   0.26844  0.28154       NA       NA  0.73218   0.70683  0.75752      NA      NA  0.5352    0.70196  0.7624        NA       NA  0.27547           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50400 0.40153     0.39794    0.40512           NA        NA 0.56026     0.55662    0.56389           NA        NA 0.71492 0.7116  0.71822      NA      NA  1.39532        NA        NA  0.84266    0.83998     0.84531          NA       NA 0.62921  0.62567  0.63275       NA       NA 0.37079     0.36725    0.37433          NA       NA  0.39608  0.3925   0.39966      NA      NA  0.54273    0.53907     0.54637         NA      NA  0.28457         NA      NA  0.47188     0.46644   0.47732       NA     NA  0.44306         NA      NA  9.08874  8.7558   9.43435       NA       NA  2.20704   2.16972   2.24436        NA        NA  0.80176  0.79509  0.80842       NA       NA  0.68406   0.6763   0.69182      NA      NA  0.37666   0.37031  0.38301       NA       NA  0.70569   0.6916   0.71979      NA      NA  0.63494   0.69031  0.72108       NA       NA  0.28823           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50400 0.40153     0.39726    0.40581           NA        NA 0.56026     0.55592    0.56459           NA        NA 0.71492 0.71096 0.71885      NA      NA  1.39532        NA        NA  0.84266    0.83946     0.84582          NA       NA 0.62921  0.62499  0.63342       NA       NA 0.37079     0.36658    0.37501          NA       NA  0.39608  0.39181  0.40035      NA      NA  0.54273    0.53837     0.54707         NA      NA  0.28457         NA      NA  0.47188     0.46539   0.47836       NA     NA  0.44306         NA      NA  9.08874  8.69342  9.50205       NA       NA  2.20704   2.16257   2.25151        NA        NA  0.80176  0.79382  0.8097        NA       NA  0.68406   0.67481  0.69331      NA      NA  0.37666   0.3691   0.38422       NA       NA  0.70569   0.6889   0.72249      NA      NA  0.63494   0.68736  0.72403       NA       NA  0.28823           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50400 0.22157     0.21854    0.22463           NA        NA 0.3152      0.3118     0.31861           NA        NA 0.76768 0.76457 0.77076      NA      NA  1.42258        NA        NA  0.68702    0.68362     0.69041          NA       NA 0.79064  0.78764  0.7936        NA       NA 0.20936     0.2064     0.21236          NA       NA  0.51706  0.5134   0.52072      NA      NA  0.39585    0.39227     0.39944         NA      NA  0.26178         NA      NA  0.47766     0.46948   0.48584       NA     NA  0.41494         NA      NA  8.28962  7.97027  8.62176       NA       NA  2.115     2.07572   2.15429        NA        NA  0.78471  0.77716  0.79225       NA       NA  0.60117   0.59223  0.6101       NA      NA  0.41392   0.40603  0.42181       NA       NA  0.61282   0.59947  0.62616      NA      NA  0.63407   0.59962  0.62602       NA       NA  0.24363           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50400 0.22157     0.21796    0.22521           NA        NA 0.3152      0.31116    0.31927           NA        NA 0.76768 0.76397 0.77135      NA      NA  1.42258        NA        NA  0.68702    0.68296     0.69106          NA       NA 0.79064  0.78706  0.79417       NA       NA 0.20936     0.20583    0.21294          NA       NA  0.51706  0.5127   0.52142      NA      NA  0.39585    0.39159     0.40013         NA      NA  0.26178         NA      NA  0.47766     0.46791   0.48741       NA     NA  0.41494         NA      NA  8.28962  7.91051  8.6869        NA       NA  2.115     2.06819   2.16182        NA        NA  0.78471  0.77571  0.7937        NA       NA  0.60117   0.59052  0.61181      NA      NA  0.41392   0.40452  0.42332       NA       NA  0.61282   0.59692  0.62872      NA      NA  0.63407   0.59709  0.62854       NA       NA  0.24363           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50400 0.14258     0.14004    0.14516           NA        NA 0.18373     0.18091    0.18658           NA        NA 0.83687 0.83414 0.83955      NA      NA  1.28862        NA        NA  0.57222    0.5686      0.57584          NA       NA 0.88087  0.87848  0.88322       NA       NA 0.11913     0.11678    0.12152          NA       NA  0.55594  0.5523   0.55958      NA      NA  0.33339    0.32994     0.33685         NA      NA  0.25348         NA      NA  0.4531      0.44273   0.46346       NA     NA  0.40444         NA      NA  9.89118  9.44457 10.3589        NA       NA  2.29164   2.24544   2.33785        NA        NA  0.81637  0.80866  0.82407       NA       NA  0.5545    0.5441   0.56491      NA      NA  0.45332   0.44359  0.46305       NA       NA  0.58431   0.57094  0.59768      NA      NA  0.62583   0.57093  0.59769       NA       NA  0.23411           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50400 0.14258     0.13955    0.14566           NA        NA 0.18373     0.18037    0.18714           NA        NA 0.83687 0.83361 0.84007      NA      NA  1.28862        NA        NA  0.57222    0.5679      0.57654          NA       NA 0.88087  0.87801  0.88367       NA       NA 0.11913     0.11633    0.12199          NA       NA  0.55594  0.5516   0.56027      NA      NA  0.33339    0.32928     0.33752         NA      NA  0.25348         NA      NA  0.4531      0.44074   0.46545       NA     NA  0.40444         NA      NA  9.89118  9.36134 10.451         NA       NA  2.29164   2.23659   2.3467         NA        NA  0.81637  0.80718  0.82555       NA       NA  0.5545    0.5421   0.5669       NA      NA  0.45332   0.44173  0.46492       NA       NA  0.58431   0.56838  0.60024      NA      NA  0.62583   0.56836  0.60026       NA       NA  0.23411           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50400 0.061806    0.060065   0.063593          NA        NA 0.057044    0.055368   0.058767          NA        NA 0.92802 0.9261  0.92989      NA      NA  0.92295        NA        NA  0.37913    0.37559     0.38269          NA       NA 0.96417  0.96279  0.96551       NA       NA 0.035825    0.034488   0.037212         NA       NA  0.58922  0.58561  0.59282      NA      NA  0.24558    0.24244     0.24875         NA      NA  0.21664         NA      NA  0.34331     0.32855   0.35806       NA     NA  0.35612         NA      NA 16.4346  15.27581 17.6813        NA       NA  2.79939   2.72627   2.87251        NA        NA  0.88529  0.87738  0.89319       NA       NA  0.48324   0.46833  0.49814      NA      NA  0.5046    0.48948  0.51971       NA       NA  0.54879   0.53279  0.56479      NA      NA  0.58174   0.53211  0.56547       NA       NA  0.22465           NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50400 0.061806    0.059736   0.063941          NA        NA 0.057044    0.055052   0.059102          NA        NA 0.92802 0.92573 0.93024      NA      NA  0.92295        NA        NA  0.37913    0.37491     0.38338          NA       NA 0.96417  0.96252  0.96576       NA       NA 0.035825    0.034238   0.037484         NA       NA  0.58922  0.58492  0.59351      NA      NA  0.24558    0.24184     0.24936         NA      NA  0.21664         NA      NA  0.34331     0.32573   0.36089       NA     NA  0.35612         NA      NA 16.4346  15.06332 17.93071       NA       NA  2.79939   2.71226   2.88651        NA        NA  0.88529  0.87586  0.89471       NA       NA  0.48324   0.46548  0.50099      NA      NA  0.5046    0.48658  0.52261       NA       NA  0.54879   0.52972  0.56786      NA      NA  0.58174   0.52891  0.56867       NA       NA  0.22465           NA        NA
