VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2    CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5  CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10  CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50400 0.54185     0.35036       19 0.05 -1.46265   0.1 -0.46399   0.15 -0.1311    0.2  0.035338  0.25  0.1352   0.3  0.20178  0.35  0.24934   0.4  0.285    0.45  0.31274    0.5  0.33494   0.55  0.33146    0.6  0.19871   0.65  0.028028   0.7 -0.19954  0.75 -0.51814   0.8 -0.99605  0.85  -1.79255   0.9  -3.38555  0.95  -8.16456
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50400 0.40153     0.47188       19 0.05 -1.37642   0.1 -0.32082   0.15  0.031042  0.2  0.20698   0.25  0.31254  0.3  0.38291  0.35  0.43317   0.4  0.47087  0.45  0.3905     0.5  0.29001   0.55  0.1672     0.6  0.013688  0.65 -0.18369    0.7 -0.44685  0.75 -0.81529   0.8 -1.36794  0.85  -2.28903   0.9  -4.1312   0.95  -9.65771
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50400 0.22157     0.47766       19 0.05 -0.90194   0.1 -0.011113  0.15  0.28583   0.2  0.4343    0.25  0.44184  0.3  0.37178  0.35  0.29095   0.4  0.19665  0.45  0.085202   0.5 -0.048536  0.55 -0.21199    0.6 -0.41632   0.65 -0.67902    0.7 -1.02928  0.75 -1.51966   0.8 -2.25522  0.85  -3.48115   0.9  -5.93302  0.95 -13.28862
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50400 0.14258     0.4531        19 0.05 -0.47068   0.1  0.24066   0.15  0.4458    0.2  0.39313   0.25  0.33343  0.3  0.2652   0.35  0.18647   0.4  0.094628 0.45 -0.013916   0.5 -0.14417   0.55 -0.30337    0.6 -0.50237   0.65 -0.75822    0.7 -1.09936  0.75 -1.57696   0.8 -2.29335  0.85  -3.48734   0.9  -5.87531  0.95 -13.03924
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50400 0.061806    0.34331       19 0.05  0.18706   0.1  0.31871   0.15  0.28316   0.2  0.24318   0.25  0.19786  0.3  0.14607  0.35  0.086307  0.4  0.016586 0.45 -0.065811   0.5 -0.16469   0.55 -0.28554    0.6 -0.4366    0.65 -0.63082    0.7 -0.88978  0.75 -1.25233   0.8 -1.79615  0.85  -2.70251   0.9  -4.51525  0.95  -9.95345
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50400 0.018234    0.066759      19 0.05  0.041521  0.1 -0.0018136 0.15 -0.050246  0.2 -0.10473   0.25 -0.16649  0.3 -0.23706  0.35 -0.31849   0.4 -0.41349  0.45 -0.52577    0.5 -0.6605    0.55 -0.82517    0.6 -1.03101   0.65 -1.29566    0.7 -1.64853  0.75 -2.14255   0.8 -2.88357  0.85  -4.11861   0.9  -6.58868  0.95 -13.99891
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50400 0.0045437  -0.0043053     19 0.05 -0.049644  0.1 -0.1048    0.15 -0.16645   0.2 -0.23581   0.25 -0.31441  0.3 -0.40424  0.35 -0.50789   0.4 -0.62882  0.45 -0.77173    0.5 -0.94323   0.55 -1.15284    0.6 -1.41485   0.65 -1.75172    0.7 -2.20087  0.75 -2.82969   0.8 -3.77293  0.85  -5.34498   0.9  -8.48908  0.95 -17.9214
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50400 0.001627   -0.0012123     19 0.05 -0.039153  0.1 -0.082656  0.15 -0.13128   0.2 -0.18598   0.25 -0.24797  0.3 -0.31882  0.35 -0.40056   0.4 -0.49593  0.45 -0.60865    0.5 -0.7439    0.55 -0.90921    0.6 -1.11585   0.65 -1.38153    0.7 -1.73577  0.75 -2.23171   0.8 -2.97561  0.85  -4.21545   0.9  -6.69512  0.95 -14.13415
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50400 0.00011905 -0.00013891    19 0.05 -0.061404  0.1 -0.12963   0.15 -0.20588   0.2 -0.29167   0.25 -0.38889  0.3 -0.5      0.35 -0.62821   0.4 -0.77778  0.45 -0.95455    0.5 -1.16667   0.55 -1.42593    0.6 -1.75      0.65 -2.16667    0.7 -2.72222  0.75 -3.5       0.8 -4.66667  0.85  -6.61111   0.9 -10.5      0.95 -22.16667
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50400 0          NA             19 0.05 NA         0.1 NA         0.15 NA         0.2 NA         0.25 NA        0.3 NA        0.35 NA         0.4 NA        0.45 NA          0.5 NA         0.55 NA          0.6 NA         0.65 NA          0.7 NA        0.75 NA         0.8 NA        0.85  NA         0.9  NA        0.95  NA
