VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49484 0.54555     0.54187    0.54923           NA        NA 0.75845     0.75527    0.7616            NA        NA 0.70566 0.70228 0.70902      NA      NA  1.39024        NA        NA  0.92536   0.92339     0.92728          NA       NA 0.44192  0.43826  0.4456        NA       NA 0.55808     0.5544     0.56174          NA       NA  0.33439  0.33091  0.33789      NA      NA  0.63169   0.62812     0.63525         NA      NA  0.23627         NA      NA  0.36728     0.36338    0.37119       NA     NA  0.38223         NA      NA  9.81725  9.39436 10.25919       NA       NA  2.28414   2.24011   2.32817        NA        NA  0.81511  0.80772  0.8225        NA       NA  0.77302  0.76565  0.7804       NA      NA  0.291    0.28563  0.29637       NA       NA  0.76523  0.74511  0.78534      NA      NA  0.56087  0.73947  0.79098       NA       NA  0.29202         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49484 0.54555     0.54116    0.54993           NA        NA 0.75845     0.75466    0.7622            NA        NA 0.70566 0.70163 0.70966      NA      NA  1.39024        NA        NA  0.92536   0.92301     0.92764          NA       NA 0.44192  0.43755  0.4463        NA       NA 0.55808     0.5537     0.56245          NA       NA  0.33439  0.33025  0.33856      NA      NA  0.63169   0.62743     0.63593         NA      NA  0.23627         NA      NA  0.36728     0.36263    0.37193       NA     NA  0.38223         NA      NA  9.81725  9.31545 10.34609       NA       NA  2.28414   2.23167   2.33661        NA        NA  0.81511  0.80631  0.82391       NA       NA  0.77302  0.76424  0.78181      NA      NA  0.291    0.2846   0.2974        NA       NA  0.76523  0.74125  0.7892       NA      NA  0.56087  0.73454  0.79591       NA       NA  0.29202         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20761 0.47083     0.46514    0.47654           NA        NA 0.71499     0.70981    0.72012           NA        NA 0.65161 0.64615 0.65703      NA      NA  1.51857        NA        NA  0.88931   0.88568     0.89284          NA       NA 0.44011  0.43445  0.44578       NA       NA 0.55989     0.55422    0.56555          NA       NA  0.41438  0.40876  0.42001      NA      NA  0.54584   0.54015     0.55151         NA      NA  0.19066         NA      NA  0.32942     0.32224    0.33659       NA     NA  0.32026         NA      NA  6.31529  5.93721  6.71745       NA       NA  1.84297   1.78124   1.90471        NA        NA  0.7266   0.71203  0.74117       NA       NA  0.73049  0.71883  0.74216      NA      NA  0.25061  0.24218  0.25904       NA       NA  0.66354  0.62678  0.70029      NA      NA  0.49555  0.62426  0.70282       NA       NA  0.2419          NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20761 0.47083     0.46405    0.47763           NA        NA 0.71499     0.70881    0.72109           NA        NA 0.65161 0.6451  0.65806      NA      NA  1.51857        NA        NA  0.88931   0.88497     0.89351          NA       NA 0.44011  0.43336  0.44687       NA       NA 0.55989     0.55313    0.56664          NA       NA  0.41438  0.40769  0.42109      NA      NA  0.54584   0.53906     0.5526          NA      NA  0.19066         NA      NA  0.32942     0.32086    0.33797       NA     NA  0.32026         NA      NA  6.31529  5.8674   6.79736       NA       NA  1.84297   1.76941   1.91653        NA        NA  0.7266   0.70924  0.74396       NA       NA  0.73049  0.71659  0.7444       NA      NA  0.25061  0.24056  0.26066       NA       NA  0.66354  0.61974  0.70734      NA      NA  0.49555  0.61674  0.71034       NA       NA  0.2419          NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49484 0.39894     0.39532    0.40256           NA        NA 0.56046     0.55679    0.56413           NA        NA 0.72874 0.72544 0.73202      NA      NA  1.40489        NA        NA  0.86247   0.8599      0.865            NA       NA 0.63998  0.63643  0.64352       NA       NA 0.36002     0.35648    0.36357          NA       NA  0.3861   0.3825   0.3897       NA      NA  0.55916   0.55549     0.56283         NA      NA  0.30755         NA      NA  0.50245     0.49725    0.50765       NA     NA  0.47043         NA      NA 11.14775 10.71736 11.59543       NA       NA  2.41124   2.37187   2.45061        NA        NA  0.83536  0.82941  0.84131       NA       NA  0.72265  0.7151   0.73019      NA      NA  0.404    0.39785  0.41016       NA       NA  0.74699  0.73366  0.76031      NA      NA  0.66983  0.73179  0.76218       NA       NA  0.31165         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49484 0.39894     0.39463    0.40326           NA        NA 0.56046     0.55609    0.56483           NA        NA 0.72874 0.72481 0.73264      NA      NA  1.40489        NA        NA  0.86247   0.85941     0.86548          NA       NA 0.63998  0.63574  0.6442        NA       NA 0.36002     0.3558     0.36426          NA       NA  0.3861   0.38182  0.39039      NA      NA  0.55916   0.55479     0.56353         NA      NA  0.30755         NA      NA  0.50245     0.49625    0.50865       NA     NA  0.47043         NA      NA 11.14775 10.63683 11.68322       NA       NA  2.41124   2.36432   2.45815        NA        NA  0.83536  0.82827  0.84245       NA       NA  0.72265  0.71365  0.73164      NA      NA  0.404    0.39667  0.41133       NA       NA  0.74699  0.73111  0.76287      NA      NA  0.66983  0.72888  0.7651        NA       NA  0.31165         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20761 0.30923     0.30398    0.31453           NA        NA 0.51756     0.51185    0.52326           NA        NA 0.69544 0.69016 0.70067      NA      NA  1.67368        NA        NA  0.84439   0.84021     0.84849          NA       NA 0.62876  0.62322  0.63425       NA       NA 0.37124     0.36575    0.37678          NA       NA  0.49549  0.48978  0.50119      NA      NA  0.4616    0.45591     0.46729         NA      NA  0.24916         NA      NA  0.47315     0.4642     0.4821        NA     NA  0.39893         NA      NA  9.19047  8.62616  9.79171       NA       NA  2.21817   2.1548    2.28154        NA        NA  0.80374  0.79252  0.81495       NA       NA  0.74808  0.73661  0.75955      NA      NA  0.36454  0.35558  0.37349       NA       NA  0.70839  0.68339  0.73339      NA      NA  0.63659  0.68102  0.73577       NA       NA  0.26197         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20761 0.30923     0.30298    0.31556           NA        NA 0.51756     0.51076    0.52435           NA        NA 0.69544 0.68914 0.70166      NA      NA  1.67368        NA        NA  0.84439   0.8394      0.84926          NA       NA 0.62876  0.62216  0.6353        NA       NA 0.37124     0.3647     0.37784          NA       NA  0.49549  0.48869  0.50229      NA      NA  0.4616    0.45482     0.46839         NA      NA  0.24916         NA      NA  0.47315     0.46248    0.48382       NA     NA  0.39893         NA      NA  9.19047  8.52207  9.9113        NA       NA  2.21817   2.14266   2.29368        NA        NA  0.80374  0.79037  0.8171        NA       NA  0.74808  0.73441  0.76175      NA      NA  0.36454  0.35387  0.37521       NA       NA  0.70839  0.6786   0.73818      NA      NA  0.63659  0.67577  0.74101       NA       NA  0.26197         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49484 0.21128     0.20828    0.21431           NA        NA 0.31218     0.30877    0.31562           NA        NA 0.77918 0.7761  0.78223      NA      NA  1.47757        NA        NA  0.71621   0.71287     0.71953          NA       NA 0.79605  0.79305  0.79901       NA       NA 0.20395     0.20099    0.20695          NA       NA  0.51528  0.51158  0.51897      NA      NA  0.40663   0.403       0.41026         NA      NA  0.2788          NA      NA  0.51226     0.5041     0.52043       NA     NA  0.43603         NA      NA  9.8506   9.45268 10.26526       NA       NA  2.28753   2.2463    2.32877        NA        NA  0.81568  0.80878  0.82258       NA       NA  0.64649  0.63766  0.65532      NA      NA  0.43974  0.43202  0.44747       NA       NA  0.65297  0.63966  0.66629      NA      NA  0.67058  0.63987  0.66608       NA       NA  0.25919         NA        NA
V7.0    ECMWF NA   480000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49484 0.21128     0.20771    0.2149            NA        NA 0.31218     0.30811    0.31628           NA        NA 0.77918 0.7755  0.78281      NA      NA  1.47757        NA        NA  0.71621   0.71222     0.72017          NA       NA 0.79605  0.79248  0.79958       NA       NA 0.20395     0.20042    0.20752          NA       NA  0.51528  0.51087  0.51968      NA      NA  0.40663   0.4023      0.41096         NA      NA  0.2788          NA      NA  0.51226     0.50253    0.52199       NA     NA  0.43603         NA      NA  9.8506   9.37831 10.34666       NA       NA  2.28753   2.2384    2.33666        NA        NA  0.81568  0.80746  0.8239        NA       NA  0.64649  0.63597  0.65701      NA      NA  0.43974  0.43055  0.44894       NA       NA  0.65297  0.63711  0.66884      NA      NA  0.67058  0.63736  0.66859       NA       NA  0.25919         NA        NA
