VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI        CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS      SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI       EDI_NCL   EDI_NCU  EDI_BCL EDI_BCU SEDI      SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50399 0.54184     0.53818    0.54548           NA        NA 0.74611     0.7429     0.74928           NA        NA 0.68993 0.68654 0.69331      NA      NA  1.377          NA        NA  0.90237   0.90018     0.90453          NA       NA 0.4387   0.43507  0.44234       NA       NA 0.5613      0.55766    0.56493          NA       NA  0.34468  0.34121  0.34817      NA      NA  0.61193    0.60836     0.6155          NA      NA  0.2145          NA      NA  0.34107     0.33671    0.34544       NA     NA  0.35323         NA      NA  7.22415  6.94085  7.51902       NA       NA  1.97743   1.93742   2.01744        NA        NA  0.75681  0.74827  0.76536       NA       NA  0.71286   0.70502  0.7207       NA      NA  0.26577   0.25997   0.27156       NA       NA  0.69796   0.67635   0.71957      NA      NA  0.5162    0.6737    0.72222       NA       NA  0.26128          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50399 0.54184     0.53748    0.54618           NA        NA 0.74611     0.74229    0.74989           NA        NA 0.68993 0.68588 0.69396      NA      NA  1.377          NA        NA  0.90237   0.89975     0.90493          NA       NA 0.4387   0.43437  0.44304       NA       NA 0.5613      0.55696    0.56563          NA       NA  0.34468  0.34054  0.34884      NA      NA  0.61193    0.60767     0.61618         NA      NA  0.2145          NA      NA  0.34107     0.33587    0.34627       NA     NA  0.35323         NA      NA  7.22415  6.88786  7.57686       NA       NA  1.97743   1.92976   2.0251         NA        NA  0.75681  0.74663  0.767         NA       NA  0.71286   0.70352  0.7222       NA      NA  0.26577   0.25886   0.27267       NA       NA  0.69796   0.67221   0.72371      NA      NA  0.5162    0.66905   0.72687       NA       NA  0.26128          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50399 0.40152     0.39793    0.40511           NA        NA 0.55648     0.55284    0.56012           NA        NA 0.70618 0.70284 0.70951      NA      NA  1.38595        NA        NA  0.82709   0.8243      0.82984          NA       NA 0.62507  0.62152  0.62861       NA       NA 0.37493     0.37139    0.37848          NA       NA  0.40323  0.39964  0.40683      NA      NA  0.53058    0.52692     0.53423         NA      NA  0.26997         NA      NA  0.45216     0.44651    0.45781       NA     NA  0.42516         NA      NA  7.97467  7.69039  8.26947       NA       NA  2.07627   2.03997   2.11257        NA        NA  0.77715  0.76996  0.78434       NA       NA  0.65557   0.64763  0.66351      NA      NA  0.35949   0.35297   0.36601       NA       NA  0.67572   0.66115   0.69029      NA      NA  0.61143   0.66023   0.69122       NA       NA  0.27295          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50399 0.40152     0.39724    0.4058            NA        NA 0.55648     0.55214    0.56081           NA        NA 0.70618 0.70219 0.71015      NA      NA  1.38595        NA        NA  0.82709   0.82376     0.83037          NA       NA 0.62507  0.62083  0.62929       NA       NA 0.37493     0.37071    0.37917          NA       NA  0.40323  0.39896  0.40752      NA      NA  0.53058    0.52622     0.53493         NA      NA  0.26997         NA      NA  0.45216     0.44543    0.4589        NA     NA  0.42516         NA      NA  7.97467  7.6371   8.32717       NA       NA  2.07627   2.03302   2.11952        NA        NA  0.77715  0.76859  0.78572       NA       NA  0.65557   0.64611  0.66503      NA      NA  0.35949   0.35172   0.36726       NA       NA  0.67572   0.65836   0.69308      NA      NA  0.61143   0.65726   0.69419       NA       NA  0.27295          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50399 0.22157     0.21854    0.22463           NA        NA 0.30304     0.29969    0.30642           NA        NA 0.76837 0.76526 0.77144      NA      NA  1.36769        NA        NA  0.66114   0.65767     0.6646           NA       NA 0.79889  0.79594  0.80181       NA       NA 0.20111     0.19819    0.20406          NA       NA  0.5166   0.51294  0.52026      NA      NA  0.38742    0.38385     0.39099         NA      NA  0.25515         NA      NA  0.46003     0.45168    0.46838       NA     NA  0.40656         NA      NA  7.75053  7.45507  8.05771       NA       NA  2.04776   2.00889   2.08663        NA        NA  0.77144  0.76357  0.77931       NA       NA  0.56915   0.56005  0.57826      NA      NA  0.40614   0.39798   0.41429       NA       NA  0.58984   0.57664   0.60304      NA      NA  0.61598   0.57674   0.60294       NA       NA  0.23749          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50399 0.22157     0.21797    0.22522           NA        NA 0.30304     0.29904    0.30707           NA        NA 0.76837 0.76466 0.77203      NA      NA  1.36769        NA        NA  0.66114   0.657       0.66526          NA       NA 0.79889  0.79537  0.80237       NA       NA 0.20111     0.19763    0.20463          NA       NA  0.5166   0.51223  0.52096      NA      NA  0.38742    0.38317     0.39168         NA      NA  0.25515         NA      NA  0.46003     0.45008    0.46998       NA     NA  0.40656         NA      NA  7.75053  7.39976  8.11793       NA       NA  2.04776   2.00145   2.09407        NA        NA  0.77144  0.76207  0.78082       NA       NA  0.56915   0.55831  0.58         NA      NA  0.40614   0.39642   0.41586       NA       NA  0.58984   0.57411   0.60557      NA      NA  0.61598   0.57423   0.60545       NA       NA  0.23749          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50399 0.14258     0.14004    0.14516           NA        NA 0.17074     0.168      0.17351           NA        NA 0.84097 0.83827 0.84363      NA      NA  1.19747        NA        NA  0.54105   0.5374      0.5447           NA       NA 0.89084  0.88854  0.89311       NA       NA 0.10916     0.10689    0.11146          NA       NA  0.54817  0.54452  0.55181      NA      NA  0.32664    0.32321     0.33009         NA      NA  0.24926         NA      NA  0.4319      0.42145    0.44234       NA     NA  0.39905         NA      NA  9.62111  9.18419 10.07883       NA       NA  2.26396   2.21748   2.31044        NA        NA  0.8117   0.80377  0.81962       NA       NA  0.52051   0.50991  0.53112      NA      NA  0.45018   0.44006   0.46029       NA       NA  0.56579   0.55266   0.57891      NA      NA  0.608     0.55252   0.57905       NA       NA  0.23428          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50399 0.14258     0.13956    0.14566           NA        NA 0.17074     0.16748    0.17405           NA        NA 0.84097 0.83775 0.84414      NA      NA  1.19747        NA        NA  0.54105   0.5367      0.5454           NA       NA 0.89084  0.88809  0.89354       NA       NA 0.10916     0.10646    0.11191          NA       NA  0.54817  0.54382  0.55251      NA      NA  0.32664    0.32256     0.33075         NA      NA  0.24926         NA      NA  0.4319      0.41946    0.44433       NA     NA  0.39905         NA      NA  9.62111  9.10278 10.16896       NA       NA  2.26396   2.20858   2.31934        NA        NA  0.8117   0.80225  0.82114       NA       NA  0.52051   0.50788  0.53315      NA      NA  0.45018   0.43812   0.46223       NA       NA  0.56579   0.55015   0.58142      NA      NA  0.608     0.54998   0.5816        NA       NA  0.23428          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50399 0.061807    0.060066   0.063595          NA        NA 0.053195    0.051575   0.054864          NA        NA 0.93234 0.93048 0.93416      NA      NA  0.86067        NA        NA  0.38299   0.37943     0.38655          NA       NA 0.96853  0.96723  0.96978       NA       NA 0.031469    0.030215   0.032774         NA       NA  0.55502  0.55137  0.55865      NA      NA  0.25918    0.25598     0.2624          NA      NA  0.23151         NA      NA  0.35152     0.33673    0.3663        NA     NA  0.37598         NA      NA 19.10344 17.73165 20.58136       NA       NA  2.94987   2.87535   3.02439        NA        NA  0.90051  0.89347  0.90756       NA       NA  0.48724   0.47238  0.5021       NA      NA  0.52732   0.51206   0.54258       NA       NA  0.56557   0.55004   0.58111      NA      NA  0.59795   0.54943   0.58172       NA       NA  0.24841          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50399 0.061807    0.059738   0.063943          NA        NA 0.053195    0.05127    0.055189          NA        NA 0.93234 0.93011 0.9345       NA      NA  0.86067        NA        NA  0.38299   0.37875     0.38724          NA       NA 0.96853  0.96697  0.97002       NA       NA 0.031469    0.029981   0.03303          NA       NA  0.55502  0.55067  0.55935      NA      NA  0.25918    0.25537     0.26302         NA      NA  0.23151         NA      NA  0.35152     0.3339     0.36913       NA     NA  0.37598         NA      NA 19.10344 17.48032 20.87728       NA       NA  2.94987   2.86108   3.03866        NA        NA  0.90051  0.89212  0.90891       NA       NA  0.48724   0.46953  0.50495      NA      NA  0.52732   0.50913   0.54551       NA       NA  0.56557   0.54706   0.58409      NA      NA  0.59795   0.54633   0.58481       NA       NA  0.24841          NA        NA
