VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9    CL_10 VALUE_10  CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14 CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50399 0.54184     0.34107       19 0.05 -1.75497   0.1 -0.60041  0.15 -0.21555   0.2 -0.023126 0.25  0.09233   0.3  0.1693   0.35  0.22428   0.4  0.26551  0.45  0.29759     0.5  0.32324   0.55  0.32228    0.6  0.19044   0.65  0.020931   0.7 -0.20508  0.75  -0.5215    0.8  -0.99612  0.85  -1.78716   0.9  -3.36923  0.95  -8.11546
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50399 0.40152     0.45216       19 0.05 -1.57899   0.1 -0.41896  0.15 -0.03228   0.2  0.16106  0.25  0.27706   0.3  0.3544   0.35  0.40964   0.4  0.45107  0.45  0.36984     0.5  0.26823   0.55  0.14404    0.6 -0.011193  0.65 -0.21078    0.7 -0.47691  0.75  -0.84948   0.8  -1.40833  0.85  -2.33976   0.9  -4.20261  0.95  -9.79116
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50399 0.22157     0.46003       19 0.05 -1.0337    0.1 -0.069178 0.15  0.25233   0.2  0.41308  0.25  0.42563   0.3  0.35834  0.35  0.2807    0.4  0.19011  0.45  0.083061    0.5 -0.045402  0.55 -0.20241    0.6 -0.39867   0.65 -0.65101    0.7 -0.98746  0.75  -1.45849   0.8  -2.16504  0.85  -3.34262   0.9  -5.69777  0.95 -12.76323
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50399 0.14258     0.4319        19 0.05 -0.55923   0.1  0.20397  0.15  0.42521   0.2  0.37695  0.25  0.32225   0.3  0.25973  0.35  0.1876    0.4  0.10344  0.45  0.003985    0.5 -0.11536   0.55 -0.26123    0.6 -0.44357   0.65 -0.678      0.7 -0.99058  0.75  -1.42819   0.8  -2.08461  0.85  -3.17863   0.9  -5.36669  0.95 -11.93084
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50399 0.061807    0.35152       19 0.05  0.19622   0.1  0.32991  0.15  0.29869   0.2  0.26356  0.25  0.22376   0.3  0.17826  0.35  0.12577   0.4  0.064526 0.45 -0.0078506   0.5 -0.094703  0.55 -0.20086    0.6 -0.33355   0.65 -0.50415    0.7 -0.73162  0.75  -1.05008   0.8  -1.52777  0.85  -2.32392   0.9  -3.91621  0.95  -8.6931
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50399 0.018234    0.052657      19 0.05  0.029494  0.1 -0.010277 0.15 -0.054727  0.2 -0.10473  0.25 -0.16141   0.3 -0.22618  0.35 -0.30091   0.4 -0.3881   0.45 -0.49115     0.5 -0.6148    0.55 -0.76593    0.6 -0.95484   0.65 -1.19773    0.7 -1.52158  0.75  -1.97497   0.8  -2.65506  0.85  -3.78854   0.9  -6.0555   0.95 -12.85637
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50399 0.0045437  -0.0038071     19 0.05 -0.043898  0.1 -0.092673 0.15 -0.14719   0.2 -0.20852  0.25 -0.27802   0.3 -0.35745  0.35 -0.44911   0.4 -0.55604  0.45 -0.68241     0.5 -0.83406   0.55 -1.01941    0.6 -1.25109   0.65 -1.54897    0.7 -1.94614  0.75  -2.50218   0.8  -3.33624  0.85  -4.72635   0.9  -7.50655  0.95 -15.84716
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50399 0.001627   -0.0011527     19 0.05 -0.037227  0.1 -0.078591 0.15 -0.12482   0.2 -0.17683  0.25 -0.23577   0.3 -0.30314  0.35 -0.38086   0.4 -0.47154  0.45 -0.57871     0.5 -0.70732   0.55 -0.8645     0.6 -1.06098   0.65 -1.31359    0.7 -1.65041  0.75  -2.12195   0.8  -2.82927  0.85  -4.00813   0.9  -6.36585  0.95 -13.43902
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50399 0.00011905 -9.922e-05     19 0.05 -0.04386   0.1 -0.092593 0.15 -0.14706   0.2 -0.20833  0.25 -0.27778   0.3 -0.35714  0.35 -0.44872   0.4 -0.55556  0.45 -0.68182     0.5 -0.83333   0.55 -1.01852    0.6 -1.25      0.65 -1.54762    0.7 -1.94444  0.75  -2.5       0.8  -3.33333  0.85  -4.72222   0.9  -7.5      0.95 -15.83333
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50399 0          NA             19 0.05 NA         0.1 NA        0.15 NA         0.2 NA        0.25 NA         0.3 NA        0.35 NA         0.4 NA        0.45 NA           0.5 NA         0.55 NA          0.6 NA         0.65 NA          0.7 NA        0.75  NA         0.8  NA        0.85  NA         0.9  NA        0.95  NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >0.1        >0.1       NA         NA    ECLV      20796 0.4711      0.30371       19 0.05 -1.8629    0.1 -0.65097  0.15 -0.24699   0.2 -0.045004 0.25  0.076189  0.3  0.15698  0.35  0.21469   0.4  0.25798  0.45  0.29164     0.5  0.23497   0.55  0.095199   0.6 -0.079514  0.65 -0.30415    0.7 -0.60365  0.75  -1.02297   0.8  -1.65193  0.85  -2.70021   0.9  -4.79677  0.95 -11.08646
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >1.0        >1.0       NA         NA    ECLV      20796 0.32227     0.42862       19 0.05 -1.13233   0.1 -0.20853  0.15  0.099404  0.2  0.25337  0.25  0.34575   0.3  0.40734  0.35  0.3787    0.4  0.27703  0.45  0.15687     0.5  0.012683  0.55 -0.16355    0.6 -0.38384   0.65 -0.66707    0.7 -1.04471  0.75  -1.57341   0.8  -2.36646  0.85  -3.6882    0.9  -6.33169  0.95 -14.26216
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >5.0        >5.0       NA         NA    ECLV      20796 0.16051     0.4732        19 0.05 -0.42439   0.1  0.22746  0.15  0.44474   0.2  0.41604  0.25  0.33503   0.3  0.24245  0.35  0.13562   0.4  0.010985 0.45 -0.13631     0.5 -0.31306   0.55 -0.52909    0.6 -0.79913   0.65 -1.14632    0.7 -1.60925  0.75  -2.25734   0.8  -3.22948  0.85  -4.84971   0.9  -8.09017  0.95 -17.81156
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >10.0       >10.0      NA         NA    ECLV      20796 0.094057    0.3564        19 0.05 -0.1672    0.1  0.34901  0.15  0.28275   0.2  0.20821  0.25  0.12372   0.3  0.027169 0.35 -0.084238  0.4 -0.21421  0.45 -0.36782     0.5 -0.55215   0.55 -0.77744    0.6 -1.05905   0.65 -1.42112    0.7 -1.90389  0.75  -2.57975   0.8  -3.59356  0.85  -5.28323   0.9  -8.66258  0.95 -18.80061
