VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS        FSS_BCL FSS_BCU AFSS     AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    49475 0.22017         NA      NA  0.81655        NA      NA  0.95226       NA       NA 0.77201       NA       NA 0.74569            NA         NA 0.54401            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    49475 0.22017         NA      NA  0.81655        NA      NA  0.95226       NA       NA 0.77201       NA       NA 0.74569            NA         NA 0.54401            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    20761 0.25223         NA      NA  0.76277        NA      NA  0.92462       NA       NA 0.7353        NA       NA 0.70281            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    20761 0.25223         NA      NA  0.76277        NA      NA  0.92462       NA       NA 0.7353        NA       NA 0.70281            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    49475 0.19601         NA      NA  0.772          NA      NA  0.95065       NA       NA 0.7013        NA       NA 0.55491            NA         NA 0.40261            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    49475 0.19601         NA      NA  0.772          NA      NA  0.95065       NA       NA 0.7013        NA       NA 0.55491            NA         NA 0.40261            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    20761 0.21481         NA      NA  0.70507        NA      NA  0.8989        NA       NA 0.66078       NA       NA 0.51447            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    20761 0.21481         NA      NA  0.70507        NA      NA  0.8989        NA       NA 0.66078       NA       NA 0.51447            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    49475 0.15003         NA      NA  0.65822        NA      NA  0.95265       NA       NA 0.61052       NA       NA 0.30258            NA         NA 0.22104            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    49475 0.15003         NA      NA  0.65822        NA      NA  0.95265       NA       NA 0.61052       NA       NA 0.30258            NA         NA 0.22104            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    20761 0.13272         NA      NA  0.60915        NA      NA  0.88946       NA       NA 0.57979       NA       NA 0.2614             NA         NA 0.15958            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    20761 0.13272         NA      NA  0.60915        NA      NA  0.88946       NA       NA 0.57979       NA       NA 0.2614             NA         NA 0.15958            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      NA         0.1   NBRCNT    49475 0.099599        NA      NA  0.6027         NA      NA  0.98362       NA       NA 0.57093       NA       NA 0.17023            NA         NA 0.14187            NA         NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    49475 0.099599        NA      NA  0.6027         NA      NA  0.98362       NA       NA 0.57093       NA       NA 0.17023            NA         NA 0.14187            NA         NA
