VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL   SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL    EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL   SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49475 0.54547     0.54178    0.54915           NA        NA 0.74801     0.74479    0.75121           NA        NA 0.70209 0.6987  0.70546      NA      NA  1.37133        NA        NA  0.91259   0.91048     0.91465          NA       NA 0.44948  0.44581  0.45317       NA       NA 0.55052     0.54683    0.55419          NA       NA  0.33452  0.33104  0.33802      NA      NA  0.6256    0.62201     0.62917         NA      NA  0.23156         NA      NA  0.36207     0.35788    0.36627       NA     NA  0.37604         NA      NA  8.52405  8.1755   8.88745       NA       NA  2.14289  2.10114    2.18464        NA        NA  0.79001  0.78216  0.79785       NA       NA  0.73775  0.73003   0.74547      NA      NA  0.28507  0.27936    0.29078       NA       NA  0.73424  0.71394    0.75454      NA      NA  0.54594  0.70993    0.75855       NA       NA  0.27894          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49475 0.54547     0.54108    0.54985           NA        NA 0.74801     0.74417    0.75182           NA        NA 0.70209 0.69805 0.70611      NA      NA  1.37133        NA        NA  0.91259   0.91007     0.91504          NA       NA 0.44948  0.4451   0.45387       NA       NA 0.55052     0.54613    0.5549           NA       NA  0.33452  0.33038  0.33869      NA      NA  0.6256    0.62133     0.62985         NA      NA  0.23156         NA      NA  0.36207     0.35707    0.36707       NA     NA  0.37604         NA      NA  8.52405  8.11038  8.95881       NA       NA  2.14289  2.09314    2.19264        NA        NA  0.79001  0.78066  0.79935       NA       NA  0.73775  0.72855   0.74695      NA      NA  0.28507  0.27827    0.29188       NA       NA  0.73424  0.71005    0.75842      NA      NA  0.54594  0.70527    0.76321       NA       NA  0.27894          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20761 0.47083     0.46514    0.47654           NA        NA 0.70358     0.69834    0.70877           NA        NA 0.64896 0.64349 0.65439      NA      NA  1.49432        NA        NA  0.87437   0.87054     0.87811          NA       NA 0.44839  0.44272  0.45407       NA       NA 0.55161     0.54593    0.55728          NA       NA  0.41487  0.40926  0.4205       NA      NA  0.53975   0.53406     0.54544         NA      NA  0.18638         NA      NA  0.32276     0.31518    0.33034       NA     NA  0.3142          NA      NA  5.65766  5.33196  6.00326       NA       NA  1.73301  1.67372    1.7923         NA        NA  0.69959  0.68446  0.71473       NA       NA  0.69747  0.68541   0.70953      NA      NA  0.24488  0.23603    0.25372       NA       NA  0.63177  0.5955     0.66805      NA      NA  0.48063  0.59437    0.66918       NA       NA  0.23085          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20761 0.47083     0.46405    0.47763           NA        NA 0.70358     0.69733    0.70975           NA        NA 0.64896 0.64244 0.65542      NA      NA  1.49432        NA        NA  0.87437   0.8698      0.87881          NA       NA 0.44839  0.44163  0.45516       NA       NA 0.55161     0.54484    0.55837          NA       NA  0.41487  0.40818  0.42159      NA      NA  0.53975   0.53297     0.54653         NA      NA  0.18638         NA      NA  0.32276     0.31373    0.33179       NA     NA  0.3142          NA      NA  5.65766  5.27174  6.07184       NA       NA  1.73301  1.66236    1.80366        NA        NA  0.69959  0.68156  0.71763       NA       NA  0.69747  0.6831    0.71184      NA      NA  0.24488  0.23434    0.25542       NA       NA  0.63177  0.58855    0.675        NA      NA  0.48063  0.5872     0.67635       NA       NA  0.23085          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49475 0.39883     0.39521    0.40245           NA        NA 0.55666     0.55299    0.56034           NA        NA 0.71992 0.71659 0.72323      NA      NA  1.39575        NA        NA  0.84675   0.84406     0.84939          NA       NA 0.63578  0.63221  0.63933       NA       NA 0.36422     0.36067    0.36779          NA       NA  0.39334  0.38973  0.39696      NA      NA  0.54664   0.54295     0.55032         NA      NA  0.29232         NA      NA  0.48253     0.47709    0.48797       NA     NA  0.4524          NA      NA  9.64463  9.28434 10.01889       NA       NA  2.2664   2.22833    2.30447        NA        NA  0.81211  0.80563  0.81859       NA       NA  0.69352  0.68575   0.70129      NA      NA  0.38637  0.38001    0.39273       NA       NA  0.71717  0.70328    0.73106      NA      NA  0.64664  0.70187    0.73247       NA       NA  0.29528          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49475 0.39883     0.39452    0.40315           NA        NA 0.55666     0.55228    0.56104           NA        NA 0.71992 0.71595 0.72386      NA      NA  1.39575        NA        NA  0.84675   0.84355     0.84989          NA       NA 0.63578  0.63153  0.64001       NA       NA 0.36422     0.35999    0.36847          NA       NA  0.39334  0.38904  0.39765      NA      NA  0.54664   0.54225     0.55102         NA      NA  0.29232         NA      NA  0.48253     0.47604    0.48901       NA     NA  0.4524          NA      NA  9.64463  9.21687 10.09223       NA       NA  2.2664   2.22104    2.31177        NA        NA  0.81211  0.80439  0.81983       NA       NA  0.69352  0.68426   0.70278      NA      NA  0.38637  0.37879    0.39395       NA       NA  0.71717  0.70062    0.73372      NA      NA  0.64664  0.69894    0.7354        NA       NA  0.29528          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20761 0.30923     0.30398    0.31453           NA        NA 0.51746     0.51175    0.52316           NA        NA 0.69139 0.68609 0.69664      NA      NA  1.67336        NA        NA  0.83769   0.83344     0.84186          NA       NA 0.6259   0.62036  0.6314        NA       NA 0.3741      0.3686     0.37964          NA       NA  0.49939  0.49369  0.5051       NA      NA  0.45634   0.45066     0.46203         NA      NA  0.24293         NA      NA  0.46359     0.45449    0.4727        NA     NA  0.3909          NA      NA  8.63508  8.11197  9.19192       NA       NA  2.15583  2.09334    2.21832        NA        NA  0.79243  0.7808   0.80405       NA       NA  0.73777  0.72615   0.7494       NA      NA  0.35663  0.34755    0.3657        NA       NA  0.69474  0.66927    0.72021      NA      NA  0.62539  0.6672     0.72228       NA       NA  0.25522          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20761 0.30923     0.30298    0.31556           NA        NA 0.51746     0.51066    0.52425           NA        NA 0.69139 0.68507 0.69764      NA      NA  1.67336        NA        NA  0.83769   0.83262     0.84265          NA       NA 0.6259   0.61929  0.63246       NA       NA 0.3741      0.36754    0.38071          NA       NA  0.49939  0.49259  0.5062       NA      NA  0.45634   0.44958     0.46313         NA      NA  0.24293         NA      NA  0.46359     0.45274    0.47444       NA     NA  0.3909          NA      NA  8.63508  8.01543  9.30263       NA       NA  2.15583  2.08137    2.2303         NA        NA  0.79243  0.77857  0.80628       NA       NA  0.73777  0.72392   0.75163      NA      NA  0.35663  0.34582    0.36744       NA       NA  0.69474  0.66439    0.72509      NA      NA  0.62539  0.66192    0.72756       NA       NA  0.25522          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49475 0.21124     0.20824    0.21427           NA        NA 0.29993     0.29655    0.30333           NA        NA 0.77864 0.77555 0.78169      NA      NA  1.41986        NA        NA  0.68596   0.68252     0.68939          NA       NA 0.80345  0.8005   0.80638       NA       NA 0.19655     0.19362    0.1995           NA       NA  0.51688  0.51319  0.52058      NA      NA  0.39562   0.39201     0.39924         NA      NA  0.26921         NA      NA  0.48942     0.48101    0.49783       NA     NA  0.42421         NA      NA  8.9293   8.57484  9.29843       NA       NA  2.18934  2.14883    2.22985        NA        NA  0.79858  0.79124  0.80591       NA       NA  0.60974  0.60067   0.61881      NA      NA  0.42826  0.42021    0.43631       NA       NA  0.62378  0.6105     0.63707      NA      NA  0.64757  0.61068    0.63688       NA       NA  0.24971          NA        NA
V7.0    ECMWF NA   600000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49475 0.21124     0.20766    0.21486           NA        NA 0.29993     0.29591    0.30398           NA        NA 0.77864 0.77496 0.78227      NA      NA  1.41986        NA        NA  0.68596   0.68186     0.69004          NA       NA 0.80345  0.79993  0.80693       NA       NA 0.19655     0.19307    0.20007          NA       NA  0.51688  0.51248  0.52128      NA      NA  0.39562   0.39132     0.39994         NA      NA  0.26921         NA      NA  0.48942     0.4794     0.49944       NA     NA  0.42421         NA      NA  8.9293   8.50855  9.37086       NA       NA  2.18934  2.14107    2.23761        NA        NA  0.79858  0.78983  0.80732       NA       NA  0.60974  0.59893   0.62055      NA      NA  0.42826  0.41867    0.43785       NA       NA  0.62378  0.60795    0.63961      NA      NA  0.64757  0.60817    0.63939       NA       NA  0.24971          NA        NA
