VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI        CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL    HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS      ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS      SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI       EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI      SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50400 0.54185     0.53819    0.54549           NA        NA 0.75367     0.7505     0.75681           NA        NA 0.67972 0.67629 0.68313      NA      NA  1.39093        NA        NA  0.89992   0.8977      0.9021           NA       NA 0.4193   0.41569  0.42292       NA       NA 0.5807      0.57708    0.58431          NA       NA  0.35301  0.34951  0.35652      NA      NA  0.60357    0.59998     0.60714         NA      NA  0.19835         NA      NA  0.31922     0.31481   0.32363       NA     NA  0.33104         NA      NA  6.49292  6.2398   6.75632       NA       NA  1.87071   1.83095   1.91048        NA        NA  0.73308   0.72388  0.74228       NA       NA  0.70637   0.69848   0.71425      NA      NA  0.24694   0.24117  0.2527        NA       NA  0.67503   0.65152  0.69855      NA      NA  0.48972   0.64964  0.70042       NA       NA  0.24946          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50400 0.54185     0.53749    0.54619           NA        NA 0.75367     0.74989    0.75741           NA        NA 0.67972 0.67564 0.68378      NA      NA  1.39093        NA        NA  0.89992   0.89727     0.90251          NA       NA 0.4193   0.415    0.42361       NA       NA 0.5807      0.57639    0.585            NA       NA  0.35301  0.34885  0.35719      NA      NA  0.60357    0.59929     0.60783         NA      NA  0.19835         NA      NA  0.31922     0.31396   0.32448       NA     NA  0.33104         NA      NA  6.49292  6.19244  6.80798       NA       NA  1.87071   1.82333   1.9181         NA        NA  0.73308   0.72212  0.74404       NA       NA  0.70637   0.69697   0.71577      NA      NA  0.24694   0.24007  0.2538        NA       NA  0.67503   0.64701  0.70305      NA      NA  0.48972   0.64478  0.70529       NA       NA  0.24946          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50400 0.40153     0.39794    0.40512           NA        NA 0.5455      0.54185    0.54914           NA        NA 0.70222 0.69886 0.70556      NA      NA  1.35855        NA        NA  0.80847   0.80557     0.81134          NA       NA 0.63094  0.6274   0.63447       NA       NA 0.36906     0.36553    0.3726           NA       NA  0.4049   0.40131  0.4085       NA      NA  0.52157    0.5179      0.52522         NA      NA  0.26177         NA      NA  0.43941     0.43353   0.44529       NA     NA  0.41493         NA      NA  7.2163   6.96576  7.47585       NA       NA  1.97634   1.94101   2.01168        NA        NA  0.75658   0.74903  0.76414       NA       NA  0.62205   0.61394   0.63017      NA      NA  0.3497    0.34295  0.35645       NA       NA  0.6484    0.63382  0.66298      NA      NA  0.59481   0.63324  0.66357       NA       NA  0.26239          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50400 0.40153     0.39726    0.40581           NA        NA 0.5455      0.54115    0.54984           NA        NA 0.70222 0.69821 0.7062       NA      NA  1.35855        NA        NA  0.80847   0.80501     0.81188          NA       NA 0.63094  0.62672  0.63514       NA       NA 0.36906     0.36486    0.37328          NA       NA  0.4049   0.40062  0.4092       NA      NA  0.52157    0.5172      0.52593         NA      NA  0.26177         NA      NA  0.43941     0.4324    0.44642       NA     NA  0.41493         NA      NA  7.2163   6.91877  7.52663       NA       NA  1.97634   1.93424   2.01845        NA        NA  0.75658   0.74758  0.76558       NA       NA  0.62205   0.61239   0.63172      NA      NA  0.3497    0.34166  0.35775       NA       NA  0.6484    0.63103  0.66577      NA      NA  0.59481   0.63033  0.66647       NA       NA  0.26239          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50400 0.22157     0.21854    0.22463           NA        NA 0.30536     0.30199    0.30874           NA        NA 0.75827 0.75512 0.7614       NA      NA  1.37817        NA        NA  0.64359   0.64008     0.64709          NA       NA 0.79092  0.78792  0.79388       NA       NA 0.20908     0.20612    0.21208          NA       NA  0.53301  0.52935  0.53666      NA      NA  0.37104    0.36751     0.37458         NA      NA  0.23666         NA      NA  0.43451     0.42606   0.44296       NA     NA  0.38274         NA      NA  6.83083  6.57361  7.09812       NA       NA  1.92145   1.88306   1.95983        NA        NA  0.7446    0.73605  0.75315       NA       NA  0.54748   0.53828   0.55668      NA      NA  0.3828    0.37458  0.39102       NA       NA  0.56056   0.54697  0.57416      NA      NA  0.58725   0.54699  0.57414       NA       NA  0.22035          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50400 0.22157     0.21796    0.22521           NA        NA 0.30536     0.30135    0.30939           NA        NA 0.75827 0.75452 0.76199      NA      NA  1.37817        NA        NA  0.64359   0.6394      0.64776          NA       NA 0.79092  0.78734  0.79444       NA       NA 0.20908     0.20556    0.21266          NA       NA  0.53301  0.52865  0.53736      NA      NA  0.37104    0.36683     0.37526         NA      NA  0.23666         NA      NA  0.43451     0.42444   0.44458       NA     NA  0.38274         NA      NA  6.83083  6.52545  7.1505        NA       NA  1.92145   1.87571   1.96718        NA        NA  0.7446    0.73441  0.75479       NA       NA  0.54748   0.53652   0.55845      NA      NA  0.3828    0.373    0.3926        NA       NA  0.56056   0.54437  0.57676      NA      NA  0.58725   0.54438  0.57674       NA       NA  0.22035          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50400 0.14258     0.14004    0.14516           NA        NA 0.17359     0.17083    0.17638           NA        NA 0.8353  0.83256 0.838        NA      NA  1.21751        NA        NA  0.53117   0.52751     0.53483          NA       NA 0.88587  0.88352  0.88818       NA       NA 0.11413     0.11182    0.11648          NA       NA  0.56372  0.56008  0.56735      NA      NA  0.31499    0.31159     0.3184          NA      NA  0.23638         NA      NA  0.41704     0.40659   0.4275        NA     NA  0.38237         NA      NA  8.79413  8.39738  9.20962       NA       NA  2.17408   2.12792   2.22025        NA        NA  0.7958    0.78733  0.80426       NA       NA  0.50966   0.49899   0.52032      NA      NA  0.43339   0.42327  0.44352       NA       NA  0.54859   0.53519  0.56199      NA      NA  0.5905    0.53497  0.56221       NA       NA  0.2212           NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50400 0.14258     0.13955    0.14566           NA        NA 0.17359     0.17031    0.17692           NA        NA 0.8353  0.83203 0.83851      NA      NA  1.21751        NA        NA  0.53117   0.52681     0.53553          NA       NA 0.88587  0.88306  0.88862       NA       NA 0.11413     0.11138    0.11694          NA       NA  0.56372  0.55939  0.56805      NA      NA  0.31499    0.31094     0.31906         NA      NA  0.23638         NA      NA  0.41704     0.40458   0.4295        NA     NA  0.38237         NA      NA  8.79413  8.32344  9.29143       NA       NA  2.17408   2.11908   2.22909        NA        NA  0.7958    0.78571  0.80588       NA       NA  0.50966   0.49695   0.52237      NA      NA  0.43339   0.42133  0.44546       NA       NA  0.54859   0.53263  0.56455      NA      NA  0.5905    0.53236  0.56482       NA       NA  0.2212           NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50400 0.061806    0.060065   0.063593          NA        NA 0.05623     0.054566   0.057942          NA        NA 0.92784 0.92592 0.92971      NA      NA  0.90979        NA        NA  0.37111   0.36757     0.37465          NA       NA 0.96451  0.96313  0.96584       NA       NA 0.035487    0.034156   0.036868         NA       NA  0.5921   0.58849  0.59569      NA      NA  0.24119    0.23806     0.24433         NA      NA  0.2124          NA      NA  0.33562     0.32093   0.35031       NA     NA  0.35038         NA      NA 16.03847 14.90284 17.26064       NA       NA  2.77499   2.70155   2.84843        NA        NA  0.88262   0.8745   0.89073       NA       NA  0.47483   0.45984   0.48982      NA      NA  0.49987   0.48463  0.51512       NA       NA  0.54213   0.52607  0.55818      NA      NA  0.57456   0.52536  0.55889       NA       NA  0.22176          NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50400 0.061806    0.059736   0.063941          NA        NA 0.05623     0.054253   0.058275          NA        NA 0.92784 0.92555 0.93006      NA      NA  0.90979        NA        NA  0.37111   0.3669      0.37533          NA       NA 0.96451  0.96286  0.96609       NA       NA 0.035487    0.033907   0.037138         NA       NA  0.5921   0.5878   0.59638      NA      NA  0.24119    0.23747     0.24494         NA      NA  0.2124          NA      NA  0.33562     0.31812   0.35313       NA     NA  0.35038         NA      NA 16.03847 14.69464 17.50519       NA       NA  2.77499   2.68748   2.8625         NA        NA  0.88262   0.87295  0.89229       NA       NA  0.47483   0.45697   0.49269      NA      NA  0.49987   0.48171  0.51804       NA       NA  0.54213   0.52299  0.56126      NA      NA  0.57456   0.52215  0.56211       NA       NA  0.22176          NA        NA
