VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3    CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10  CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13  CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50400 0.54185     0.31922       19 0.05 -1.8295    0.1 -0.64592  0.15 -0.2514     0.2 -0.054134 0.25  0.064224  0.3  0.14313  0.35  0.19949   0.4  0.24176  0.45  0.27464    0.5  0.30094   0.55  0.2998     0.6  0.16341   0.65 -0.011953   0.7 -0.24577  0.75 -0.57311   0.8  -1.06412  0.85  -1.88247   0.9  -3.51917  0.95  -8.42927
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50400 0.40153     0.43941       19 0.05 -1.8106    0.1 -0.52558  0.15 -0.097238   0.2  0.11693  0.25  0.24543   0.3  0.3311   0.35  0.39229   0.4  0.43819  0.45  0.3584     0.5  0.25839   0.55  0.13615    0.6 -0.016653  0.65 -0.21311    0.7 -0.47505  0.75 -0.84177   0.8  -1.39186  0.85  -2.30866   0.9  -4.14226  0.95  -9.64308
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50400 0.22157     0.43451       19 0.05 -1.13654   0.1 -0.12209  0.15  0.21606    0.2  0.38513  0.25  0.39873   0.3  0.32877  0.35  0.24805   0.4  0.15388  0.45  0.042577   0.5 -0.090982  0.55 -0.25422    0.6 -0.45827   0.65 -0.72062    0.7 -1.07042  0.75 -1.56013   0.8  -2.29471  0.85  -3.519     0.9  -5.96758  0.95 -13.31333
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50400 0.14258     0.41704       19 0.05 -0.59539   0.1  0.18422  0.15  0.41005    0.2  0.35959  0.25  0.30239   0.3  0.23703  0.35  0.16161   0.4  0.073615 0.45 -0.030375   0.5 -0.15516   0.55 -0.30768    0.6 -0.49833   0.65 -0.74345    0.7 -1.07028  0.75 -1.52783   0.8  -2.21417  0.85  -3.35806   0.9  -5.64584  0.95 -12.50918
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50400 0.061806    0.33562       19 0.05  0.17735   0.1  0.31125  0.15  0.27605    0.2  0.23644  0.25  0.19155   0.3  0.14024  0.35  0.081047  0.4  0.011985 0.45 -0.069634   0.5 -0.16758   0.55 -0.28728    0.6 -0.43692   0.65 -0.62931    0.7 -0.88582  0.75 -1.24494   0.8  -1.78363  0.85  -2.68143   0.9  -4.47705  0.95  -9.86388
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50400 0.018234    0.12965       19 0.05  0.102     0.1  0.054528 0.15  0.0014722  0.2 -0.058215 0.25 -0.12586   0.3 -0.20317  0.35 -0.29237   0.4 -0.39645  0.45 -0.51944    0.5 -0.66703   0.55 -0.84742    0.6 -1.07291   0.65 -1.36282    0.7 -1.74937  0.75 -2.29053   0.8  -3.10229  0.85  -4.4552    0.9  -7.16104  0.95 -15.27856
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50400 0.0045437  -0.0047836     19 0.05 -0.05516   0.1 -0.11645  0.15 -0.18495    0.2 -0.26201  0.25 -0.34934   0.3 -0.44916  0.35 -0.56433   0.4 -0.69869  0.45 -0.85748    0.5 -1.04803   0.55 -1.28093    0.6 -1.57205   0.65 -1.94635    0.7 -2.44541  0.75 -3.1441    0.8  -4.19214  0.85  -5.93886   0.9  -9.43231  0.95 -19.91266
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50400 0.001627   -0.0012719     19 0.05 -0.041078  0.1 -0.086721 0.15 -0.13773    0.2 -0.19512  0.25 -0.26016   0.3 -0.33449  0.35 -0.42026   0.4 -0.52033  0.45 -0.63858    0.5 -0.78049   0.55 -0.95393    0.6 -1.17073   0.65 -1.44948    0.7 -1.82114  0.75 -2.34146   0.8  -3.12195  0.85  -4.42276   0.9  -7.02439  0.95 -14.82927
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50400 0.00011905 -0.00015875    19 0.05 -0.070175  0.1 -0.14815  0.15 -0.23529    0.2 -0.33333  0.25 -0.44444   0.3 -0.57143  0.35 -0.71795   0.4 -0.88889  0.45 -1.09091    0.5 -1.33333   0.55 -1.62963    0.6 -2         0.65 -2.47619    0.7 -3.11111  0.75 -4         0.8  -5.33333  0.85  -7.55556   0.9 -12        0.95 -25.33333
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50400 0          NA             19 0.05 NA         0.1 NA        0.15 NA          0.2 NA        0.25 NA         0.3 NA        0.35 NA         0.4 NA        0.45 NA          0.5 NA         0.55 NA          0.6 NA         0.65 NA          0.7 NA        0.75 NA         0.8  NA        0.85  NA         0.9  NA        0.95  NA
