VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL    HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49484 0.54555     0.54187    0.54923           NA        NA 0.75677     0.75358    0.75993           NA        NA 0.68976 0.68633 0.69317      NA      NA  1.38717        NA        NA  0.90925   0.9071      0.91135          NA       NA 0.42627  0.42262  0.42993       NA       NA 0.57373     0.57007    0.57738          NA       NA  0.34453  0.34103  0.34805      NA      NA  0.61522   0.61161     0.61881         NA      NA  0.21143         NA      NA  0.33552     0.33125   0.33978       NA     NA  0.34906         NA      NA  7.44381  7.14257  7.75774       NA       NA  2.00738   1.96607   2.04869        NA        NA  0.76314  0.75451  0.77177       NA       NA  0.7286   0.7208   0.7364       NA      NA  0.26181  0.25612  0.2675        NA       NA  0.70759  0.68506  0.73013      NA      NA  0.51432  0.68193  0.73326       NA       NA  0.26385         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49484 0.54555     0.54116    0.54993           NA        NA 0.75677     0.75297    0.76053           NA        NA 0.68976 0.68567 0.69382      NA      NA  1.38717        NA        NA  0.90925   0.90668     0.91175          NA       NA 0.42627  0.42192  0.43063       NA       NA 0.57373     0.56937    0.57808          NA       NA  0.34453  0.34036  0.34873      NA      NA  0.61522   0.61092     0.6195          NA      NA  0.21143         NA      NA  0.33552     0.33043   0.3406        NA     NA  0.34906         NA      NA  7.44381  7.08627  7.81938       NA       NA  2.00738   1.95816   2.05661        NA        NA  0.76314  0.75286  0.77342       NA       NA  0.7286   0.71931  0.73789      NA      NA  0.26181  0.25503  0.26859       NA       NA  0.70759  0.68074  0.73445      NA      NA  0.51432  0.67702  0.73817       NA       NA  0.26385         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20761 0.47083     0.46514    0.47654           NA        NA 0.72521     0.72008    0.73027           NA        NA 0.64226 0.63677 0.64772      NA      NA  1.54026        NA        NA  0.89023   0.88661     0.89375          NA       NA 0.42163  0.416    0.42727       NA       NA 0.57837     0.57273    0.584            NA       NA  0.42202  0.4164   0.42767      NA      NA  0.53953   0.53383     0.54521         NA      NA  0.17844         NA      NA  0.31186     0.30471   0.31901       NA     NA  0.30284         NA      NA  5.91209  5.55674  6.29015       NA       NA  1.777     1.71501   1.83898        NA        NA  0.71065  0.69531  0.72599       NA       NA  0.73255  0.72091  0.74419      NA      NA  0.23579  0.22749  0.24409       NA       NA  0.64967  0.61015  0.6892       NA      NA  0.47554  0.60841  0.69094       NA       NA  0.23475         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20761 0.47083     0.46405    0.47763           NA        NA 0.72521     0.71909    0.73124           NA        NA 0.64226 0.63572 0.64876      NA      NA  1.54026        NA        NA  0.89023   0.88591     0.89441          NA       NA 0.42163  0.41493  0.42836       NA       NA 0.57837     0.57164    0.58507          NA       NA  0.42202  0.41532  0.42876      NA      NA  0.53953   0.53274     0.5463          NA      NA  0.17844         NA      NA  0.31186     0.30334   0.32038       NA     NA  0.30284         NA      NA  5.91209  5.49115  6.36529       NA       NA  1.777     1.70314   1.85086        NA        NA  0.71065  0.69237  0.72893       NA       NA  0.73255  0.71868  0.74642      NA      NA  0.23579  0.2259   0.24568       NA       NA  0.64967  0.60258  0.69677      NA      NA  0.47554  0.6005   0.69885       NA       NA  0.23475         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49484 0.39894     0.39532    0.40256           NA        NA 0.54662     0.54294    0.5503            NA        NA 0.71377 0.71041 0.7171       NA      NA  1.37019        NA        NA  0.82635   0.82353     0.82913          NA       NA 0.63904  0.63548  0.64258       NA       NA 0.36096     0.35742    0.36452          NA       NA  0.39691  0.3933   0.40053      NA      NA  0.53526   0.53157     0.53894         NA      NA  0.28051         NA      NA  0.46539     0.45967   0.47111       NA     NA  0.43812         NA      NA  8.42489  8.12102  8.74013       NA       NA  2.13119   2.09446   2.16792        NA        NA  0.7878   0.78083  0.79476       NA       NA  0.65624  0.64823  0.66425      NA      NA  0.37241  0.36578  0.37905       NA       NA  0.68466  0.67053  0.69879      NA      NA  0.62531  0.66961  0.69972       NA       NA  0.28089         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49484 0.39894     0.39463    0.40326           NA        NA 0.54662     0.54223    0.551             NA        NA 0.71377 0.70977 0.71773      NA      NA  1.37019        NA        NA  0.82635   0.82299     0.82966          NA       NA 0.63904  0.6348   0.64326       NA       NA 0.36096     0.35674    0.3652           NA       NA  0.39691  0.39261  0.40123      NA      NA  0.53526   0.53086     0.53965         NA      NA  0.28051         NA      NA  0.46539     0.45858   0.47221       NA     NA  0.43812         NA      NA  8.42489  8.06407  8.80185       NA       NA  2.13119   2.08742   2.17496        NA        NA  0.7878   0.77949  0.7961        NA       NA  0.65624  0.64669  0.66578      NA      NA  0.37241  0.36451  0.38032       NA       NA  0.68466  0.66783  0.7015       NA      NA  0.62531  0.66673  0.7026        NA       NA  0.28089         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20761 0.30923     0.30398    0.31453           NA        NA 0.53153     0.52583    0.53722           NA        NA 0.68089 0.67555 0.68619      NA      NA  1.71885        NA        NA  0.84346   0.83927     0.84756          NA       NA 0.60812  0.60253  0.61367       NA       NA 0.39188     0.38633    0.39747          NA       NA  0.50929  0.50358  0.51499      NA      NA  0.44975   0.44408     0.45544         NA      NA  0.23212         NA      NA  0.45157     0.4426    0.46055       NA     NA  0.37678         NA      NA  8.36108  7.84969  8.90579       NA       NA  2.12359   2.06047   2.1867         NA        NA  0.78635  0.77431  0.79839       NA       NA  0.74664  0.73515  0.75813      NA      NA  0.3436   0.33475  0.35244       NA       NA  0.69243  0.66567  0.71919      NA      NA  0.61396  0.66334  0.72152       NA       NA  0.24933         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20761 0.30923     0.30298    0.31556           NA        NA 0.53153     0.52473    0.53831           NA        NA 0.68089 0.67452 0.6872       NA      NA  1.71885        NA        NA  0.84346   0.83845     0.84834          NA       NA 0.60812  0.60146  0.61474       NA       NA 0.39188     0.38526    0.39854          NA       NA  0.50929  0.50249  0.51609      NA      NA  0.44975   0.44299     0.45653         NA      NA  0.23212         NA      NA  0.45157     0.44088   0.46227       NA     NA  0.37678         NA      NA  8.36108  7.75535  9.01412       NA       NA  2.12359   2.04838   2.19879        NA        NA  0.78635  0.772    0.8007        NA       NA  0.74664  0.73294  0.76034      NA      NA  0.3436   0.33306  0.35413       NA       NA  0.69243  0.66054  0.72432      NA      NA  0.61396  0.65777  0.7271        NA       NA  0.24933         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49484 0.21128     0.20828    0.21431           NA        NA 0.30264     0.29926    0.30605           NA        NA 0.76795 0.76481 0.77105      NA      NA  1.43242        NA        NA  0.66705   0.66356     0.67052          NA       NA 0.79497  0.79197  0.79794       NA       NA 0.20503     0.20206    0.20803          NA       NA  0.53432  0.53063  0.53801      NA      NA  0.37785   0.37427     0.38144         NA      NA  0.24913         NA      NA  0.46202     0.45349   0.47056       NA     NA  0.39888         NA      NA  7.76818  7.46447  8.08424       NA       NA  2.05004   2.01015   2.08992        NA        NA  0.7719   0.76384  0.77996       NA       NA  0.58673  0.57753  0.59594      NA      NA  0.40333  0.39519  0.41147       NA       NA  0.59297  0.57921  0.60673      NA      NA  0.61772  0.57932  0.60662       NA       NA  0.23109         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49484 0.21128     0.20771    0.2149            NA        NA 0.30264     0.29861    0.30671           NA        NA 0.76795 0.76421 0.77164      NA      NA  1.43242        NA        NA  0.66705   0.66288     0.67119          NA       NA 0.79497  0.79139  0.79851       NA       NA 0.20503     0.20149    0.20861          NA       NA  0.53432  0.52992  0.53871      NA      NA  0.37785   0.37359     0.38213         NA      NA  0.24913         NA      NA  0.46202     0.45185   0.47219       NA     NA  0.39888         NA      NA  7.76818  7.40766  8.14624       NA       NA  2.05004   2.00251   2.09756        NA        NA  0.7719   0.7623   0.78151       NA       NA  0.58673  0.57577  0.5977       NA      NA  0.40333  0.39363  0.41303       NA       NA  0.59297  0.57658  0.60937      NA      NA  0.61772  0.57671  0.60924       NA       NA  0.23109         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    20761 0.15072     0.14668    0.15484           NA        NA 0.26795     0.26293    0.27304           NA        NA 0.7925  0.78783 0.79709      NA      NA  1.77788        NA        NA  0.70054   0.69529     0.70575          NA       NA 0.80881  0.80428  0.81326       NA       NA 0.19119     0.18674    0.19572          NA       NA  0.60597  0.60038  0.61153      NA      NA  0.33723   0.33186     0.34265         NA      NA  0.23908         NA      NA  0.50936     0.49475   0.52397       NA     NA  0.3859          NA      NA  9.89674  9.21371 10.6304        NA       NA  2.29221   2.22069   2.36372        NA        NA  0.81646  0.80454  0.82838       NA       NA  0.6834   0.66901  0.6978       NA      NA  0.42746  0.41525  0.43967       NA       NA  0.64594  0.62228  0.6696       NA      NA  0.6686   0.62272  0.66917       NA       NA  0.21923         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    20761 0.15072     0.14591    0.15565           NA        NA 0.26795     0.26197    0.27402           NA        NA 0.7925  0.78693 0.79796      NA      NA  1.77788        NA        NA  0.70054   0.69428     0.70674          NA       NA 0.80881  0.80341  0.81411       NA       NA 0.19119     0.18589    0.19659          NA       NA  0.60597  0.5993   0.61259      NA      NA  0.33723   0.33083     0.34369         NA      NA  0.23908         NA      NA  0.50936     0.49195   0.52676       NA     NA  0.3859          NA      NA  9.89674  9.08835 10.77704       NA       NA  2.29221   2.20699   2.37742        NA        NA  0.81646  0.80225  0.83066       NA       NA  0.6834   0.66625  0.70055      NA      NA  0.42746  0.41291  0.442         NA       NA  0.64594  0.61775  0.67414      NA      NA  0.6686   0.61827  0.67362       NA       NA  0.21923         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.1   NBRCTS    49484 0.13184     0.12936    0.13436           NA        NA 0.1665      0.16376    0.16927           NA        NA 0.84538 0.84269 0.84804      NA      NA  1.26288        NA        NA  0.54506   0.54138     0.54874          NA       NA 0.89099  0.88867  0.89327       NA       NA 0.10901     0.10673    0.11133          NA       NA  0.56839  0.56473  0.57205      NA      NA  0.3173    0.31387     0.32075         NA      NA  0.24403         NA      NA  0.43606     0.42517   0.44694       NA     NA  0.39232         NA      NA  9.79291  9.33232 10.27623       NA       NA  2.28166   2.23348   2.32983        NA        NA  0.81469  0.80659  0.82279       NA       NA  0.53904  0.52817  0.54992      NA      NA  0.4504   0.44016  0.46065       NA       NA  0.57009  0.55635  0.58384      NA      NA  0.61233  0.55623  0.58396       NA       NA  0.22603         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.05  NBRCTS    49484 0.13184     0.12889    0.13485           NA        NA 0.1665      0.16324    0.16981           NA        NA 0.84538 0.84217 0.84854      NA      NA  1.26288        NA        NA  0.54506   0.54067     0.54945          NA       NA 0.89099  0.88822  0.89371       NA       NA 0.10901     0.10629    0.11178          NA       NA  0.56839  0.56403  0.57275      NA      NA  0.3173    0.31322     0.32142         NA      NA  0.24403         NA      NA  0.43606     0.42309   0.44902       NA     NA  0.39232         NA      NA  9.79291  9.24658 10.37151       NA       NA  2.28166   2.22425   2.33906        NA        NA  0.81469  0.80504  0.82434       NA       NA  0.53904  0.52609  0.552        NA      NA  0.4504   0.43819  0.46262       NA       NA  0.57009  0.55372  0.58647      NA      NA  0.61233  0.55357  0.58662       NA       NA  0.22603         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.1   NBRCTS    20761 0.084148    0.081033   0.087372          NA        NA 0.14185     0.13792    0.14588           NA        NA 0.85039 0.84628 0.85442      NA      NA  1.68575        NA        NA  0.45392   0.44824     0.45961          NA       NA 0.88682  0.88315  0.89039       NA       NA 0.11318     0.10961    0.11685          NA       NA  0.73073  0.72564  0.73576      NA      NA  0.20339   0.19883     0.20802         NA      NA  0.14932         NA      NA  0.34074     0.32028   0.3612        NA     NA  0.25984         NA      NA  6.51316  5.96716  7.10911       NA       NA  1.87382   1.78627   1.96138        NA        NA  0.7338   0.7136   0.754         NA       NA  0.51618  0.49614  0.53623      NA      NA  0.35624  0.33831  0.37417       NA       NA  0.46788  0.4401   0.49565      NA      NA  0.5073   0.43882  0.49693       NA       NA  0.12888         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      >=0.5      0.05  NBRCTS    20761 0.084148    0.080448   0.088002          NA        NA 0.14185     0.13717    0.14666           NA        NA 0.85039 0.84548 0.85518      NA      NA  1.68575        NA        NA  0.45392   0.44716     0.4607           NA       NA 0.88682  0.88244  0.89106       NA       NA 0.11318     0.10894    0.11756          NA       NA  0.73073  0.72465  0.73672      NA      NA  0.20339   0.19797     0.20892         NA      NA  0.14932         NA      NA  0.34074     0.31637   0.36511       NA     NA  0.25984         NA      NA  6.51316  5.86791  7.22936       NA       NA  1.87382   1.7695    1.97815        NA        NA  0.7338   0.70973  0.75788       NA       NA  0.51618  0.4923   0.54007      NA      NA  0.35624  0.33488  0.37761       NA       NA  0.46788  0.43478  0.50097      NA      NA  0.5073   0.43326  0.5025        NA       NA  0.12888         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      >=0.5      0.1   NBRCTS    49484 0.057089    0.055398   0.058829          NA        NA 0.052583    0.050957   0.054258          NA        NA 0.93568 0.93384 0.93747      NA      NA  0.92106        NA        NA  0.39717   0.39356     0.40079          NA       NA 0.96828  0.96696  0.96955       NA       NA 0.031719    0.030449   0.033041         NA       NA  0.56879  0.56513  0.57245      NA      NA  0.26063   0.25739     0.26389         NA      NA  0.2342          NA      NA  0.36545     0.34986   0.38104       NA     NA  0.37952         NA      NA 20.1119  18.62637 21.71591       NA       NA  3.00131   2.92458   3.07805        NA        NA  0.90527  0.89834  0.91219       NA       NA  0.51227  0.49705  0.5275       NA      NA  0.53399  0.51854  0.54944       NA       NA  0.5778   0.56162  0.59398      NA      NA  0.61095  0.56105  0.59455       NA       NA  0.24307         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      >=0.5      0.05  NBRCTS    49484 0.057089    0.055079   0.059168          NA        NA 0.052583    0.050651   0.054584          NA        NA 0.93568 0.93348 0.9378       NA      NA  0.92106        NA        NA  0.39717   0.39287     0.40149          NA       NA 0.96828  0.9667   0.96979       NA       NA 0.031719    0.030211   0.0333           NA       NA  0.56879  0.56442  0.57315      NA      NA  0.26063   0.25678     0.26451         NA      NA  0.2342          NA      NA  0.36545     0.34688   0.38402       NA     NA  0.37952         NA      NA 20.1119  18.35456 22.03749       NA       NA  3.00131   2.90988   3.09275        NA        NA  0.90527  0.89702  0.91352       NA       NA  0.51227  0.49413  0.53042      NA      NA  0.53399  0.51559  0.55239       NA       NA  0.5778   0.55852  0.59708      NA      NA  0.61095  0.55784  0.59776       NA       NA  0.24307         NA        NA
V7.0    ECMWF NA   720000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      >=0.5      0.1   NBRCTS    20761 0.026396    0.024626   0.028288          NA        NA 0.026588    0.024813   0.028487          NA        NA 0.95212 0.94962 0.9545       NA      NA  1.0073         NA        NA  0.096715  0.093394    0.10014          NA       NA 0.97531  0.97348  0.97702       NA       NA 0.024687    0.022977   0.026521         NA       NA  0.90399  0.90057  0.9073       NA      NA  0.050621  0.048176    0.053182        NA      NA  0.037222        NA      NA  0.072028    0.050938  0.093119      NA     NA  0.071773        NA      NA  4.23004  3.29718  5.42684       NA       NA  1.44221   1.19307   1.69136        NA        NA  0.61759  0.54054  0.69465       NA       NA  0.2175   0.17371  0.26128      NA      NA  0.21628  0.17253  0.26002       NA       NA  0.22617  0.17961  0.27273      NA      NA  0.23397  0.17735  0.27499       NA       NA  0.037531        NA        NA
