VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY       PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI       CSI_NCL     CSI_NCU    CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL    EDS_NCU  EDS_BCL EDS_BCU SEDS      SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI       EDI_NCL   EDI_NCU  EDI_BCL EDI_BCU SEDI      SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50400 0.54185     0.53819    0.54549           NA        NA 0.75288    0.7497     0.75602           NA        NA 0.67694 0.67351 0.68036      NA      NA  1.38947        NA        NA  0.89663    0.89438     0.89884          NA       NA 0.41713  0.41352  0.42075       NA       NA 0.58287    0.57925    0.58648          NA       NA 0.3547  0.3512  0.35821      NA      NA 0.60062    0.59702    0.6042          NA      NA  0.19427         NA      NA  0.31376     0.30928    0.31824      NA     NA  0.32533         NA      NA  6.20741  5.96771   6.45674       NA       NA  1.82574   1.78636   1.86512        NA        NA  0.72251  0.7131   0.73192       NA       NA  0.6977    0.68975    0.70564      NA      NA  0.24206   0.23624   0.24787       NA       NA  0.6637    0.63984   0.68756      NA      NA  0.48139   0.63836   0.68903       NA       NA  0.24473          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50400 0.54185     0.53749    0.54619           NA        NA 0.75288    0.74909    0.75662           NA        NA 0.67694 0.67285 0.68101      NA      NA  1.38947        NA        NA  0.89663    0.89394     0.89926          NA       NA 0.41713  0.41283  0.42144       NA       NA 0.58287    0.57856    0.58717          NA       NA 0.3547  0.35053 0.35889      NA      NA 0.60062    0.59633    0.60489         NA      NA  0.19427         NA      NA  0.31376     0.30842    0.31909      NA     NA  0.32533         NA      NA  6.20741  5.92286   6.50563       NA       NA  1.82574   1.77882   1.87267        NA        NA  0.72251  0.71129  0.73372       NA       NA  0.6977    0.68823    0.70717      NA      NA  0.24206   0.23513   0.24899       NA       NA  0.6637    0.63527   0.69213      NA      NA  0.48139   0.63351   0.69389       NA       NA  0.24473          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50400 0.40153     0.39794    0.40512           NA        NA 0.56129    0.55765    0.56492           NA        NA 0.67909 0.67566 0.6825       NA      NA  1.39789        NA        NA  0.79933    0.79638     0.80225          NA       NA 0.59842  0.59482  0.602         NA       NA 0.40158    0.398      0.40518          NA       NA 0.42819 0.42457 0.43182      NA      NA 0.50003    0.49637    0.50369         NA      NA  0.22949         NA      NA  0.39774     0.39176    0.40373      NA     NA  0.3733          NA      NA  5.93559  5.73294   6.1454        NA       NA  1.78097   1.74623   1.8157         NA        NA  0.71163  0.70306  0.72021       NA       NA  0.60582   0.59764    0.61401      NA      NA  0.31108   0.3044    0.31777       NA       NA  0.60577   0.58958   0.62197      NA      NA  0.547     0.58924   0.62231       NA       NA  0.2356           NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50400 0.40153     0.39726    0.40581           NA        NA 0.56129    0.55695    0.56562           NA        NA 0.67909 0.675   0.68315      NA      NA  1.39789        NA        NA  0.79933    0.79581     0.8028           NA       NA 0.59842  0.59413  0.60269       NA       NA 0.40158    0.39731    0.40587          NA       NA 0.42819 0.42387 0.43251      NA      NA 0.50003    0.49567    0.5044          NA      NA  0.22949         NA      NA  0.39774     0.39061    0.40488      NA     NA  0.3733          NA      NA  5.93559  5.69491   6.18643       NA       NA  1.78097   1.73957   1.82236        NA        NA  0.71163  0.70142  0.72185       NA       NA  0.60582   0.59607    0.61558      NA      NA  0.31108   0.30312   0.31905       NA       NA  0.60577   0.58648   0.62507      NA      NA  0.547     0.58607   0.62547       NA       NA  0.2356           NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50400 0.22157     0.21854    0.22463           NA        NA 0.30474    0.30138    0.30812           NA        NA 0.74385 0.74064 0.74703      NA      NA  1.37539        NA        NA  0.60965    0.60607     0.61322          NA       NA 0.78205  0.77901  0.78506       NA       NA 0.21795    0.21494    0.22099          NA       NA 0.55674 0.5531  0.56038      NA      NA 0.34527    0.34179    0.34876         NA      NA  0.2087          NA      NA  0.3917      0.38309    0.4003       NA     NA  0.34533         NA      NA  5.60402  5.39658   5.81943       NA       NA  1.72348   1.68577   1.7612         NA        NA  0.69715  0.68746  0.70685       NA       NA  0.5056    0.49624    0.51497      NA      NA  0.34638   0.33801   0.35476       NA       NA  0.50963   0.49559   0.52367      NA      NA  0.53777   0.49544   0.52382       NA       NA  0.19463          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50400 0.22157     0.21796    0.22521           NA        NA 0.30474    0.30074    0.30878           NA        NA 0.74385 0.74002 0.74764      NA      NA  1.37539        NA        NA  0.60965    0.60539     0.6139           NA       NA 0.78205  0.77842  0.78563       NA       NA 0.21795    0.21437    0.22158          NA       NA 0.55674 0.5524  0.56107      NA      NA 0.34527    0.34113    0.34943         NA      NA  0.2087          NA      NA  0.3917      0.38145    0.40195      NA     NA  0.34533         NA      NA  5.60402  5.35773   5.86163       NA       NA  1.72348   1.67854   1.76843        NA        NA  0.69715  0.6856   0.7087        NA       NA  0.5056    0.49444    0.51677      NA      NA  0.34638   0.3364    0.35637       NA       NA  0.50963   0.4929    0.52636      NA      NA  0.53777   0.49272   0.52654       NA       NA  0.19463          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50400 0.14258     0.14004    0.14516           NA        NA 0.16208    0.1594     0.1648            NA        NA 0.83105 0.82829 0.83378      NA      NA  1.13679        NA        NA  0.47593    0.47227     0.47959          NA       NA 0.89011  0.88779  0.89238       NA       NA 0.10989    0.10762    0.11221          NA       NA 0.58134 0.57773 0.58495      NA      NA 0.28655    0.28325    0.28988         NA      NA  0.2094          NA      NA  0.36603     0.35557    0.37649      NA     NA  0.34628         NA      NA  7.35545  7.02221   7.7045        NA       NA  1.99544   1.94908   2.04181        NA        NA  0.76064  0.75087  0.7704        NA       NA  0.44803   0.43707    0.45899      NA      NA  0.40038   0.38978   0.41097       NA       NA  0.49674   0.48326   0.51022      NA      NA  0.53738   0.48276   0.51072       NA       NA  0.19991          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50400 0.14258     0.13955    0.14566           NA        NA 0.16208    0.15889    0.16533           NA        NA 0.83105 0.82776 0.8343       NA      NA  1.13679        NA        NA  0.47593    0.47157     0.48029          NA       NA 0.89011  0.88734  0.89281       NA       NA 0.10989    0.10719    0.11266          NA       NA 0.58134 0.57703 0.58564      NA      NA 0.28655    0.28262    0.29052         NA      NA  0.2094          NA      NA  0.36603     0.35356    0.3785       NA     NA  0.34628         NA      NA  7.35545  6.96012   7.77324       NA       NA  1.99544   1.9402    2.05069        NA        NA  0.76064  0.74899  0.77228       NA       NA  0.44803   0.43497    0.46109      NA      NA  0.40038   0.38775   0.413         NA       NA  0.49674   0.48067   0.5128       NA      NA  0.53738   0.48008   0.5134        NA       NA  0.19991          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50400 0.061806    0.060065   0.063593          NA        NA 0.057063   0.055388   0.058787          NA        NA 0.92121 0.91921 0.92316      NA      NA  0.92327        NA        NA  0.32424    0.32082     0.32768          NA       NA 0.96054  0.95909  0.96194       NA       NA 0.039463   0.038061   0.040914         NA       NA 0.64882 0.64531 0.65231      NA      NA 0.20277    0.19984    0.20573         NA      NA  0.17327         NA      NA  0.28477     0.27054    0.29901      NA     NA  0.29536         NA      NA 11.67872 10.84588  12.57551       NA       NA  2.45777   2.38378   2.53175        NA        NA  0.84226  0.83151  0.85301       NA       NA  0.4239    0.40841    0.4394       NA      NA  0.44432   0.4286    0.46004       NA       NA  0.4832    0.4663    0.5001       NA      NA  0.51301   0.46535   0.50105       NA       NA  0.17967          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50400 0.061806    0.059736   0.063941          NA        NA 0.057063   0.055072   0.059123          NA        NA 0.92121 0.91883 0.92353      NA      NA  0.92327        NA        NA  0.32424    0.32016     0.32834          NA       NA 0.96054  0.9588   0.9622        NA       NA 0.039463   0.037798   0.041198         NA       NA 0.64882 0.64464 0.65297      NA      NA 0.20277    0.19928    0.2063          NA      NA  0.17327         NA      NA  0.28477     0.26781    0.30174      NA     NA  0.29536         NA      NA 11.67872 10.69324  12.75502       NA       NA  2.45777   2.36961   2.54592        NA        NA  0.84226  0.82945  0.85506       NA       NA  0.4239    0.40544    0.44237      NA      NA  0.44432   0.42559   0.46305       NA       NA  0.4832    0.46307   0.50334      NA      NA  0.51301   0.46193   0.50447       NA       NA  0.17967          NA        NA
