VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2    CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5    CL_6 VALUE_6   CL_7 VALUE_7    CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11   CL_12 VALUE_12   CL_13 VALUE_13   CL_14 VALUE_14  CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18   CL_19 VALUE_19
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50400 0.54185     0.31376       19 0.05 -1.90572   0.1 -0.68317   0.15 -0.27565   0.2 -0.071889 0.25  0.050366   0.3  0.13187  0.35  0.19009    0.4  0.23375  0.45  0.26771    0.5   0.29488   0.55   0.29427    0.6   0.15737   0.65  -0.018649   0.7  -0.25334  0.75  -0.5819    0.8  -1.07474  0.85  -1.89614   0.9   -3.53894  0.95   -8.46736
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50400 0.40153     0.39774       19 0.05 -1.95965   0.1 -0.6133    0.15 -0.16452   0.2  0.059875 0.25  0.19451    0.3  0.28427  0.35  0.34838    0.4  0.39646  0.45  0.3096     0.5   0.20077   0.55   0.067758   0.6  -0.098508  0.65  -0.31228    0.7  -0.59731  0.75  -0.99634   0.8  -1.5949   0.85  -2.5925    0.9   -4.58769  0.95  -10.57326
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50400 0.22157     0.3917        19 0.05 -1.32896   0.1 -0.2179    0.15  0.15245   0.2  0.33762  0.25  0.35441    0.3  0.28148  0.35  0.19733    0.4  0.099161 0.45 -0.01686    0.5  -0.15608   0.55  -0.32625    0.6  -0.53895   0.65  -0.81243    0.7  -1.17707  0.75  -1.68756   0.8  -2.4533   0.85  -3.72953   0.9   -6.28199  0.95  -13.93937
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50400 0.14258     0.36603       19 0.05 -0.7657    0.1  0.10578   0.15  0.3593    0.2  0.31071  0.25  0.25564    0.3  0.1927   0.35  0.12007    0.4  0.035347 0.45 -0.064785   0.5  -0.18494   0.55  -0.3318     0.6  -0.51538   0.65  -0.7514     0.7  -1.0661   0.75  -1.50668   0.8  -2.16755  0.85  -3.269     0.9   -5.47189  0.95  -12.08057
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50400 0.061806    0.28477       19 0.05  0.11471   0.1  0.25768   0.15  0.21853   0.2  0.17448  0.25  0.12456    0.3  0.067507 0.35  0.0016792  0.4 -0.07512  0.45 -0.16588    0.5  -0.2748    0.55  -0.40792    0.6  -0.57432   0.65  -0.78826    0.7  -1.07352  0.75  -1.47287   0.8  -2.07191  0.85  -3.0703    0.9   -5.06709  0.95  -11.05746
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50400 0.018234    0.065931      19 0.05  0.039173  0.1 -0.0067706 0.15 -0.058119  0.2 -0.11589  0.25 -0.18136    0.3 -0.25618  0.35 -0.34251    0.4 -0.44324  0.45 -0.56227    0.5  -0.70511   0.55  -0.8797     0.6  -1.09793   0.65  -1.37852    0.7  -1.75263  0.75  -2.27639   0.8  -3.06202  0.85  -4.37142   0.9   -6.99021  0.95  -14.84657
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50400 0.0045437   0.0047074     19 0.05 -0.037692  0.1 -0.089277  0.15 -0.14693   0.2 -0.21179  0.25 -0.2853     0.3 -0.36931  0.35 -0.46624    0.4 -0.57933  0.45 -0.71298    0.5  -0.87336   0.55  -1.06938    0.6  -1.31441   0.65  -1.62944    0.7  -2.04949  0.75  -2.63755   0.8  -3.51965  0.85  -4.98981   0.9   -7.93013  0.95  -16.75109
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50400 0.001627    0.010824      19 0.05 -0.032092  0.1 -0.081301  0.15 -0.1363    0.2 -0.19817  0.25 -0.26829    0.3 -0.34843  0.35 -0.4409     0.4 -0.54878  0.45 -0.67627    0.5  -0.82927   0.55  -1.01626    0.6  -1.25      0.65  -1.55052    0.7  -1.95122  0.75  -2.5122    0.8  -3.35366  0.85  -4.7561    0.9   -7.56098  0.95  -15.97561
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50400 0.00011905 -0.00039687    19 0.05 -0.17544   0.1 -0.37037   0.15 -0.58824   0.2 -0.83333  0.25 -1.11111    0.3 -1.42857  0.35 -1.79487    0.4 -2.22222  0.45 -2.72727    0.5  -3.33333   0.55  -4.07407    0.6  -5         0.65  -6.19048    0.7  -7.77778  0.75 -10         0.8 -13.33333  0.85 -18.88889   0.9  -30        0.95  -63.33333
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50400 0          NA             19 0.05 NA         0.1 NA         0.15 NA         0.2 NA        0.25 NA          0.3 NA        0.35 NA          0.4 NA        0.45 NA          0.5  NA         0.55  NA          0.6  NA         0.65  NA          0.7  NA        0.75  NA         0.8  NA        0.85  NA         0.9   NA        0.95   NA
