VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY       PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI        CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU    HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS       EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS      SEDS_NCL   SEDS_NCU SEDS_BCL SEDS_BCU EDI       EDI_NCL    EDI_NCU  EDI_BCL EDI_BCU SEDI      SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49484 0.54555     0.54187    0.54923           NA        NA 0.75554     0.75235    0.7587            NA        NA 0.68905 0.68562 0.69246      NA      NA  1.38491        NA        NA  0.90747    0.9053      0.90959          NA       NA 0.42685  0.4232   0.43051       NA       NA 0.57315     0.56949    0.5768           NA       NA  0.34475  0.34124  0.34827      NA      NA  0.61422    0.61061     0.61781         NA      NA  0.21046         NA      NA  0.33432     0.33001    0.33862      NA     NA  0.34773         NA      NA  7.30373  7.00997  7.60981       NA       NA  1.98839   1.94733   2.02944        NA        NA  0.75914  0.75045  0.76784       NA       NA  0.72379   0.71595   0.73162      NA      NA  0.26062   0.25489    0.26635       NA       NA  0.70293   0.68036    0.72551      NA      NA  0.51178   0.67743   0.72844       NA       NA  0.26197          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49484 0.54555     0.54116    0.54993           NA        NA 0.75554     0.75173    0.7593            NA        NA 0.68905 0.68496 0.69311      NA      NA  1.38491        NA        NA  0.90747    0.90488     0.90999          NA       NA 0.42685  0.4225   0.43121       NA       NA 0.57315     0.56879    0.5775           NA       NA  0.34475  0.34057  0.34895      NA      NA  0.61422    0.60992     0.6185          NA      NA  0.21046         NA      NA  0.33432     0.32919    0.33945      NA     NA  0.34773         NA      NA  7.30373  6.95506  7.66989       NA       NA  1.98839   1.93947   2.0373         NA        NA  0.75914  0.74878  0.76951       NA       NA  0.72379   0.71445   0.73313      NA      NA  0.26062   0.25379    0.26745       NA       NA  0.70293   0.67603    0.72983      NA      NA  0.51178   0.67254   0.73332       NA       NA  0.26197          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20761 0.47083     0.46514    0.47654           NA        NA 0.72492     0.71979    0.72999           NA        NA 0.63745 0.63194 0.64291      NA      NA  1.53964        NA        NA  0.88481    0.88111     0.8884           NA       NA 0.41735  0.41173  0.42299       NA       NA 0.58265     0.57701    0.58827          NA       NA  0.42532  0.41968  0.43097      NA      NA  0.53468    0.52898     0.54037         NA      NA  0.17194         NA      NA  0.30216     0.29486    0.30946      NA     NA  0.29343         NA      NA  5.50198  5.17608  5.8484        NA       NA  1.70511   1.64405   1.76617        NA        NA  0.6924   0.67651  0.70829       NA       NA  0.72047   0.70867   0.73226      NA      NA  0.22762   0.21921    0.23604       NA       NA  0.63057   0.59008    0.67105      NA      NA  0.46115   0.58932   0.67182       NA       NA  0.22743          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20761 0.47083     0.46405    0.47763           NA        NA 0.72492     0.7188     0.73095           NA        NA 0.63745 0.63088 0.64396      NA      NA  1.53964        NA        NA  0.88481    0.88039     0.88908          NA       NA 0.41735  0.41066  0.42407       NA       NA 0.58265     0.57593    0.58934          NA       NA  0.42532  0.41861  0.43205      NA      NA  0.53468    0.52789     0.54146         NA      NA  0.17194         NA      NA  0.30216     0.29346    0.31086      NA     NA  0.29343         NA      NA  5.50198  5.11588  5.91722       NA       NA  1.70511   1.63235   1.77787        NA        NA  0.6924   0.67346  0.71134       NA       NA  0.72047   0.70641   0.73452      NA      NA  0.22762   0.21759    0.23765       NA       NA  0.63057   0.58233    0.67881      NA      NA  0.46115   0.58142   0.67972       NA       NA  0.22743          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49484 0.39894     0.39532    0.40256           NA        NA 0.56234     0.55867    0.56601           NA        NA 0.68863 0.68519 0.69204      NA      NA  1.4096         NA        NA  0.81455    0.81166     0.81741          NA       NA 0.60505  0.60143  0.60866       NA       NA 0.39495     0.39134    0.39857          NA       NA  0.42214  0.4185   0.4258       NA      NA  0.51067    0.50697     0.51437         NA      NA  0.24422         NA      NA  0.4196      0.41373    0.42547      NA     NA  0.39256         NA      NA  6.72876  6.49157  6.97463       NA       NA  1.90639   1.8705    1.94228        NA        NA  0.74123  0.73314  0.74931       NA       NA  0.63504   0.62691   0.64316      NA      NA  0.32962   0.32302    0.33623       NA       NA  0.63827   0.62238    0.65417      NA      NA  0.57395   0.62174   0.6548        NA       NA  0.25032          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49484 0.39894     0.39463    0.40326           NA        NA 0.56234     0.55797    0.56671           NA        NA 0.68863 0.68453 0.69269      NA      NA  1.4096         NA        NA  0.81455    0.8111      0.81795          NA       NA 0.60505  0.60073  0.60935       NA       NA 0.39495     0.39065    0.39927          NA       NA  0.42214  0.4178   0.4265       NA      NA  0.51067    0.50627     0.51507         NA      NA  0.24422         NA      NA  0.4196      0.41261    0.42659      NA     NA  0.39256         NA      NA  6.72876  6.44709  7.02275       NA       NA  1.90639   1.86363   1.94915        NA        NA  0.74123  0.73159  0.75086       NA       NA  0.63504   0.62536   0.64472      NA      NA  0.32962   0.32175    0.3375        NA       NA  0.63827   0.61933    0.65721      NA      NA  0.57395   0.61857   0.65797       NA       NA  0.25032          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20761 0.30923     0.30398    0.31453           NA        NA 0.55017     0.54448    0.55584           NA        NA 0.65233 0.64687 0.65775      NA      NA  1.77913        NA        NA  0.82741    0.82306     0.83169          NA       NA 0.57395  0.56829  0.57958       NA       NA 0.42605     0.42042    0.43171          NA       NA  0.53493  0.52923  0.54062      NA      NA  0.42394    0.41831     0.42959         NA      NA  0.19782         NA      NA  0.40136     0.39203    0.4107       NA     NA  0.33029         NA      NA  6.45847  6.0762   6.86479       NA       NA  1.86539   1.80438   1.92641        NA        NA  0.73185  0.71768  0.74602       NA       NA  0.72203   0.71019   0.73388      NA      NA  0.29938   0.29044    0.30832       NA       NA  0.6366    0.60622    0.66698      NA      NA  0.55605   0.60488   0.66832       NA       NA  0.2195           NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20761 0.30923     0.30298    0.31556           NA        NA 0.55017     0.54339    0.55692           NA        NA 0.65233 0.64582 0.65878      NA      NA  1.77913        NA        NA  0.82741    0.82221     0.83249          NA       NA 0.57395  0.56721  0.58066       NA       NA 0.42605     0.41934    0.43279          NA       NA  0.53493  0.52814  0.54171      NA      NA  0.42394    0.41724     0.43068         NA      NA  0.19782         NA      NA  0.40136     0.39024    0.41248      NA     NA  0.33029         NA      NA  6.45847  6.00559  6.94551       NA       NA  1.86539   1.79269   1.93809        NA        NA  0.73185  0.71497  0.74873       NA       NA  0.72203   0.70792   0.73615      NA      NA  0.29938   0.28873    0.31003       NA       NA  0.6366    0.60039    0.6728       NA      NA  0.55605   0.5988    0.6744        NA       NA  0.2195           NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49484 0.21128     0.20828    0.21431           NA        NA 0.29969     0.29632    0.30309           NA        NA 0.75534 0.75214 0.7585       NA      NA  1.41846        NA        NA  0.63022    0.62665     0.63379          NA       NA 0.78885  0.78582  0.79185       NA       NA 0.21115     0.20815    0.21418          NA       NA  0.5557   0.55202  0.55937      NA      NA  0.35243    0.3489      0.35597         NA      NA  0.22205         NA      NA  0.41907     0.41033    0.42782      NA     NA  0.36341         NA      NA  6.36736  6.12337  6.62107       NA       NA  1.85118   1.81211   1.89026        NA        NA  0.72853  0.71937  0.7377        NA       NA  0.54204   0.53262   0.55147      NA      NA  0.36866   0.3603     0.37703       NA       NA  0.54218   0.52799    0.55637      NA      NA  0.56979   0.52795   0.55641       NA       NA  0.20607          NA        NA
V7.0    ECMWF NA   840000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49484 0.21128     0.20771    0.2149            NA        NA 0.29969     0.29567    0.30374           NA        NA 0.75534 0.75153 0.7591       NA      NA  1.41846        NA        NA  0.63022    0.62596     0.63447          NA       NA 0.78885  0.78523  0.79242       NA       NA 0.21115     0.20758    0.21477          NA       NA  0.5557   0.55132  0.56007      NA      NA  0.35243    0.34823     0.35665         NA      NA  0.22205         NA      NA  0.41907     0.40866    0.42949      NA     NA  0.36341         NA      NA  6.36736  6.07771  6.67081       NA       NA  1.85118   1.80463   1.89774        NA        NA  0.72853  0.71761  0.73946       NA       NA  0.54204   0.53081   0.55327      NA      NA  0.36866   0.3587     0.37863       NA       NA  0.54218   0.52527    0.55909      NA      NA  0.56979   0.52522   0.55914       NA       NA  0.20607          NA        NA
