VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU   POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL     CSI_NCU    CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL     HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL   EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL  SEDI_NCU SEDI_BCL SEDI_BCU BAGSS      BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.1   CTS       50400 0.54185     0.53819    0.54549           NA        NA 0.75367    0.7505     0.75681           NA        NA 0.67837 0.67494 0.68179      NA      NA  1.39093        NA        NA  0.89868   0.89645     0.90087          NA       NA 0.41783  0.41422  0.42144       NA       NA 0.58217    0.57856    0.58578          NA       NA 0.3539  0.35041 0.35741      NA      NA 0.60223   0.59864    0.60581         NA      NA  0.19633         NA      NA  0.3165      0.31207    0.32094       NA     NA  0.32822         NA      NA  6.36564  6.11836  6.6229        NA       NA  1.85091   1.81129   1.89053        NA        NA  0.72847  0.71917  0.73777       NA       NA  0.70309  0.69518   0.711        NA      NA  0.24454  0.23876   0.25032       NA       NA  0.67018  0.64647   0.69389      NA      NA  0.48581  0.64477   0.69559       NA       NA  0.24737          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         0.05  CTS       50400 0.54185     0.53749    0.54619           NA        NA 0.75367    0.74989    0.75741           NA        NA 0.67837 0.67428 0.68244      NA      NA  1.39093        NA        NA  0.89868   0.89601     0.90128          NA       NA 0.41783  0.41353  0.42214       NA       NA 0.58217    0.57786    0.58647          NA       NA 0.3539  0.34974 0.35809      NA      NA 0.60223   0.59795    0.60649         NA      NA  0.19633         NA      NA  0.3165      0.31122    0.32179       NA     NA  0.32822         NA      NA  6.36564  6.0721   6.67336       NA       NA  1.85091   1.8037    1.89812        NA        NA  0.72847  0.71739  0.73955       NA       NA  0.70309  0.69366   0.71251      NA      NA  0.24454  0.23765   0.25142       NA       NA  0.67018  0.64193   0.69843      NA      NA  0.48581  0.6399    0.70046       NA       NA  0.24737          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.1   CTS       50400 0.40153     0.39794    0.40512           NA        NA 0.54978    0.54613    0.55342           NA        NA 0.68468 0.68127 0.68808      NA      NA  1.36922        NA        NA  0.79197   0.78898     0.79492          NA       NA 0.6127   0.60913  0.61627       NA       NA 0.3873     0.38373    0.39087          NA       NA 0.4216  0.41798 0.42522      NA      NA 0.50211   0.49845    0.50578         NA      NA  0.23571         NA      NA  0.40467     0.3986     0.41074       NA     NA  0.38149         NA      NA  6.02252  5.81836  6.23385       NA       NA  1.79551   1.76102   1.82999        NA        NA  0.7152   0.70678  0.72363       NA       NA  0.59285  0.58461   0.60109      NA      NA  0.31857  0.31175   0.32539       NA       NA  0.60529  0.5897    0.62087      NA      NA  0.55387  0.5894    0.62117       NA       NA  0.23878          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         0.05  CTS       50400 0.40153     0.39726    0.40581           NA        NA 0.54978    0.54543    0.55412           NA        NA 0.68468 0.68061 0.68872      NA      NA  1.36922        NA        NA  0.79197   0.7884      0.79549          NA       NA 0.6127   0.60844  0.61695       NA       NA 0.3873     0.38305    0.39156          NA       NA 0.4216  0.41729 0.42591      NA      NA 0.50211   0.49775    0.50648         NA      NA  0.23571         NA      NA  0.40467     0.39744    0.4119        NA     NA  0.38149         NA      NA  6.02252  5.78004  6.27518       NA       NA  1.79551   1.75441   1.8366         NA        NA  0.7152   0.70516  0.72524       NA       NA  0.59285  0.58304   0.60267      NA      NA  0.31857  0.31045   0.3267        NA       NA  0.60529  0.58672   0.62386      NA      NA  0.55387  0.58636   0.62421       NA       NA  0.23878          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.1   CTS       50400 0.22157     0.21854    0.22463           NA        NA 0.29994    0.29659    0.30331           NA        NA 0.74298 0.73976 0.74616      NA      NA  1.35372        NA        NA  0.59685   0.59325     0.60044          NA       NA 0.78457  0.78154  0.78757       NA       NA 0.21543    0.21243    0.21846          NA       NA 0.55911 0.55546 0.56274      NA      NA 0.33972   0.33626    0.3432          NA      NA  0.20379         NA      NA  0.38142     0.37276    0.39007       NA     NA  0.33858         NA      NA  5.3916   5.19256  5.59827       NA       NA  1.68484   1.64723   1.72246        NA        NA  0.68709  0.67716  0.69702       NA       NA  0.48981  0.48038   0.49923      NA      NA  0.34011  0.33163   0.34858       NA       NA  0.49679  0.48281   0.51077      NA      NA  0.52614  0.48261   0.51097       NA       NA  0.19025          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         0.05  CTS       50400 0.22157     0.21796    0.22521           NA        NA 0.29994    0.29596    0.30396           NA        NA 0.74298 0.73914 0.74677      NA      NA  1.35372        NA        NA  0.59685   0.59256     0.60112          NA       NA 0.78457  0.78096  0.78814       NA       NA 0.21543    0.21186    0.21904          NA       NA 0.55911 0.55477 0.56344      NA      NA 0.33972   0.3356     0.34387         NA      NA  0.20379         NA      NA  0.38142     0.37111    0.39173       NA     NA  0.33858         NA      NA  5.3916   5.15528  5.63876       NA       NA  1.68484   1.64002   1.72966        NA        NA  0.68709  0.67526  0.69892       NA       NA  0.48981  0.47858   0.50103      NA      NA  0.34011  0.33001   0.3502        NA       NA  0.49679  0.48013   0.51345      NA      NA  0.52614  0.47989   0.51369       NA       NA  0.19025          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.1   CTS       50400 0.14258     0.14004    0.14516           NA        NA 0.17113    0.16839    0.17391           NA        NA 0.8222  0.81938 0.82499      NA      NA  1.20025        NA        NA  0.47662   0.47296     0.48028          NA       NA 0.87967  0.87726  0.88203       NA       NA 0.12033    0.11797    0.12274          NA       NA 0.6029  0.59931 0.60648      NA      NA 0.27652   0.27326    0.27981         NA      NA  0.19677         NA      NA  0.35629     0.34583    0.36675       NA     NA  0.32884         NA      NA  6.65729  6.35905  6.96952       NA       NA  1.89571   1.84988   1.94155        NA        NA  0.73881  0.7284   0.74922       NA       NA  0.44882  0.43786   0.45977      NA      NA  0.38094  0.37049   0.39138       NA       NA  0.48153  0.46763   0.49543      NA      NA  0.52163  0.46708   0.49598       NA       NA  0.18488          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         0.05  CTS       50400 0.14258     0.13955    0.14566           NA        NA 0.17113    0.16787    0.17444           NA        NA 0.8222  0.81884 0.82552      NA      NA  1.20025        NA        NA  0.47662   0.47226     0.48098          NA       NA 0.87967  0.8768   0.88248       NA       NA 0.12033    0.11752    0.1232           NA       NA 0.6029  0.59862 0.60716      NA      NA 0.27652   0.27263    0.28044         NA      NA  0.19677         NA      NA  0.35629     0.34382    0.36876       NA     NA  0.32884         NA      NA  6.65729  6.30345  7.03099       NA       NA  1.89571   1.8411    1.95033        NA        NA  0.73881  0.72641  0.75121       NA       NA  0.44882  0.43576   0.46187      NA      NA  0.38094  0.36849   0.39338       NA       NA  0.48153  0.46497   0.49809      NA      NA  0.52163  0.46431   0.49875       NA       NA  0.18488          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.1   CTS       50400 0.061806    0.060065   0.063593          NA        NA 0.060099   0.058381   0.061864          NA        NA 0.92071 0.91871 0.92267      NA      NA  0.97239        NA        NA  0.34478   0.34131     0.34827          NA       NA 0.95865  0.95717  0.96009       NA       NA 0.041345   0.039911   0.042828         NA       NA 0.64543 0.64191 0.64892      NA      NA 0.21183   0.20886    0.21484         NA      NA  0.18162         NA      NA  0.30344     0.28898    0.31789       NA     NA  0.3074          NA      NA 12.20114 11.34535 13.12147       NA       NA  2.50153   2.42881   2.57425        NA        NA  0.8485   0.83832  0.85868       NA       NA  0.44664  0.43136   0.46191      NA      NA  0.45391  0.43856   0.46926       NA       NA  0.49897  0.48213   0.51582      NA      NA  0.53047  0.48123   0.51672       NA       NA  0.18393          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         0.05  CTS       50400 0.061806    0.059736   0.063941          NA        NA 0.060099   0.058058   0.062208          NA        NA 0.92071 0.91832 0.92304      NA      NA  0.97239        NA        NA  0.34478   0.34065     0.34894          NA       NA 0.95865  0.95688  0.96036       NA       NA 0.041345   0.039642   0.043118         NA       NA 0.64543 0.64124 0.64959      NA      NA 0.21183   0.20829    0.21542         NA      NA  0.18162         NA      NA  0.30344     0.28622    0.32066       NA     NA  0.3074          NA      NA 12.20114 11.18839 13.30555       NA       NA  2.50153   2.41488   2.58818        NA        NA  0.8485   0.83636  0.86063       NA       NA  0.44664  0.42844   0.46483      NA      NA  0.45391  0.43562   0.4722        NA       NA  0.49897  0.4789    0.51905      NA      NA  0.53047  0.47783   0.52012       NA       NA  0.18393          NA        NA
