VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7    CL_8 VALUE_8    CL_9 VALUE_9    CL_10 VALUE_10   CL_11 VALUE_11   CL_12 VALUE_12   CL_13 VALUE_13  CL_14 VALUE_14  CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18   CL_19 VALUE_19
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    ECLV      50400 0.54185     0.3165        19 0.05 -1.85895   0.1 -0.66065  0.15 -0.26121   0.2 -0.061496  0.25  0.058334  0.3  0.13822  0.35  0.19528    0.4  0.23808   0.45   0.27137    0.5   0.29799   0.55   0.29703    0.6   0.1603    0.65  -0.01551   0.7  -0.24992  0.75  -0.57809   0.8  -1.07034  0.85  -1.89077   0.9   -3.53162  0.95   -8.45417
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    ECLV      50400 0.40153     0.40467       19 0.05 -2.03922   0.1 -0.64347  0.15 -0.17822   0.2  0.054404  0.25  0.19398   0.3  0.28703  0.35  0.35349    0.4  0.40334   0.45   0.31966    0.5   0.21471   0.55   0.086426   0.6  -0.073924  0.65  -0.28009   0.7  -0.55497  0.75  -0.93981   0.8  -1.51707  0.85  -2.47917   0.9   -4.40337  0.95  -10.17596
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    ECLV      50400 0.22157     0.38142       19 0.05 -1.39569   0.1 -0.24818  0.15  0.13432   0.2  0.32557   0.25  0.34456   0.3  0.27247  0.35  0.1893     0.4  0.092266  0.45  -0.022412   0.5  -0.16003   0.55  -0.32822    0.6  -0.53846   0.65  -0.80877   0.7  -1.16919  0.75  -1.67377   0.8  -2.43064  0.85  -3.6921    0.9   -6.21501  0.95  -13.78374
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    ECLV      50400 0.14258     0.35629       19 0.05 -0.77394   0.1  0.096381 0.15  0.34892   0.2  0.29571   0.25  0.23541   0.3  0.16649  0.35  0.086975   0.4 -0.0057983 0.45  -0.11544    0.5  -0.24701   0.55  -0.40781    0.6  -0.60882   0.65  -0.86726   0.7  -1.21185  0.75  -1.69427   0.8  -2.4179   0.85  -3.62394   0.9   -6.03604  0.95  -13.27234
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    ECLV      50400 0.061806    0.30344       19 0.05  0.13854   0.1  0.27505  0.15  0.23403   0.2  0.18788   0.25  0.13558   0.3  0.075808 0.35  0.0068404  0.4 -0.073622  0.45  -0.16871    0.5  -0.28283   0.55  -0.42229    0.6  -0.59663   0.65  -0.82078   0.7  -1.11964  0.75  -1.53804   0.8  -2.16565  0.85  -3.21166   0.9   -5.30369  0.95  -11.57978
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    ECLV      50400 0.018234    0.040358      19 0.05  0.0126    0.1 -0.035062 0.15 -0.088331  0.2 -0.14826   0.25 -0.21618   0.3 -0.2938   0.35 -0.38336    0.4 -0.48785   0.45  -0.61134    0.5  -0.75952   0.55  -0.94064    0.6  -1.16703   0.65  -1.45811   0.7  -1.84621  0.75  -2.38955   0.8  -3.20457  0.85  -4.56293   0.9   -7.27965  0.95  -15.42982
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    ECLV      50400 0.0045437  -0.004684      19 0.05 -0.054011  0.1 -0.11402  0.15 -0.18109   0.2 -0.25655   0.25 -0.34207   0.3 -0.4398   0.35 -0.55257    0.4 -0.68413   0.45  -0.83962    0.5  -1.0262    0.55  -1.25425    0.6  -1.5393    0.65  -1.9058    0.7  -2.39447  0.75  -3.0786    0.8  -4.1048   0.85  -5.81514   0.9   -9.23581  0.95  -19.49782
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    ECLV      50400 0.001627   -0.0013117     19 0.05 -0.042362  0.1 -0.089431 0.15 -0.14204   0.2 -0.20122   0.25 -0.26829   0.3 -0.34495  0.35 -0.4334     0.4 -0.53659   0.45  -0.65854    0.5  -0.80488   0.55  -0.98374    0.6  -1.20732   0.65  -1.49477   0.7  -1.87805  0.75  -2.41463   0.8  -3.21951  0.85  -4.56098   0.9   -7.2439   0.95  -15.29268
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    ECLV      50400 0.00011905 -0.00029765    19 0.05 -0.13158   0.1 -0.27778  0.15 -0.44118   0.2 -0.625     0.25 -0.83333   0.3 -1.07143  0.35 -1.34615    0.4 -1.66667   0.45  -2.04545    0.5  -2.5       0.55  -3.05556    0.6  -3.75      0.65  -4.64286   0.7  -5.83333  0.75  -7.5       0.8 -10        0.85 -14.16667   0.9  -22.5      0.95  -47.5
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    ECLV      50400 0          NA             19 0.05 NA         0.1 NA        0.15 NA         0.2 NA         0.25 NA         0.3 NA        0.35 NA          0.4 NA         0.45  NA          0.5  NA         0.55  NA          0.6  NA         0.65  NA         0.7  NA        0.75  NA         0.8  NA        0.85  NA         0.9   NA        0.95   NA
