VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL F_RATE     H_RATE    O_RATE
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >0.1        >0.1       NA         NA    FHO       50400 0.75367    0.48694   0.54185
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >1.0        >1.0       NA         NA    FHO       50400 0.54978    0.318     0.40153
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >5.0        >5.0       NA         NA    FHO       50400 0.29994    0.13224   0.22157
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >10.0       >10.0      NA         NA    FHO       50400 0.17113    0.067956  0.14258
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >25.0       >25.0      NA         NA    FHO       50400 0.060099   0.02131   0.061806
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >50.0       >50.0      NA         NA    FHO       50400 0.015873   0.0010119 0.018234
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >75.0       >75.0      NA         NA    FHO       50400 0.0046627  0         0.0045437
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >100.0      >100.0     NA         NA    FHO       50400 0.0013095  0         0.001627
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >150.0      >150.0     NA         NA    FHO       50400 0.00029762 0         0.00011905
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NEAREST     1           >200.0      >200.0     NA         NA    FHO       50400 7.9365e-05 0         0
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >0.1        >0.1       NA         NA    FHO       20796 0.73       0.41739   0.4711
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >1.0        >1.0       NA         NA    FHO       20796 0.53467    0.26178   0.32227
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >5.0        >5.0       NA         NA    FHO       20796 0.28241    0.10002   0.16051
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >10.0       >10.0      NA         NA    FHO       20796 0.1557     0.038132  0.094057
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >25.0       >25.0      NA         NA    FHO       20796 0.043133   0.0051452 0.032458
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >50.0       >50.0      NA         NA    FHO       20796 0.013464   0.0003366 0.008367
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >75.0       >75.0      NA         NA    FHO       20796 0.0059146  0         0.0023562
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >100.0      >100.0     NA         NA    FHO       20796 0.0021158  0         0.00072129
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >150.0      >150.0     NA         NA    FHO       20796 0.00062512 0         4.8086e-05
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NEAREST     1           >200.0      >200.0     NA         NA    FHO       20796 0.00014426 0         0
