VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FBS        FBS_BCL FBS_BCU FSS        FSS_BCL FSS_BCU AFSS    AFSS_BCL AFSS_BCU UFSS    UFSS_BCL UFSS_BCU F_RATE     F_RATE_BCL F_RATE_BCU O_RATE     O_RATE_BCL O_RATE_BCU
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    49484 0.23035         NA      NA 0.80906         NA      NA 0.94933       NA       NA 0.77205       NA       NA 0.75325            NA         NA 0.5441             NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    49484 0.23035         NA      NA 0.80906         NA      NA 0.94933       NA       NA 0.77205       NA       NA 0.75325            NA         NA 0.5441             NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.1   NBRCNT    20761 0.26002         NA      NA 0.762           NA      NA 0.91103       NA       NA 0.7353        NA       NA 0.72954            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       NA         0.05  NBRCNT    20761 0.26002         NA      NA 0.762           NA      NA 0.91103       NA       NA 0.7353        NA       NA 0.72954            NA         NA 0.47059            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    49484 0.2155          NA      NA 0.74689         NA      NA 0.9538        NA       NA 0.70134       NA       NA 0.54903            NA         NA 0.40268            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    49484 0.2155          NA      NA 0.74689         NA      NA 0.9538        NA       NA 0.70134       NA       NA 0.54903            NA         NA 0.40268            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.1   NBRCNT    20761 0.22605         NA      NA 0.69653         NA      NA 0.88391       NA       NA 0.66078       NA       NA 0.53393            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       NA         0.05  NBRCNT    20761 0.22605         NA      NA 0.69653         NA      NA 0.88391       NA       NA 0.66078       NA       NA 0.53393            NA         NA 0.32156            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    49484 0.17334         NA      NA 0.60195         NA      NA 0.95558       NA       NA 0.61054       NA       NA 0.29955            NA         NA 0.22108            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    49484 0.17334         NA      NA 0.60195         NA      NA 0.95558       NA       NA 0.61054       NA       NA 0.29955            NA         NA 0.22108            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       NA         0.1   NBRCNT    20761 0.15972         NA      NA 0.55388         NA      NA 0.85715       NA       NA 0.57979       NA       NA 0.28207            NA         NA 0.15958            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >5.0        >5.0       NA         0.05  NBRCNT    20761 0.15972         NA      NA 0.55388         NA      NA 0.85715       NA       NA 0.57979       NA       NA 0.28207            NA         NA 0.15958            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      NA         0.1   NBRCNT    49484 0.1189          NA      NA 0.53055         NA      NA 0.9831        NA       NA 0.57093       NA       NA 0.17072            NA         NA 0.14186            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    49484 0.1189          NA      NA 0.53055         NA      NA 0.9831        NA       NA 0.57093       NA       NA 0.17072            NA         NA 0.14186            NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      NA         0.1   NBRCNT    20761 0.11211         NA      NA 0.40449         NA      NA 0.88154       NA       NA 0.54655       NA       NA 0.15548            NA         NA 0.093107           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >10.0       >10.0      NA         0.05  NBRCNT    20761 0.11211         NA      NA 0.40449         NA      NA 0.88154       NA       NA 0.54655       NA       NA 0.15548            NA         NA 0.093107           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    49484 0.053494        NA      NA 0.44529         NA      NA 0.99988       NA       NA 0.53077       NA       NA 0.060605           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    49484 0.053494        NA      NA 0.44529         NA      NA 0.99988       NA       NA 0.53077       NA       NA 0.060605           NA         NA 0.061535           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.1   NBRCNT    20761 0.041113        NA      NA 0.1989          NA      NA 0.95599       NA       NA 0.51597       NA       NA 0.043206           NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >25.0       >25.0      NA         0.05  NBRCNT    20761 0.041113        NA      NA 0.1989          NA      NA 0.95599       NA       NA 0.51597       NA       NA 0.043206           NA         NA 0.031935           NA         NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >50.0       >50.0      NA         0.1   NBRCNT    49484 0.020393        NA      NA 0.11108         NA      NA 0.99229       NA       NA 0.50914       NA       NA 0.016147           NA         NA 0.018289           NA         NA
