VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE     VX_MASK         INTERP_MTHD  INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER      BASER_NCL   BASER_NCU  BASER_BCL BASER_BCU FMEAN      FMEAN_NCL   FMEAN_NCU  FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY      PODY_NCL    PODY_NCU    PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL    POFD_NCU   POFD_BCL POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL FAR_BCU CSI       CSI_NCL     CSI_NCU     CSI_BCL CSI_BCU GSS         GSS_BCL GSS_BCU HK          HK_NCL      HK_NCU     HK_BCL HK_BCU HSS         HSS_BCL HSS_BCU ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL EDS_BCU SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL EDI_BCU SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    49484 0.54555     0.54187    0.54923           NA        NA 0.75812     0.75494    0.76128           NA        NA 0.68768 0.68424 0.69109      NA      NA  1.38965        NA        NA  0.90858   0.90643     0.91069          NA       NA 0.42249  0.41884  0.42615       NA       NA 0.57751     0.57385    0.58116          NA       NA  0.34618  0.34267  0.34971      NA      NA  0.61346   0.60985     0.61706         NA      NA  0.20811         NA      NA  0.33107     0.32679     0.33535       NA     NA  0.34453         NA      NA  7.27072  6.97707  7.57673       NA       NA  1.98386   1.94263   2.02508        NA        NA  0.75818  0.74942  0.76695       NA       NA  0.72679  0.71898  0.7346       NA      NA  0.25795  0.25225  0.26364       NA       NA  0.70268  0.67974  0.72561      NA      NA  0.50884  0.6768   0.72855       NA       NA  0.2613          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    49484 0.54555     0.54116    0.54993           NA        NA 0.75812     0.75433    0.76188           NA        NA 0.68768 0.68358 0.69175      NA      NA  1.38965        NA        NA  0.90858   0.90601     0.91109          NA       NA 0.42249  0.41815  0.42685       NA       NA 0.57751     0.57315    0.58185          NA       NA  0.34618  0.342    0.35039      NA      NA  0.61346   0.60916     0.61774         NA      NA  0.20811         NA      NA  0.33107     0.32597     0.33617       NA     NA  0.34453         NA      NA  7.27072  6.92218  7.63681       NA       NA  1.98386   1.93473   2.03298        NA        NA  0.75818  0.74774  0.76863       NA       NA  0.72679  0.71748  0.7361       NA      NA  0.25795  0.25116  0.26473       NA       NA  0.70268  0.67535  0.73         NA      NA  0.50884  0.67184  0.73351       NA       NA  0.2613          NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.1   NBRCTS    20761 0.47083     0.46514    0.47654           NA        NA 0.73354     0.72846    0.73856           NA        NA 0.64048 0.63498 0.64594      NA      NA  1.55795        NA        NA  0.89719   0.89367     0.9006           NA       NA 0.41207  0.40646  0.4177        NA       NA 0.58793     0.5823     0.59354          NA       NA  0.42413  0.41849  0.42978      NA      NA  0.54022   0.53453     0.54591         NA      NA  0.17649         NA      NA  0.30926     0.30231     0.3162        NA     NA  0.30003         NA      NA  6.11616  5.74054  6.51635       NA       NA  1.81093   1.74755   1.87431        NA        NA  0.71895  0.70364  0.73426       NA       NA  0.7482   0.73678  0.75963      NA      NA  0.23369  0.22563  0.24176       NA       NA  0.66077  0.62009  0.70146      NA      NA  0.47643  0.61781  0.70374       NA       NA  0.23794         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >0.1        >0.1       >=0.5      0.05  NBRCTS    20761 0.47083     0.46405    0.47763           NA        NA 0.73354     0.72748    0.73951           NA        NA 0.64048 0.63393 0.64698      NA      NA  1.55795        NA        NA  0.89719   0.89298     0.90124          NA       NA 0.41207  0.40539  0.41878       NA       NA 0.58793     0.58122    0.59461          NA       NA  0.42413  0.41742  0.43086      NA      NA  0.54022   0.53344     0.547           NA      NA  0.17649         NA      NA  0.30926     0.30098     0.31753       NA     NA  0.30003         NA      NA  6.11616  5.67126  6.59596       NA       NA  1.81093   1.73541   1.88646        NA        NA  0.71895  0.70071  0.73719       NA       NA  0.7482   0.73459  0.76182      NA      NA  0.23369  0.22409  0.2433        NA       NA  0.66077  0.61229  0.70925      NA      NA  0.47643  0.60958  0.71197       NA       NA  0.23794         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    49484 0.39894     0.39532    0.40256           NA        NA 0.5488      0.54512    0.55248           NA        NA 0.69578 0.69237 0.69917      NA      NA  1.37566        NA        NA  0.80654   0.80361     0.80945          NA       NA 0.62226  0.61867  0.62584       NA       NA 0.37774     0.37416    0.38133          NA       NA  0.41371  0.41007  0.41735      NA      NA  0.51401   0.51031     0.51771         NA      NA  0.25261         NA      NA  0.42881     0.42284     0.43477       NA     NA  0.40333         NA      NA  6.86806  6.62805  7.11677       NA       NA  1.92688   1.89131   1.96245        NA        NA  0.74581  0.73791  0.7537        NA       NA  0.6208   0.61261  0.629        NA      NA  0.33954  0.33277  0.34631       NA       NA  0.63822  0.62304  0.6534       NA      NA  0.5829   0.6225   0.65395       NA       NA  0.25486         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    49484 0.39894     0.39463    0.40326           NA        NA 0.5488      0.54442    0.55318           NA        NA 0.69578 0.69171 0.69982      NA      NA  1.37566        NA        NA  0.80654   0.80304     0.81             NA       NA 0.62226  0.61798  0.62653       NA       NA 0.37774     0.37347    0.38202          NA       NA  0.41371  0.40937  0.41805      NA      NA  0.51401   0.50961     0.51841         NA      NA  0.25261         NA      NA  0.42881     0.4217      0.43592       NA     NA  0.40333         NA      NA  6.86806  6.58303  7.16544       NA       NA  1.92688   1.8845    1.96927        NA        NA  0.74581  0.7364   0.75521       NA       NA  0.6208   0.61104  0.63057      NA      NA  0.33954  0.33147  0.34761       NA       NA  0.63822  0.62014  0.65631      NA      NA  0.5829   0.61948  0.65696       NA       NA  0.25486         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.1   NBRCTS    20761 0.30923     0.30398    0.31453           NA        NA 0.53533     0.52963    0.54102           NA        NA 0.67911 0.67376 0.68442      NA      NA  1.73115        NA        NA  0.84673   0.84257     0.8508           NA       NA 0.60407  0.59848  0.60964       NA       NA 0.39593     0.39036    0.40152          NA       NA  0.51089  0.50518  0.51659      NA      NA  0.44933   0.44366     0.45502         NA      NA  0.23082         NA      NA  0.4508      0.4419      0.4597        NA     NA  0.37507         NA      NA  8.42864  7.90982  8.98148       NA       NA  2.13163   2.0681    2.19516        NA        NA  0.78788  0.77583  0.79993       NA       NA  0.75169  0.74027  0.7631       NA      NA  0.34215  0.3334   0.3509        NA       NA  0.69553  0.66854  0.72253      NA      NA  0.61386  0.66605  0.72502       NA       NA  0.24957         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH ChinaPoints_789 NBRHD_SQUARE 9           >1.0        >1.0       >=0.5      0.05  NBRCTS    20761 0.30923     0.30298    0.31556           NA        NA 0.53533     0.52854    0.54211           NA        NA 0.67911 0.67273 0.68543      NA      NA  1.73115        NA        NA  0.84673   0.84176     0.85157          NA       NA 0.60407  0.5974   0.6107        NA       NA 0.39593     0.3893     0.4026           NA       NA  0.51089  0.50409  0.51768      NA      NA  0.44933   0.44257     0.45611         NA      NA  0.23082         NA      NA  0.4508      0.4402      0.4614        NA     NA  0.37507         NA      NA  8.42864  7.81414  9.09146       NA       NA  2.13163   2.05593   2.20734        NA        NA  0.78788  0.77353  0.80223       NA       NA  0.75169  0.73808  0.76529      NA      NA  0.34215  0.33173  0.35258       NA       NA  0.69553  0.66337  0.7277       NA      NA  0.61386  0.6604   0.73067       NA       NA  0.24957         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.1   NBRCTS    49484 0.21128     0.20828    0.21431           NA        NA 0.2925      0.28915    0.29587           NA        NA 0.75606 0.75287 0.75922      NA      NA  1.38441        NA        NA  0.61492   0.61132     0.61851          NA       NA 0.79387  0.79086  0.79685       NA       NA 0.20613     0.20315    0.20914          NA       NA  0.55582  0.55215  0.5595       NA      NA  0.34751   0.344       0.35104         NA      NA  0.2183          NA      NA  0.40879     0.39998     0.41761       NA     NA  0.35836         NA      NA  6.15008  5.91519  6.39431       NA       NA  1.81647   1.77752   1.85541        NA        NA  0.72028  0.71091  0.72965       NA       NA  0.52347  0.51396  0.53297      NA      NA  0.36408  0.35558  0.37259       NA       NA  0.52916  0.5151   0.54322      NA      NA  0.5588   0.51501  0.54332       NA       NA  0.20276         NA        NA
V7.0    ECMWF NA   960000    20180627_000000 20180627_000000 240000   20180627_000000 20180627_000000 APCP_24  A24      APCP_24 A24     CPC_CMORPH FULL            NBRHD_SQUARE 9           >5.0        >5.0       >=0.5      0.05  NBRCTS    49484 0.21128     0.20771    0.2149            NA        NA 0.2925      0.28851    0.29652           NA        NA 0.75606 0.75226 0.75983      NA      NA  1.38441        NA        NA  0.61492   0.61062     0.6192           NA       NA 0.79387  0.79028  0.79741       NA       NA 0.20613     0.20259    0.20972          NA       NA  0.55582  0.55144  0.5602       NA      NA  0.34751   0.34333     0.35172         NA      NA  0.2183          NA      NA  0.40879     0.39829     0.41929       NA     NA  0.35836         NA      NA  6.15008  5.87123  6.44219       NA       NA  1.81647   1.77006   1.86287        NA        NA  0.72028  0.70912  0.73145       NA       NA  0.52347  0.51214  0.53479      NA      NA  0.36408  0.35395  0.37422       NA       NA  0.52916  0.51241  0.54591      NA      NA  0.5588   0.5123   0.54603       NA       NA  0.20276         NA        NA
