VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF002  196.97333   78.96667     34.86667    119.36833   2.3739  23.18736  6.40906  119          88 292.6453    359.2649    -40.28598   0.077519     20.87467     26.73843     36.49158     52.68125     57.08586       36.49158    4593.99946      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF001  132.89189   59.5         30          103.34797  78.32177  9.62336  8.64406   56          41 163.00141   196.5528     95.61699   0.096774     16.90801     23.88564     36.60492     69.81852    125.32268       36.60492    3056.9007       NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF003   98.05882   53.64706     28.53676     94.63971  29.63929  7.19309  4.96024   22          11 125.01327   146.66145    81.33945   0.12         14.39785     21.61232     27.24932     49.5929      62.43607       27.24932     785.67014      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF000  107.33077   48.43077     27.23269     96.95769  27.50348 16.57398 10.25524  104          72 131.97282   158.55188    78.49303   0.12236      17.02702     21.7863      36.9448      59.2113      81.06442       36.9448     4599.43996      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF000   73.31818   47.63636     27.03409     88.45455  10.07351  5.44766  3.47849   13           8  99.83332   120.954      54.62482   0.071429     23.6908      24.52046     27.51072     32.93052     38.64619       27.51072     389.54947      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF000  114.89744   35.30769     23.95192     98.84936  -8.94119 17.04894 13.9853   114          78 136.1849    178.63421    33.19492   0.32544      19.71738     24.11191     28.37832     33.83709     41.08883       28.37832    3386.29846      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF000  119.14286   22.71429     20.80357     99.91071  -5.56459  6.06869  3.08283   11           7 141.34452   186.19086    -4.99218   0.24138      20.4008      24.37982     25.94149     35.99303     39.12844       25.94149     322.41904      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO000  214.15825  120.99327     45.37332    123.66456  23.49966 27.59191 21.01288  243         183 275.93238   330.91009   164.90429   0.3278       17.655       25.17708     38.11667     53.56528     70.78334       38.11667   10153.88696      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO002  203.41237   78.17526     34.66881    120.97809 -16.33014 13.20292  9.08312   76          60 247.3307    320.31991    77.87019   0.078788     17.80556     29.02761     43.31007     67.02916     93.3075        43.31007    3631.39795      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 240000    20180627_000000 240000     240000   20180627_000000 240000    3        >=25.0   3       >=25.0  APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO002  187.56522   75.27536     33.94384    117.0163   19.22347 13.92141  5.42323   48          37 227.59956   291.34847    88.19821   0.18644      21.1225      25.62917     36.69583     43.21146     49.80188       36.69583    1707.22017      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
