VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH    WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF003  208.51297  133.15649     48.41412    122.25324 -45.2722   52.32531 31.88999 1098         893 278.02458   323.79399   183.62868   0.17007      3.45654       5.76685      9.12699     13.01664     16.33306        9.12699   10656.56192      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF003  252.76305  131.58233     48.02058    133.31576  -4.98306  25.77412 11.69406  210         177 345.75439   441.12044    78.63235   0.14286      4.04384       6.08548      9.93898     14.2363      18.83309        9.93898    2294.80751      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF000  220.7957   101.1828      40.4207     125.32392  23.38674  16.02534  7.86368   68          32 271.85626   335.98132   141.52426   0.23164      0.097127      0.85648      6.00939     23.56678     32.59268        6.00939     759.67444      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF002  135.24185   53.1509      28.41272    103.93546  12.91872 168.20132 66.81607 4050        3288 171.42943   215.90785    70.24261   0.41898      3.34326       6.02964     10.29003     17.91962     32.25607       10.29003   62764.08394      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF000   82.73196   79.98969     35.12242     90.80799  75.77403  13.83008  8.49191   75          49 132.70195   101.92917   143.08002   0.1018       3.46847       4.64347      5.9916       7.38566      9.49437        5.9916      461.52196      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF001  193.98077   12.89316     18.34829    118.62019  59.42565  38.19318 21.40536  409         375 222.76487   288.21711    66.16897   0.23048      5.44763       6.88078      8.65314     10.87177     13.82714        8.65314    3741.08953      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F007       CF002  157.3       12.26        18.19       109.45     -2.75426   8.13492  6.89581   34          25 176.50525   236.3513     13.82082   0.2093       3.57498       5.20385      6.39492      8.66738      9.56119        6.39492     222.05767      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO003  217.12209  123.98043     46.12011    124.40552   3.21932  54.63241 36.84172  973         685 288.92965   360.99631   125.78705   0.27604      1.315         4.39167     11.575       24.525       43.05111       11.575     16956.29054      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO000   43.47458  126.40678     46.72669     80.99364  47.80826  10.62851  6.46025   42          35 151.62862    89.08963   181.46375   0.11579      4.06063       5.98958      8.27812     13.42083     15.40833        8.27812     392.67778      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 600000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO000  183.57126   75.71378     34.05345    116.01782   6.81124  56.79075 18.70315  764         545 265.74165   331.37722   -19.54491   0.17938      1.25          4.51771     13.06667     25.90556     41.83125       13.06667   13730.09114      NA            NA               NA         NA        NA                       NA         NA             NA               NA               NA                         NA       NA
