VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH    WIDTH     AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF002  153.91119   70.97863     32.86966    108.6028   37.67808 187.68509 105.3265  5556        4464 225.00163   205.13421   197.87449   0.58627       3.06697      5.99177      9.98297     16.06133     28.00785        9.98297   78733.92037      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF003  254.72047  130.82677     47.83169    133.80512 -11.26434  24.70563  11.95606  217         181 337.5893    430.92638   101.41809   0.097713      3.65091      6.17908      9.98366     15.20945     20.26994        9.98366    2371.42774      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF000   69.98795  113.25301     43.43825     87.62199  34.41706  14.42104   6.95079   61          45 157.25509   147.93735   143.44768   0.14085       2.63837      4.98823      9.21948     13.05285     16.43962        9.21948     566.69372      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF000   34.64286  108.46429     42.24107     78.78571  59.58974   5.83068   4.96826   17          14 127.39301    55.68996   161.53869   0.17073       3.78221      5.74549      6.87515      7.61331      9.23636        6.87515     114.77469      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF000   79.3224    82.17486     35.66872     89.9556  -85.58401  24.08275   9.73932  145         102 134.28969    89.99261   151.62114   0.24084       3.51812      4.53         5.89667      7.65761      8.83783        5.89667     902.98334      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F006       CF001  194.04144   11.19337     17.92334    118.63536  66.34454  33.04377  18.61518  310         272 220.06715   289.43338    49.56999   0.25749       4.94027      6.98784      9.31085     11.72023     14.21285        9.31085    3018.40521      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO003  217.12209  123.98043     46.12011    124.40552   3.21932  54.63241  36.84172  973         685 288.92965   360.99631   125.78705   0.27604       1.315        4.39167     11.575       24.525       43.05111       11.575     16956.29054      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO000   43.47458  126.40678     46.72669     80.99364  47.80826  10.62851   6.46025   42          35 151.62862    89.08963   181.46375   0.11579       4.06063      5.98958      8.27812     13.42083     15.40833        8.27812     392.67778      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O003       CO002  183.57126   75.71378     34.05345    116.01782   6.81124  56.79075  18.70315  764         545 265.74165   331.37722   -19.54491   0.17938       1.25         4.51771     13.06667     25.90556     41.83125       13.06667   13730.09114      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O004       CO000   92.70513   77.0641      34.39103     93.30128  21.04815   9.83612   9.62115   60          34 134.88859   140.74294   113.69276   0.076923      1.8525       3.49167      6.16667     12.15781     16.605          6.16667     495.32462      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O005       CO002  125.64892   65.48921     31.4973     101.53723   1.86454  44.46475  24.80071  599         340 167.283     212.78379    53.61315   0.30791       1.04708      3.225        6.69167     12.45        22.6775         6.69167    6089.21109      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O006       CO000   74.93714   63           30.875       88.85929  17.70051  19.92477  11.08733  143          68 114.67888   134.03983    69.20224   0.15385       0.81583      2.51319      5.59583     11.67222     25.06639        5.59583    1296.91043      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O007       CO000  106.13497   46.10429     26.65107     96.65874  -4.46171  45.01922  17.64862  420         261 148.10676   188.00262     4.99277   0.252         1.68833      3.5125       6.88333     12.36389     21.335          6.88333    4138.62184      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O008       CO002  141.93987   26.75633     21.81408    105.60997  -3.95425  63.33274  30.4113   839         571 186.6244    231.5993    -47.66032   0.37318       1.36333      4.23333      8.3         15.51667     25.12667        8.3        9830.52098      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O009       CO001  189.13841    5.80277     16.57569    117.4096   -1.87916  24.01988  14.41876  249         194 212.05052   284.26928    -1.54112   0.091241      2.20167      5.74444     12.54167     26.85        40.82792       12.54167    4359.50559      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O003 CF002_CO002   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            30.03567       0                0         30.86685    0.13751               481       5839           5358                0.62958          0.30596                    0.764    0.86929
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O005 CF002_CO002   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            28.79044       0                0         35.81354    0.10781               573       5582           5009                0.95659          0.52521                    0.67031  0.86267
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O008 CF002_CO002   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            45.81402       0                0         41.63234    0.15101               717       5678           4961                0.85459          0.63653                    0.83142  0.84441
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F002_O001 CF003_CO003   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            38.21663       0                0         14.48366    0.22302                43       1147           1104                0.19816          0.35398                    0.86252  0.81324
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F003_O002 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            29.59697      21.40093         21.40093   13.3912     0.68852                 0        103            103                0                0.82211                    0.8979   0.29291
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F003_O004 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            42.7283       34.4093          34.39141   13.36891    0.98361                 0        121            121                0                0.54615                    0.66887  0.13359
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F003_O006 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            50.49614      40.79216         40.77095   16.71655    0.42657                 0        204            204                0                0.91549                    0.60696  0.13392
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F004_O002 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            19.99831      12.36932         12.36932   11.78148    0.40476                 0         59             59                0                0.6782                     0.83052  0.42456
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F005_O004 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            14.3254        4                4         73.36784    0.41379                 0        205            205                0                0.3194                     0.95622  0.56695
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F005_O005 CF000_CO002   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            49.23979      24.18677         24.14953   87.44855    0.24207                 0        744            744                0                0.78216                    0.8812   0.086442
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F005_O006 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            19.66992       1                1         76.71548    0.98621                 0        288            288                0                0.6388                     0.94898  0.63562
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F005_O007 CF000_CO000   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA            44.94441      21.0238          21.01904   81.1223     0.34524                 0        565            565                0                0.95569                    0.85666  0.16465
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F006_O009 CF001_CO001   NA         NA           NA           NA        NA        NA        NA         NA          NA  NA          NA          NA        NA            NA           NA           NA           NA           NA             NA            NA             7.28686       0                0         68.22369    0.80323               173        386            213                0.69478          0.35435                    0.74239  0.94618
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP       CF001       CF001  194.04144   11.19337     17.92334    118.63536  66.34454  33.04377  18.61518  310         272 220.06715   289.43338    49.56999   0.25749       4.94027      6.98784      9.31085     11.72023     14.21285        9.31085    3018.40521      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP       CF002       CF002  153.91119   70.97863     32.86966    108.6028   37.67808 187.68509 105.3265  5556        4464 225.00163   205.13421   197.87449   0.58627       3.06697      5.99177      9.98297     16.06133     28.00785        9.98297   78733.92037      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 720000    20180627_000000 240000     240000   20180627_000000 240000    5        >=5      5       >=5     APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP       CF003       CF003  254.72047  130.82677     47.83169    133.80512 -11.26434  24.70563  11.95606  217         181 337.5893    430.92638   101.41809   0.097713      3.65091      6.17908      9.98366     15.20945     20.26994        9.98366    2371.42774      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
