VERSION MODEL N_VALID GRID_RES DESC      FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_LEV OBS_VAR OBS_LEV OBTYPE          OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F001       CF000  223.81818  100.68182     40.29545    126.07955 16.21087  8.51945  2.32238   10          10 325.28146   407.40222    -8.25173    0.33333     59.99382     61.56635     70.29037     73.28059     75.16038       70.29037     679.8888       NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F002       CF001  196.30075   80.12782     35.15695    119.20019  6.38534 24.40719  5.8587   102          92 317.85372   374.55062   -75.61216    0.12069     51.31407     61.19221     76.27635     88.11272     93.51323       76.27635    7480.10219      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F003       CF000  134.41176   63.11765     30.90441    103.72794 54.7935   7.7851   4.99789   22          19 169.2585    187.70786   124.36902    0.12        43.24511     57.50536     68.59799     91.26186    104.45564       68.59799    1643.14819      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F004       CF000  107.52874   47.78161     27.0704      97.00718 32.19929 12.50539  8.05486   66          44 132.14646   156.80149    82.04812    0.10811     35.13269     43.54824     65.61196     96.07609    138.05037       65.61196    5116.98576      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        F005       CF000   79.13514   45.98649     26.62162     89.90878  3.36235 13.15357  6.16562   54          32 108.81353   137.21569    37.37511    0.14286     19.65533     34.59208     65.70239     98.53466    130.7059        65.70239    3865.24436      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O001       CO000  221.73469  122.87755     45.84439    125.55867 -1.87274  8.09377  6.02947   34          32 287.09351   354.71152   144.47148    0.15        56.20083     64.14757     75.41355     92.19167    104.79021       75.41355    2639.87228      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP        O002       CO001  205.39024   78.34146     34.71037    121.47256 -7.81085  7.47867  5.63313   28          23 246.91323   316.47159    95.59361    0.11111     50.91563     66.10972     81.5125      93.77291    100.225         81.5125     2055.97221      NA            NA               NA         NA         NA                      NA         NA             NA               NA               NA                         NA       NA
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O001 CF000_CO000   NA         NA           NA           NA       NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            22.29331      18.02776         18.02776   18.0836     0.29412                 0         44             44                0                0.45                       0.93207  0.30827
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F001_O002 CF000_CO001   NA         NA           NA           NA       NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            28.95998      21.63331         21.63331   24.02171    0.35714                 0         38             38                0                0.33333                    0.86233  0.23866
V7.0    EC    20796   15       EC_CMORPH 960000    20180627_000000 240000     240000   20180627_000000 240000    3        >=50     3       >=50    APCP_24  A24      APCP_24 A24     CPC_CMORPH_PRCP   F002_O001 CF001_CO000   NA         NA           NA           NA       NA       NA       NA         NA          NA  NA          NA          NA         NA           NA           NA           NA           NA           NA             NA            NA            49.74359      38.8973          38.8973     8.25808    0.33333                 0        136            136                0                0.8046                     0.98869  0.1195
