VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN     FMEAN_NCL FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY    PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD      POFD_NCL  POFD_NCU  POFD_BCL   POFD_BCU  FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU   CSI_BCL  CSI_BCU GSS        GSS_BCL    GSS_BCU   HK         HK_NCL    HK_NCU  HK_BCL     HK_BCU    HSS        HSS_BCL    HSS_BCU   ODDS      ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU  LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38745   0.42558  0.67249   0.65391   0.69054    0.65542  0.69035   0.68678 0.6684  0.7046  0.66852 0.70544 1.65591   1.59133   1.72764 0.94233  0.93253 0.95077   0.9278    0.95639 0.51203  0.49251  0.53152  0.48795  0.53593 0.48797   0.46848   0.50749   0.46407    0.51205   0.43093 0.41171 0.45036 0.40702 0.45377 0.54991  0.53043  0.56925   0.52664  0.5738   0.25919    0.23713    0.28346   0.45436    0.43574  0.47297  0.42446    0.48401   0.41167    0.38335    0.44171   17.14474 12.93532  22.72399 13.28001  23.51161  2.84169   2.55996   3.12342   2.58626   3.15749  0.88978  0.86043  0.91912  0.85994  0.91841  0.87631  0.8467   0.90592  0.84622  0.90512  0.35123  0.3299   0.37256  0.32433  0.37827  0.84708  0.76228  0.93188  0.80869  0.88467  0.66098  0.71096  0.9832   0.62704  0.69645  0.32818   0.30471    0.35574
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28345   0.31798  0.46487   0.44546   0.48438    0.44621  0.48313   0.77094 0.75413 0.78693 0.75427 0.78682 1.54894   1.47253   1.63266 0.89286  0.88018 0.90434   0.87118   0.91473 0.71866  0.70078  0.73588  0.69838  0.73879 0.28134   0.26412   0.29922   0.26121    0.30162   0.42357 0.4044  0.44297 0.39344 0.45189 0.53914  0.51963  0.55853   0.51157  0.56772  0.35929    0.33123    0.39073   0.61152    0.58513  0.63791  0.58437    0.64059   0.52864    0.49763    0.56191   21.28696 16.53242  27.40885 17.28717  27.71421  3.05809   2.80532   3.31087   2.84996   3.32195  0.91026  0.8886   0.93193  0.89063  0.93035  0.82789  0.79361  0.86216  0.79287  0.86316  0.49561  0.46757  0.52366  0.46747  0.52585  0.83594  0.77868  0.89319  0.80514  0.86967  0.77509  0.76512  0.90675  0.74954  0.80245  0.36292   0.33685    0.39241
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.18857   0.17377    0.20431    0.17388   0.20406  0.28662   0.2693    0.30459    0.26955  0.30449   0.81778 0.80223 0.83237 0.80191 0.83328 1.52      1.42165   1.64469 0.77684  0.76017 0.79267   0.73863   0.81505 0.8273   0.81204  0.84156  0.80938  0.84378 0.1727    0.15844   0.18796   0.15622    0.19062   0.48892 0.46943 0.50844 0.45129 0.52713 0.44565  0.42634  0.46513   0.40953  0.48095  0.33657    0.30156    0.37338   0.60414    0.56265  0.64563  0.56223    0.64634   0.50363    0.46338    0.54373   16.6759  13.05818  21.2959  13.17049  21.67419  2.81396   2.56941   3.05851   2.57798   3.07612  0.88685  0.86075  0.91296  0.85886  0.91179  0.73707  0.69348  0.78066  0.69095  0.78232  0.51909  0.48097  0.55721  0.48245  0.55552  0.74858  0.68562  0.81154  0.70377  0.79326  0.76091  0.68725  0.8099   0.7215   0.79806  0.31371   0.28072    0.34937
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.12267   0.11043    0.13606    0.10996   0.13537  0.15522   0.14161   0.16989    0.14172  0.17032   0.85073 0.83628 0.86412 0.83604 0.86384 1.26537   1.1337    1.40069 0.52427  0.50475 0.54372   0.46779   0.58167 0.89638  0.88387  0.90768  0.88283  0.90853 0.10362   0.092316  0.11613   0.091473   0.11717   0.58568 0.56632 0.60477 0.5394  0.63614 0.30112  0.28351  0.31932   0.26136  0.34056  0.23271    0.19426    0.27214   0.42065    0.36153  0.47977  0.363      0.47894   0.37756    0.32532    0.42784    9.53337  7.33723  12.38687  7.27525  12.50534  2.2548    1.99296   2.51664   1.98448   2.52616  0.81013  0.76513  0.85512  0.75832  0.85191  0.52934  0.47015  0.58854  0.46506  0.58983  0.44357  0.38769  0.49945  0.39261  0.4918   0.55661  0.48203  0.63119  0.49385  0.6161   0.59887  0.48082  0.6324   0.53438  0.65839  0.21675   0.17962    0.25386
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.037316  0.030591   0.04545    0.030171  0.045256 0.028583  0.022759  0.035842   0.021834 0.034934  0.94919 0.93991 0.9571  0.94085 0.95752 0.76596   0.57545   1.00027 0.20213  0.1869  0.21826   0.12621   0.2816  0.97814  0.97166  0.98317  0.97247  0.98397 0.021856  0.016832  0.028335  0.016029   0.027527  0.73611 0.71855 0.75295 0.63233 0.83122 0.12925  0.11671  0.14292   0.078012 0.18472  0.11304    0.062933   0.16729   0.18027    0.098272 0.26227  0.1047     0.26041   0.20312    0.11841    0.28663   11.33786  6.39726  20.09408  6.14441  18.93469  2.42815   1.85587   3.00043   1.81554   2.941    0.8379   0.75265  0.92315  0.72006  0.89967  0.34569  0.2351   0.45629  0.22392  0.44362  0.40025  0.28517  0.51533  0.28988  0.4899   0.41025  0.29472  0.52578  0.29304  0.50722  0.42824  0.28799  0.53251  0.3039   0.53092  0.13174   0.076426   0.19708
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.0095276 0.0064109  0.014138   0.005558  0.013497 0.011116  0.0077017 0.016018   0.007146 0.015482  0.98333 0.97754 0.98764 0.97777 0.98809 1.16667   0.70354   1.94118 0.20833  0.19292 0.22463   0.05      0.3913  0.99078  0.98623  0.99384  0.98677  0.99439 0.0092184 0.0061624 0.013769  0.0056129  0.013226  0.82143 0.80599 0.83589 0.66667 0.95833 0.10638  0.094936 0.11903   0.023256 0.20455  0.10128    0.019094   0.19915   0.19911    0.042176 0.35605  0.041182   0.3829    0.18393    0.037472   0.33215   28.28375  9.72817  82.2324   5.72705  73.29016  3.34229   2.27503   4.40955   1.94488   4.29652  0.9317   0.8613   1.0021   0.70269  0.97308  0.4958   0.30831  0.68328  0.26857  0.66735  0.47102  0.28665  0.6554   0.2443   0.61749  0.49846  0.29517  0.70174  0.25913  0.66791  0.51435  0.28558  0.71133  0.26541  0.69128  0.099496  0.025034   0.19887
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.0035728 0.0018808  0.0067766  0.001191  0.005955 0.0035728 0.0018808 0.0067766  0.001588 0.005955  0.99444 0.99069 0.99669 0.99127 0.99722 1         0.4       2.5025  0.22222  0.20642 0.23887   0         0.54571 0.99721  0.99426  0.99865  0.99521  0.9992  0.0027888 0.0013533 0.0057386 0.00079798 0.004785  0.77778 0.76113 0.79358 0.5     1       0.125    0.11265  0.13849   0        0.30769  0.12324   -0.001566   0.30617   0.21943   -0.023205 0.46207 -0.00319    0.54444   0.21943   -0.003136   0.4688   102.16327 17.97188 580.75919  0       625.7625   4.62657   2.88881   6.36434   3.2589    6.44135  0.98061  0.94725  1.01398 -1        0.99681  0.5786   0.30831  0.84889  0.38653  0.82299  0.5786   0.30831  0.84889  0.39193  0.77121  0.59273  0.30992  0.87555  0.40443  0.82255  0.60555  0.29962  0.88584  0.41159  0.84011  0.125     0.04384    0.3338
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0019849 0.00084813 0.0046383  0.000397  0.00397  0.0023819 0.0010921 0.0051871  0.000794 0.004367  0.99563 0.9922  0.99756 0.99285 0.99801 1.2       0.33333   6       0        0       0.0015227 0         0       0.99761  0.99481  0.9989   0.99562  0.99921 0.0023866 0.0010951 0.0051936 0.000795   0.004379  1       0.99848 1       1       1       0        0        0.0015227 0        0       -0.0010839 -0.001684  -0.000318 -0.0023866 -0.21963  0.21486 -0.0043775 -0.000795 -0.0021701 -0.003374  -0.000636   0       NA        NA        0         0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA         NA
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38744   0.42517  0.68003   0.66155   0.69796    0.66177  0.69671   0.67924 0.66075 0.69718 0.66137 0.6983  1.67449   1.6058    1.74747 0.94233  0.93253 0.95077   0.92814   0.9562  0.49933  0.47982  0.51884  0.47522  0.5254  0.50067   0.48116   0.52018   0.4746     0.52478   0.43724 0.41798 0.4567  0.4129  0.46195 0.54402  0.52452  0.56339   0.51966  0.56792  0.2493     0.22756    0.27435   0.44166    0.42304  0.46027  0.41208    0.47194   0.3991     0.37075    0.43057   16.29535 12.29461  21.59797 12.46949  22.31794  2.79088   2.50916   3.0726    2.52329   3.10539  0.88436  0.85367  0.91506  0.85152  0.91423  0.87631  0.8467   0.90592  0.84436  0.905    0.33962  0.31848  0.36076  0.31402  0.36757  0.84185  0.75253  0.93116  0.80112  0.87936  0.64924  0.70032  0.98337  0.61223  0.68509  0.32193   0.29693    0.34931
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28265   0.3176   0.46447   0.44506   0.48399    0.44502  0.48392   0.77451 0.75778 0.79041 0.75824 0.79079 1.54762   1.47238   1.62801 0.89815  0.88572 0.90936   0.87533   0.91931 0.7215   0.70367  0.73866  0.70062  0.74236 0.2785    0.26134   0.29633   0.25764    0.29938   0.41966 0.40052 0.43904 0.39129 0.44773 0.54451  0.52501  0.56387   0.51696  0.57321  0.36597    0.33663    0.3947    0.61965    0.59384  0.64546  0.58814    0.64902   0.53584    0.5037     0.566     22.84466 17.65562  29.55877 17.70283  29.76892  3.12872   2.87105   3.38638   2.87372   3.39347  0.91612  0.89542  0.93683  0.89306  0.935    0.83612  0.8025   0.86974  0.7993   0.86933  0.50301  0.47548  0.53053  0.47234  0.53328  0.84496  0.78932  0.90061  0.80963  0.87663  0.78288  0.7748   0.91513  0.75316  0.80819  0.37037   0.34164    0.3974
