VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10  CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18  CL_19 VALUE_19
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611     0.45436      19 0.05 -0.2373    0.1  0.15709  0.15  0.28855   0.2  0.35428  0.25  0.39372   0.3  0.42001  0.35  0.43879   0.4  0.45287  0.45  0.35848    0.5  0.22874   0.55  0.070164   0.6 -0.12805   0.65 -0.38291   0.7 -0.72271  0.75 -1.19844   0.8 -1.91202  0.85 -3.10134   0.9  -5.47996  0.95 -12.61584
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2519 0.30012     0.61152      19 0.05 -0.15428   0.1  0.30516  0.15  0.45831   0.2  0.53488  0.25  0.58083   0.3  0.61146  0.35  0.53958   0.4  0.45547  0.45  0.35606    0.5  0.23677   0.55  0.090976   0.6 -0.09127   0.65 -0.32559   0.7 -0.63801  0.75 -1.0754    0.8 -1.73148  0.85 -2.82496   0.9  -5.0119   0.95 -11.57275
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857     0.60414      19 0.05 -0.15802   0.1  0.36057  0.15  0.53343   0.2  0.59105  0.25  0.52912   0.3  0.45835  0.35  0.37668   0.4  0.2814   0.45  0.1688     0.5  0.033684  0.55 -0.13146    0.6 -0.33789   0.65 -0.60331   0.7 -0.95719  0.75 -1.45263   0.8 -2.19579  0.85 -3.43439   0.9  -5.91158  0.95 -13.34316
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267     0.42065      19 0.05 -0.36742   0.1  0.29774  0.15  0.39349   0.2  0.339    0.25  0.27724   0.3  0.20666  0.35  0.12522   0.4  0.030205 0.45 -0.082083   0.5 -0.21683   0.55 -0.38152    0.6 -0.58738   0.65 -0.85206   0.7 -1.20496  0.75 -1.69903   0.8 -2.44013  0.85 -3.6753    0.9  -6.14563  0.95 -13.55663
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316    0.18027      19 0.05  0.17245   0.1  0.13948  0.15  0.10263   0.2  0.06117  0.25  0.014184  0.3 -0.039514 0.35 -0.10147   0.4 -0.17376  0.45 -0.25919    0.5 -0.3617    0.55 -0.487      0.6 -0.64362   0.65 -0.84498   0.7 -1.11348  0.75 -1.48936   0.8 -2.05319  0.85 -2.99291   0.9  -4.87234  0.95 -10.51064
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276   0.19911      19 0.05  0.15789   0.1  0.10185  0.15  0.039216  0.2 -0.03125  0.25 -0.11111   0.3 -0.20238  0.35 -0.30769   0.4 -0.43056  0.45 -0.57576    0.5 -0.75      0.55 -0.96296    0.6 -1.22917   0.65 -1.57143   0.7 -2.02778  0.75 -2.66667   0.8 -3.625    0.85 -5.22222   0.9  -8.41667  0.95 -18
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728   0.21943      19 0.05  0.18129   0.1  0.1358   0.15  0.084967  0.2  0.027778 0.25 -0.037037  0.3 -0.11111  0.35 -0.19658   0.4 -0.2963   0.45 -0.41414    0.5 -0.55556   0.55 -0.7284     0.6 -0.94444   0.65 -1.22222   0.7 -1.59259  0.75 -2.11111   0.8 -2.88889  0.85 -4.18519   0.9  -6.77778  0.95 -14.55556
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849  -0.0023866    19 0.05 -0.063158  0.1 -0.13333  0.15 -0.21176   0.2 -0.3      0.25 -0.4       0.3 -0.51429  0.35 -0.64615   0.4 -0.8      0.45 -0.98182    0.5 -1.2       0.55 -1.46667    0.6 -1.8       0.65 -2.22857   0.7 -2.8      0.75 -3.6       0.8 -4.8      0.85 -6.8       0.9 -10.8      0.95 -22.8
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611     0.44166      19 0.05 -0.25      0.1  0.14439  0.15  0.27585   0.2  0.34158  0.25  0.38102   0.3  0.40731  0.35  0.42609   0.4  0.44017  0.45  0.34329    0.5  0.21017   0.55  0.047464   0.6 -0.15591   0.65 -0.4174    0.7 -0.76605  0.75 -1.25415   0.8 -1.98631  0.85 -3.20658   0.9  -5.64712  0.95 -12.96872
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012     0.61965      19 0.05 -0.10834   0.1  0.32842  0.15  0.474     0.2  0.5468   0.25  0.59047   0.3  0.61959  0.35  0.54843   0.4  0.46517  0.45  0.36676    0.5  0.24868   0.55  0.10435    0.6 -0.076058  0.65 -0.30801   0.7 -0.61728  0.75 -1.05026   0.8 -1.69974  0.85 -2.78219   0.9  -4.94709  0.95 -11.4418
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857     0.60008      19 0.05 -0.16928   0.1  0.35421  0.15  0.5287    0.2  0.58684  0.25  0.52421   0.3  0.45263  0.35  0.37004   0.4  0.27368  0.45  0.15981    0.5  0.023158  0.55 -0.14386    0.6 -0.35263   0.65 -0.62105   0.7 -0.97895  0.75 -1.48      0.8 -2.23158  0.85 -3.48421   0.9  -5.98947  0.95 -13.50526
V7.0    EC    ECMWF-M4 240000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267     0.43353      19 0.05 -0.33846   0.1  0.31312  0.15  0.4072    0.2  0.35437  0.25  0.2945    0.3  0.22607  0.35  0.14712   0.4  0.055016 0.45 -0.053839   0.5 -0.18447   0.55 -0.34412    0.6 -0.54369   0.65 -0.80028   0.7 -1.14239  0.75 -1.62136   0.8 -2.33981  0.85 -3.53722   0.9  -5.93204  0.95 -13.1165
