VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY    PODY_NCL    PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI     CSI_NCL     CSI_NCU   CSI_BCL  CSI_BCU GSS         GSS_BCL    GSS_BCU    HK          HK_NCL    HK_NCU   HK_BCL    HK_BCU    HSS        HSS_BCL    HSS_BCU    ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS    BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2518 0.40588   0.38685    0.42519    0.38721   0.42534  0.64774    0.62887    0.66616    0.62867   0.6668   0.70731 0.68923 0.72475 0.68983 0.72518 1.59589  1.53312    1.66463 0.93738  0.92723    0.94619    0.9227   0.95124 0.55013  0.53064  0.56947  0.52449  0.5744  0.44987    0.43053    0.46936   0.4256   0.47551  0.41263 0.39355 0.43198 0.38786 0.43591 0.56519  0.54574    0.58444   0.54179  0.58883  0.28655     0.26319    0.31169    0.48751     0.46817  0.50685   0.4581    0.51552   0.44546    0.4167     0.47525   18.30502 13.9349  24.04566 14.30302 24.25296  2.90718   2.6344    3.17995   2.66047   3.18854  0.8964   0.8696   0.9232   0.86931  0.9208   0.86616  0.83556  0.89676  0.83446  0.89666  0.38246  0.35979  0.40513  0.35536  0.40875  0.85021  0.77511  0.92531  0.81601  0.88287  0.687    0.73148  0.96895  0.65368  0.7188   0.34105  0.31633    0.36763
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2518 0.29984   0.28226    0.31803    0.28197   0.31732  0.46585    0.44643    0.48537    0.44637   0.48411  0.7776  0.76094 0.79341 0.76052 0.79349 1.55364  1.48287    1.63613 0.90596  0.89393    0.91675    0.88538  0.92617 0.72263  0.70482  0.73977  0.70199  0.74335 0.27737    0.26023    0.29518   0.25665  0.29801  0.41688 0.39776 0.43625 0.38878 0.44618 0.54984  0.53035    0.56918   0.52033  0.57759  0.3724      0.34109    0.40188    0.62859     0.60366  0.65352   0.59811   0.6576    0.5427     0.50868    0.57334   25.09911 19.24287 32.7376  19.56024 33.36179  3.22283   2.95714   3.48852   2.9735    3.50741  0.92337  0.90379  0.94295  0.90272  0.9418   0.84844  0.81585  0.88104  0.8163   0.8814   0.51037  0.48373  0.537    0.48038  0.53958  0.85699  0.80317  0.91081  0.82454  0.88806  0.79184  0.78681  0.92717  0.76334  0.81755  0.37863  0.34933    0.40733
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2518 0.18824   0.17346    0.20398    0.17394   0.20413  0.2645     0.24764    0.28207    0.24782   0.28119  0.81334 0.79765 0.82808 0.79825 0.82923 1.40506  1.30116    1.51938 0.70675  0.68867    0.72421    0.66596  0.74843 0.83806  0.82316  0.85193  0.82189  0.85416 0.16194    0.14807    0.17684   0.14584  0.17811  0.497   0.47749 0.51652 0.45906 0.5355  0.41615  0.39704    0.43552   0.381    0.45083  0.30845     0.27176    0.34546    0.54481     0.49945  0.59018   0.49945   0.59121   0.47147    0.42738    0.51352   12.47267  9.90884 15.69986  9.94802 16.06997  2.52354   2.29343   2.75365   2.29737   2.77695  0.85155  0.81993  0.88318  0.81732  0.88283  0.65586  0.60826  0.70347  0.60802  0.70711  0.48726  0.44451  0.53002  0.44822  0.52604  0.67976  0.61418  0.74535  0.6304   0.72874  0.70667  0.61618  0.74334  0.66178  0.75023  0.28493  0.25139    0.32081
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2518 0.12232   0.11009    0.1357     0.10961   0.13543  0.15091    0.13746    0.16543    0.13781   0.16403  0.85226 0.83787 0.86559 0.83916 0.86497 1.23377  1.10869    1.38873 0.51299  0.49346    0.53248    0.45512  0.56508 0.89955  0.88719  0.91069  0.88783  0.91105 0.10045    0.089313   0.11281   0.088948 0.11217  0.58421 0.56485 0.60332 0.53083 0.6354  0.29811  0.28057    0.31628   0.2583   0.33846  0.23064     0.19257    0.26927    0.41253     0.35328  0.47179   0.35471   0.46749   0.37483    0.32295    0.4243     9.43255  7.25134 12.26988  7.22287 12.18786  2.24417   1.98119   2.50715   1.97725   2.50044  0.80829  0.76271  0.85388  0.75678  0.84835  0.51781  0.45815  0.57746  0.45247  0.5779   0.44193  0.38526  0.4986   0.39155  0.48907  0.54983  0.47556  0.6241   0.48826  0.60473  0.59199  0.47409  0.62558  0.52842  0.6474   0.2158   0.17828    0.25506
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2518 0.037331  0.030604   0.045468   0.029786  0.045671 0.03614    0.029528   0.044165   0.028991  0.043685 0.94241 0.93262 0.95086 0.93328 0.95155 0.96809  0.75531    1.25648 0.21277  0.19722    0.22918    0.13483  0.30306 0.97071  0.96337  0.97661  0.96412  0.97704 0.02929    0.023387   0.036627  0.022955 0.035877 0.78022 0.76363 0.79596 0.69229 0.86253 0.12121  0.10904    0.13454   0.074697 0.17421  0.10274     0.056745   0.15641    0.18348     0.099997 0.26695   0.10613   0.27411   0.18633    0.1074     0.27051    8.95699  5.18083 15.48548  5.03436 15.60794  2.19243   1.64496   2.7399    1.61629   2.74778  0.79914  0.70021  0.89806  0.66856  0.87958  0.35991  0.25056  0.46927  0.24871  0.47191  0.36662  0.25672  0.47652  0.25931  0.4637   0.39049  0.2714   0.50958  0.27584  0.49903  0.41003  0.26392  0.51706  0.2886   0.52487  0.10703  0.060258   0.16222
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2518 0.0095314 0.0064134  0.014144   0.005957  0.013503 0.0075457  0.004836   0.011756   0.004369  0.010733 0.98292 0.97708 0.9873  0.97775 0.98769 0.79167  0.42292    1.40023 0       -1.0826e-19 0.0015233  0        0       0.99238  0.98816  0.99511  0.98912  0.99558 0.0076183  0.0048928  0.011844  0.004416 0.010882 1       0.99848 1       1       1       0       -1.0826e-19 0.0015233 0        0       -0.0042293  -0.005489  -0.0029633 -0.0076183  -0.076611 0.061374 -0.010882 -0.004416 -0.0084946 -0.011038  -0.0059445  0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA         NA
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2518 0.0035743 0.0018816  0.0067793  0.001191  0.006354 0.00079428 0.00021785 0.0028916  0         0.001986 0.99563 0.99219 0.99756 0.99284 0.99801 0.22222  0          0.8     0       -1.0826e-19 0.0015233  0        0       0.9992   0.9971   0.99978  0.99801  1       0.00079713 0.00021908 0.002896  0        0.001995 1       0.99848 1       1       1       0       -1.0826e-19 0.0015233 0        0       -0.00065029 -0.001363   0         -0.00079713 -0.15037  0.14878  -0.001995  0        -0.0013014 -0.002731   0          0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA         NA
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2518 0.0019857 0.00084846 0.0046402  0.000397  0.003971 0.00079428 0.00021785 0.0028916  0         0.001986 0.99722 0.99427 0.99865 0.99484 0.99921 0.4      0          2       0       -1.0826e-19 0.0015233  0        0       0.9992   0.99711  0.99978  0.99801  1       0.00079586 0.00021853 0.002894  0        0.001991 1       0.99848 1       1       1       0       -1.0826e-19 0.0015233 0        0       -0.00056767 -0.001084   0         -0.00079586 -0.21804  0.21645  -0.001991  0        -0.001136  -0.002171   0          0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA         NA
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38665   0.42399  0.65026    0.63142    0.66864    0.6308    0.66931  0.70742 0.68935 0.72486 0.68956 0.72412 1.60117  1.53602    1.67038 0.94037  0.93044    0.94897    0.9253   0.95517 0.54813  0.52863  0.56748  0.52295  0.5732  0.45187    0.43252    0.47137   0.4268   0.47705  0.4127  0.39362 0.43204 0.38937 0.43662 0.56622  0.54678    0.58545   0.54321  0.58987  0.28709     0.26194    0.31061    0.4885      0.4696   0.5074    0.45945   0.51512   0.4461     0.41514    0.47399   19.12989 14.48567 25.26308 14.87094 25.95126  2.95125   2.67316   3.22934   2.69941   3.25622  0.90065  0.87439  0.9269   0.87398  0.92579  0.87226  0.84225  0.90228  0.83998  0.90284  0.38324  0.36106  0.40541  0.35572  0.40816  0.85633  0.78201  0.93065  0.82013  0.89075  0.69008  0.73568  0.97698  0.65753  0.71996  0.34405  0.31916    0.37006
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28105   0.31679  0.46606    0.44664    0.48558    0.4474    0.48472  0.77769 0.76104 0.7935  0.76221 0.79397 1.55291  1.48391    1.62848 0.90608  0.89407    0.91687    0.88432  0.92669 0.72263  0.70482  0.73977  0.70194  0.74338 0.27737    0.26023    0.29518   0.25662  0.29806  0.41652 0.39741 0.43589 0.38898 0.44436 0.5502   0.53071    0.56954   0.52357  0.57727  0.37266     0.34487    0.40274    0.62872     0.60381  0.65362   0.59832   0.65626   0.54298    0.51286    0.57421   25.1358  19.2713  32.78496 19.4781  33.45675  3.22429   2.95862   3.48997   2.96929   3.51025  0.92348  0.90392  0.94303  0.90233  0.94196  0.84853  0.81595  0.88111  0.81389  0.88255  0.51054  0.48392  0.53716  0.48119  0.53868  0.85718  0.80342  0.91094  0.82291  0.88891  0.79197  0.78704  0.92731  0.76307  0.81684  0.37931  0.35092    0.40805
