VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7  CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11 CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18 CL_19 VALUE_19
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2518 0.40588    0.48751       19 0.05 -0.2627    0.1  0.16511  0.15  0.30771   0.2  0.37901  0.25  0.42179   0.3  0.45031  0.35  0.47068  0.4  0.48596  0.45  0.39859    0.5  0.27886    0.55  0.13253   0.6 -0.050391  0.65 -0.28557   0.7 -0.59915  0.75 -1.03816   0.8 -1.69667  0.85 -2.79419   0.9 -4.98924  0.95 -11.57436
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2518 0.29984    0.62859       19 0.05 -0.042541  0.1  0.36018  0.15  0.49442   0.2  0.56154  0.25  0.60182   0.3  0.62838  0.35  0.55721  0.4  0.47417  0.45  0.37604    0.5  0.25828    0.55  0.11435   0.6 -0.065563  0.65 -0.29688   0.7 -0.6053   0.75 -1.03709   0.8 -1.68477  0.85 -2.76424   0.9 -4.92318  0.95 -11.4
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2518 0.18824    0.54481       19 0.05 -0.45401   0.1  0.22603  0.15  0.45271   0.2  0.53217  0.25  0.47398   0.3  0.40747  0.35  0.33074  0.4  0.24121  0.45  0.1354     0.5  0.0084388  0.55 -0.14674   0.6 -0.34072   0.65 -0.59011   0.7 -0.92264  0.75 -1.38819   0.8 -2.0865   0.85 -3.25035   0.9 -5.57806  0.95 -12.56118
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2518 0.12232    0.41253       19 0.05 -0.39005   0.1  0.28869  0.15  0.38579   0.2  0.33279  0.25  0.27273   0.3  0.20408  0.35  0.12488  0.4  0.032468 0.45 -0.076741   0.5 -0.20779    0.55 -0.36797   0.6 -0.56818   0.65 -0.8256    0.7 -1.16883  0.75 -1.64935   0.8 -2.37013  0.85 -3.57143   0.9 -5.97403  0.95 -13.18182
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2518 0.037331   0.18348       19 0.05  0.17301   0.1  0.12884  0.15  0.079474  0.2  0.023936 0.25 -0.039007  0.3 -0.11094  0.35 -0.19394  0.4 -0.29078  0.45 -0.40522    0.5 -0.54255    0.55 -0.7104    0.6 -0.92021   0.65 -1.18997   0.7 -1.54965  0.75 -2.05319   0.8 -2.80851  0.85 -4.06738   0.9 -6.58511  0.95 -14.1383
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2518 0.0095314 -0.0076183     19 0.05 -0.041667  0.1 -0.087963 0.15 -0.13971   0.2 -0.19792  0.25 -0.26389   0.3 -0.33929  0.35 -0.42628  0.4 -0.52778  0.45 -0.64773    0.5 -0.79167    0.55 -0.96759   0.6 -1.1875    0.65 -1.47024   0.7 -1.84722  0.75 -2.375     0.8 -3.16667  0.85 -4.48611   0.9 -7.125    0.95 -15.04167
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2518 0.0035743 -0.00079713    19 0.05 -0.011696  0.1 -0.024691 0.15 -0.039216  0.2 -0.055556 0.25 -0.074074  0.3 -0.095238 0.35 -0.11966  0.4 -0.14815  0.45 -0.18182    0.5 -0.22222    0.55 -0.2716    0.6 -0.33333   0.65 -0.4127    0.7 -0.51852  0.75 -0.66667   0.8 -0.88889  0.85 -1.25926   0.9 -2        0.95  -4.22222
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2518 0.0019857 -0.00079586    19 0.05 -0.021053  0.1 -0.044444 0.15 -0.070588  0.2 -0.1      0.25 -0.13333   0.3 -0.17143  0.35 -0.21538  0.4 -0.26667  0.45 -0.32727    0.5 -0.4        0.55 -0.48889   0.6 -0.6       0.65 -0.74286   0.7 -0.93333  0.75 -1.2       0.8 -1.6      0.85 -2.26667   0.9 -3.6      0.95  -7.6
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.4885        19 0.05 -0.2266    0.1  0.18115  0.15  0.31707   0.2  0.38503  0.25  0.4258    0.3  0.45299  0.35  0.4724   0.4  0.48697  0.45  0.39972    0.5  0.27957    0.55  0.13273   0.6 -0.050831  0.65 -0.28683   0.7 -0.6015   0.75 -1.04203   0.8 -1.70283  0.85 -2.80417   0.9 -5.00684  0.95 -11.61486
V7.0    EC    ECMWF-M4 360000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.62872       19 0.05 -0.042541  0.1  0.36018  0.15  0.49442   0.2  0.56154  0.25  0.60182   0.3  0.62866  0.35  0.55779  0.4  0.47487  0.45  0.37686    0.5  0.25926    0.55  0.11552   0.6 -0.064153  0.65 -0.29516   0.7 -0.60317  0.75 -1.03439   0.8 -1.68122  0.85 -2.75926   0.9 -4.91534  0.95 -11.3836
