VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY     PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL   POFD_BCU FAR      FAR_NCL  FAR_NCU  FAR_BCL  FAR_BCU  CSI      CSI_NCL  CSI_NCU   CSI_BCL  CSI_BCU  GSS         GSS_BCL    GSS_BCU     HK          HK_NCL    HK_NCU  HK_BCL     HK_BCU      HSS         HSS_BCL    HSS_BCU    ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL   ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38745   0.42558  0.6582     0.63945    0.67647    0.64073   0.67725  0.69948 0.68129 0.71707 0.68161 0.71736 1.62072   1.55778   1.68826 0.94037  0.93044  0.94897    0.92625  0.95428 0.53476  0.51524  0.55417  0.50759  0.56062 0.46524    0.44583    0.48476   0.43938    0.49241   0.41978  0.40065  0.43916  0.39768  0.44238 0.55963  0.54017  0.57891   0.53693  0.58214   0.27606     0.2518     0.30083     0.47513     0.45623  0.49404  0.44397    0.5047      0.43267     0.4023     0.46252   18.127   13.7274  23.93668 14.03847 24.96579  2.8974    2.61939   3.17541   2.6418    3.21751  0.89544  0.86789    0.92299  0.86701  0.92298  0.87226  0.84225  0.90228  0.84032  0.90288  0.37063  0.34866  0.3926   0.343    0.39796  0.85126  0.77292  0.9296   0.81548  0.88829  0.67819  0.72537  0.97715  0.64369  0.7108   0.33694   0.31288   0.36319
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28345   0.31798  0.46328    0.44388    0.48279    0.44382   0.48274  0.7757  0.759   0.79157 0.76062 0.79119 1.54365   1.47297   1.62065 0.89815  0.88572  0.90936    0.87657  0.91776 0.7232   0.7054   0.74032  0.70343  0.74339 0.2768     0.25968    0.2946    0.25661    0.29657   0.41817  0.39904  0.43754  0.39054  0.44612 0.54582  0.52632  0.56518   0.51834  0.57144   0.36784     0.33849    0.39682     0.62135     0.59554  0.64716  0.59357    0.65023     0.53784     0.50578    0.56817   23.03931 17.80464 29.813   18.23267 29.97336  3.1372    2.87946   3.39494   2.90321   3.40031  0.9168   0.89625    0.93735  0.89601  0.93543  0.83612  0.8025   0.86974  0.80106  0.86861  0.50496  0.47741  0.53252  0.47692  0.53362  0.84565  0.79034  0.90095  0.81353  0.87631  0.78426  0.77597  0.91532  0.75751  0.81     0.37178   0.34465   0.39962
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.18857   0.17377    0.20431    0.17388   0.20406  0.28384    0.26658    0.30177    0.26756   0.30013  0.81183 0.7961  0.82661 0.79635 0.82733 1.50526   1.40611   1.6267  0.75368  0.73648  0.77012    0.71482  0.79332 0.82534  0.81002  0.83967  0.80773  0.84142 0.17466    0.16033    0.18998   0.15858    0.19227   0.4993   0.47979  0.51881  0.46185  0.53603 0.43029  0.41107  0.44972   0.39547  0.4651    0.32011     0.28655    0.35511     0.57903     0.53611  0.62194  0.53532    0.62327     0.48498     0.44545    0.52411   14.45919 11.39781 18.34284 11.47379 18.74552  2.67133   2.43342   2.90924   2.44007   2.93095  0.87063  0.84184    0.89942  0.83966  0.89871  0.71013  0.66507  0.75519  0.66316  0.75867  0.50052  0.46098  0.54006  0.46386  0.53715  0.72108  0.65581  0.78636  0.673    0.76619  0.73777  0.65765  0.78452  0.69589  0.77818  0.2973    0.26527   0.33147
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.12267   0.11043    0.13606    0.10996   0.13537  0.16514    0.15116    0.18015    0.15165   0.17905  0.85669 0.84246 0.86983 0.84279 0.869   1.34628   1.21525   1.50838 0.589    0.56966  0.60806    0.53459  0.64215 0.89412  0.8815   0.90554  0.88139  0.90548 0.10588    0.094461   0.1185    0.094525   0.11861   0.5625   0.54305  0.58176  0.51774  0.61284 0.33517  0.317    0.35385   0.29515  0.37479   0.26622     0.22629    0.30494     0.48311     0.42486  0.54137  0.42588    0.53821     0.42049     0.36907    0.46736   12.10149  9.29328 15.75826  9.27065 15.71499  2.49333   2.22929   2.75736   2.22685   2.75462  0.84735  0.81012    0.88458  0.80527  0.88035  0.5971   0.54049  0.65371  0.53974  0.65571  0.48394  0.43134  0.53654  0.43713  0.52693  0.61846  0.54578  0.69114  0.55944  0.67361  0.66034  0.54654  0.69039  0.60091  0.71342  0.24473   0.20616   0.28152
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.037316  0.030591   0.04545    0.030171  0.045256 0.045653   0.038171   0.054519   0.037316  0.054    0.93529 0.92501 0.94425 0.92576 0.94523 1.2234    0.96032   1.55556 0.24468  0.22829  0.26185    0.16483  0.3375  0.96206  0.95387  0.96885  0.95392  0.96967 0.037938   0.031154   0.04613   0.030326   0.046078  0.8      0.78393  0.81516  0.72091  0.86609 0.12366  0.11137  0.13709   0.08187  0.17309   0.10296     0.062146   0.15235     0.20674     0.11928  0.2942   0.12495    0.30143     0.1867      0.11702    0.26441    8.21479  4.91167 13.73926  4.88411 13.77274  2.10594   1.59161   2.62026   1.58599   2.62269  0.78296  0.68344    0.88247  0.6601   0.86462  0.40044  0.29452  0.50636  0.28954  0.51223  0.3575   0.25483  0.46018  0.26329  0.4467   0.39832  0.2774   0.51925  0.28722  0.50683  0.42128  0.26941  0.52724  0.3021   0.5352   0.097577  0.058447  0.14725
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.0095276 0.0064109  0.014138   0.005558  0.013497 0.010322   0.0070534  0.015081   0.006749  0.014688 0.98094 0.97483 0.9856  0.97578 0.98611 1.08333   0.63883   1.89499 0.041667 0.034536 0.050193   0        0.14815 0.98998  0.98528  0.99319  0.98592  0.99358 0.01002    0.0068087  0.014724  0.0064179  0.014081  0.96154  0.9533   0.96837  0.86957  1       0.020408 0.015573 0.026704  0        0.068182  0.015431   -0.005807   0.063518    0.031647   -0.066182 0.12948 -0.013211   0.13933     0.030392   -0.011681   0.11945    4.29565  0.55827 33.05313  0       18.08333  1.4576   -0.58291   3.49812   1.0229    3.01813  0.62233 -0.0027827  1.24745 -1        0.8952   0.1884  -0.10275  0.47956  0.11494  0.45157  0.17818 -0.11046  0.46683  0.12522  0.41518  0.18315 -0.11735  0.48365  0.12797  0.43766  0.18606 -0.12481  0.49111  0.12989  0.45026  0.019639  0.014513  0.076901
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.0035728 0.0018808  0.0067766  0.001191  0.005955 0.0023819  0.0010921  0.0051871  0.000794  0.004367 0.99405 0.9902  0.99639 0.99047 0.99682 0.66667   0.18144   2       0        0        0.0015227  0        0       0.99761  0.9948   0.9989   0.99562  0.9992  0.0023904  0.0010975  0.0051988 0.000796   0.004382  1        0.99848  1        1        1       0        0        0.0015227 0        0        -0.0014312  -0.00217   -0.000567   -0.0023904  -0.15196  0.14718 -0.004382  -0.000796   -0.0028665  -0.00435   -0.001136   0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA         NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA        NA
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0019849 0.00084813 0.0046383  0.000397  0.00397  0.00039698 7.0081e-05 0.0022453  0         0.001191 0.99762 0.99481 0.99891 0.99563 0.99921 0.2       0         1       0        0        0.0015227  0        0       0.9996   0.99775  0.99993  0.99881  1       0.00039777 7.0318e-05 0.0022467 0          0.001195  1        0.99848  1        1        1       0        0        0.0015227 0        0        -0.00033093 -0.000834   0          -0.00039777 -0.21764  0.21684 -0.001195   0          -0.00066208 -0.00167    0          0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA         NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA        NA
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38744   0.42517  0.66137    0.64266    0.6796     0.64272   0.67963  0.6971  0.67887 0.71474 0.67804 0.71457 1.62854   1.55973   1.70002 0.94135  0.93148  0.94987    0.92727  0.95627 0.53008  0.51056  0.54951  0.50362  0.55608 0.46992    0.45049    0.48944   0.44392    0.49638   0.42197  0.40282  0.44136  0.39829  0.44676 0.55794  0.53847  0.57723   0.53329  0.58073   0.27293     0.24794    0.29685     0.47143     0.45267  0.49019  0.43993    0.50094     0.42882     0.39736    0.45781   18.10477 13.68519 23.95162 13.96825 24.57144  2.89618   2.61631   3.17604   2.63679   3.20159  0.89531  0.86755    0.92308  0.86638  0.92179  0.87429  0.84447  0.9041   0.84379  0.90482  0.36711  0.34536  0.38885  0.3383   0.3941   0.85179  0.77246  0.93113  0.81579  0.88718  0.67565  0.72358  0.98     0.64052  0.70902  0.33593   0.31104   0.36187
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28265   0.3176   0.46923    0.44981    0.48875    0.45018   0.48869  0.77134 0.75453 0.78732 0.75427 0.78761 1.56349   1.48936   1.64026 0.90079  0.8885   0.91186    0.87795  0.92217 0.71583  0.69789  0.7331   0.69446  0.73591 0.28417    0.2669     0.30211   0.26409    0.30554   0.42386  0.40469  0.44326  0.39445  0.45154 0.54177  0.52226  0.56115   0.5131   0.56964   0.3616      0.33162    0.39135     0.61662     0.59111  0.64213  0.58458    0.6456      0.53114     0.49807    0.56254   22.87218 17.63658 29.66201 17.54392 30.11222  3.12992   2.86998   3.38987   2.86471   3.40493  0.91622  0.89535    0.93709  0.89215  0.93572  0.84025  0.80697  0.87353  0.80402  0.87471  0.49858  0.47148  0.52569  0.46774  0.52776  0.84665  0.79042  0.90288  0.81133  0.87938  0.78101  0.77477  0.91854  0.74997  0.80817  0.36838   0.33892   0.39725
