VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1    CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7  CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10   CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18 CL_19 VALUE_19
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.47513       19 0.05 -0.23997    0.1  0.16778  0.15  0.3037    0.2  0.37166  0.25  0.41243   0.3  0.43962  0.35  0.45903  0.4  0.4736   0.45  0.38372    0.5  0.26002    0.55  0.10883    0.6 -0.080156  0.65 -0.32314   0.7 -0.64712  0.75 -1.10068   0.8 -1.78104  0.85 -2.91496   0.9 -5.1828   0.95 -11.98631
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.62135       19 0.05 -0.10664    0.1  0.33012  0.15  0.4757    0.2  0.5485   0.25  0.59217   0.3  0.62129  0.35  0.55057  0.4  0.46781  0.45  0.37001    0.5  0.25265    0.55  0.1092     0.6 -0.070106  0.65 -0.30064   0.7 -0.60802  0.75 -1.03836   0.8 -1.68386  0.85 -2.7597    0.9 -4.91138  0.95 -11.3664
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.57903       19 0.05 -0.26223    0.1  0.31018  0.15  0.50098   0.2  0.56579  0.25  0.50316   0.3  0.43158  0.35  0.34899  0.4  0.25263  0.45  0.13876    0.5  0.0021053  0.55 -0.16491    0.6 -0.37368   0.65 -0.64211   0.7 -1        0.75 -1.50105   0.8 -2.25263  0.85 -3.50526   0.9 -6.01053  0.95 -13.52632
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.48311       19 0.05 -0.19774    0.1  0.37692  0.15  0.45536   0.2  0.39968  0.25  0.33657   0.3  0.26445  0.35  0.18123  0.4  0.084142 0.45 -0.030597   0.5 -0.16828    0.55 -0.33657    0.6 -0.54693   0.65 -0.81738   0.7 -1.17799  0.75 -1.68285   0.8 -2.44013  0.85 -3.70227   0.9 -6.22654  0.95 -13.79935
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.20674       19 0.05  0.19317    0.1  0.13593  0.15  0.071965  0.2  0        0.25 -0.08156   0.3 -0.17477  0.35 -0.28232  0.4 -0.4078   0.45 -0.55609    0.5 -0.73404    0.55 -0.95154    0.6 -1.2234    0.65 -1.57295   0.7 -2.03901  0.75 -2.69149   0.8 -3.67021  0.85 -5.30142   0.9 -8.56383  0.95 -18.35106
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.031647      19 0.05 -0.013158   0.1 -0.074074 0.15 -0.14216   0.2 -0.21875  0.25 -0.30556   0.3 -0.40476  0.35 -0.51923  0.4 -0.65278  0.45 -0.81061    0.5 -1          0.55 -1.23148    0.6 -1.52083   0.65 -1.89286   0.7 -2.38889  0.75 -3.08333   0.8 -4.125    0.85 -5.86111   0.9 -9.33333  0.95 -19.75
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0023904     19 0.05 -0.035088   0.1 -0.074074 0.15 -0.11765   0.2 -0.16667  0.25 -0.22222   0.3 -0.28571  0.35 -0.35897  0.4 -0.44444  0.45 -0.54545    0.5 -0.66667    0.55 -0.81481    0.6 -1         0.65 -1.2381    0.7 -1.55556  0.75 -2         0.8 -2.66667  0.85 -3.77778   0.9 -6        0.95 -12.66667
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.00039777    19 0.05 -0.010526   0.1 -0.022222 0.15 -0.035294  0.2 -0.05     0.25 -0.066667  0.3 -0.085714 0.35 -0.10769  0.4 -0.13333  0.45 -0.16364    0.5 -0.2        0.55 -0.24444    0.6 -0.3       0.65 -0.37143   0.7 -0.46667  0.75 -0.6       0.8 -0.8      0.85 -1.13333   0.9 -1.8      0.95  -3.8
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.47143       19 0.05 -0.23195    0.1  0.16912  0.15  0.30281   0.2  0.36965  0.25  0.40976   0.3  0.4365   0.35  0.4556   0.4  0.46992  0.45  0.3791     0.5  0.25415    0.55  0.10144    0.6 -0.089443  0.65 -0.33487   0.7 -0.6621   0.75 -1.12023   0.8 -1.80743  0.85 -2.95275   0.9 -5.2434   0.95 -12.11535
V7.0    EC    ECMWF-M4 480000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.61662       19 0.05 -0.092456   0.1  0.33296  0.15  0.47476   0.2  0.54566  0.25  0.5882    0.3  0.61656  0.35  0.54396  0.4  0.45899  0.45  0.35859    0.5  0.2381     0.55  0.090829   0.6 -0.093254  0.65 -0.32993   0.7 -0.6455   0.75 -1.0873    0.8 -1.75     0.85 -2.8545    0.9 -5.06349  0.95 -11.69048
