VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY     PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL  POFD_BCU  FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU   CSI_BCL  CSI_BCU  GSS         GSS_BCL    GSS_BCU     HK          HK_NCL    HK_NCU  HK_BCL     HK_BCU    HSS         HSS_BCL   HSS_BCU    ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL   ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38745   0.42558  0.64986    0.63102    0.66825    0.6304   0.66773   0.69432 0.67605 0.71201 0.67765 0.7122  1.6002    1.53799   1.67026 0.92375  0.91273  0.93348    0.90857  0.94021 0.53743  0.51792  0.55683  0.51158  0.56165 0.46257    0.44317    0.48208   0.43835   0.48842   0.42272 0.40357 0.44212 0.39987 0.4466  0.55102  0.53153  0.57035   0.52855  0.57407   0.2668      0.24482    0.29264     0.46119     0.44003  0.48234  0.43174    0.49146   0.42122     0.39334   0.45277   14.07626 10.93767 18.11547 11.26939 18.45996  2.64449   2.39221   2.89677   2.42209   2.9156   0.86734  0.83609    0.89859  0.83699  0.89722  0.83821  0.80521  0.87122  0.80628  0.87206  0.35871  0.33431  0.3831   0.33196  0.38742  0.81345  0.7291   0.89779  0.77618  0.8516   0.65377  0.69468  0.93222  0.61977  0.68755  0.31613   0.29433   0.34216
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28345   0.31798  0.46368    0.44427    0.48319    0.44581  0.48313   0.76737 0.75047 0.78345 0.75108 0.78285 1.54497   1.47208   1.62071 0.88492  0.87187  0.8968     0.8634   0.90662 0.71696  0.69905  0.73421  0.69584  0.73682 0.28304    0.26579    0.30095   0.26318   0.30416   0.42723 0.40803 0.44664 0.39917 0.45562 0.53307  0.51355  0.55249   0.50535  0.56004   0.3521      0.32291    0.38069     0.60188     0.57466  0.6291   0.57266    0.63171   0.52082     0.48818   0.55145   19.47841 15.22694 24.91691 15.58514 25.24174  2.96931   2.72307   3.21555   2.74632   3.2285   0.90234  0.87946    0.92521  0.87941  0.92379  0.81558  0.78038  0.85078  0.78096  0.85125  0.48748  0.45864  0.51632  0.45725  0.51583  0.82338  0.76431  0.88246  0.78919  0.85679  0.76542  0.75226  0.8945   0.7366   0.79342  0.3541    0.32721   0.38139
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.18857   0.17377    0.20431    0.17388   0.20406  0.2763     0.25919    0.29409    0.25963  0.29298   0.81143 0.79569 0.82623 0.79554 0.82731 1.46526   1.36198   1.58187 0.73263  0.715    0.74955    0.69278  0.77556 0.82975  0.81457  0.84392  0.81293  0.8456  0.17025    0.15608    0.18543   0.1544    0.18707   0.5     0.48049 0.51951 0.46511 0.53617 0.42284  0.40368  0.44224   0.38915  0.45487   0.31334     0.27918    0.34608     0.56238     0.5183   0.60645  0.51829    0.60536   0.47717     0.43649   0.5142    13.35433 10.57186 16.86914 10.5692  17.11282  2.59184   2.3582    2.82549   2.35794   2.83983  0.86067  0.83038    0.89096  0.82713  0.88958  0.68565  0.63939  0.73192  0.63668  0.73857  0.49265  0.45168  0.53362  0.45422  0.52952  0.70108  0.63531  0.76685  0.65312  0.74837  0.7225   0.6373   0.76486  0.67912  0.76304  0.29018   0.25816   0.32202
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.12267   0.11043    0.13606    0.10996   0.13537  0.14728    0.13398    0.16166    0.13378  0.16118   0.85312 0.83875 0.8664  0.84001 0.86582 1.20065   1.08225   1.34183 0.50162  0.48211  0.52113    0.44595  0.55517 0.90226  0.89005  0.91325  0.88934  0.91414 0.097738   0.086746   0.10995   0.085856  0.11066   0.58221 0.56284 0.60133 0.53015 0.63352 0.29524  0.27775  0.31335   0.25577  0.33465   0.22835     0.18971    0.26771     0.40388     0.34469  0.46307  0.34642    0.45981   0.3718      0.31891   0.42235    9.29143  7.13904 12.09274  7.19605 12.09163  2.22909   1.96558   2.49261   1.97353   2.49251  0.80566  0.75943    0.8519   0.75598  0.84723  0.50512  0.44512  0.56511  0.44406  0.56495  0.43953  0.38215  0.49691  0.39023  0.48667  0.5424   0.46858  0.61623  0.4803   0.60067  0.58435  0.46683  0.61797  0.51963  0.64337  0.21568   0.1775    0.2543
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.037316  0.030591   0.04545    0.030171  0.045256 0.034538   0.028086   0.042407   0.027789 0.042477  0.94244 0.93265 0.95088 0.93331 0.95118 0.92553   0.71276   1.21435 0.19149  0.1766   0.20732    0.11236  0.27663 0.97155  0.9643   0.97736  0.96459  0.97807 0.028454   0.022644   0.035699  0.021927  0.035407  0.7931  0.77684 0.80847 0.70404 0.87013 0.11043  0.098778 0.12327   0.065199 0.16032   0.092352    0.048981   0.14245     0.16304     0.082597 0.24347  0.087236   0.24753   0.16909     0.093388  0.24937    8.08696  4.58803 14.25423  4.32101 14.16495  2.09025   1.52345   2.65705   1.46349   2.65077  0.7799   0.66888    0.89093  0.62413  0.86812  0.33097  0.21908  0.44286  0.19906  0.44533  0.34663  0.23343  0.45984  0.23498  0.44422  0.36577  0.24496  0.48659  0.2446   0.47429  0.38326  0.23744  0.49411  0.25452  0.49795  0.098494  0.053024  0.15377
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.0095276 0.0064109  0.014138   0.005558  0.013497 0.011116   0.0077017  0.016018   0.007146 0.015482  0.98015 0.97393 0.98491 0.97498 0.98571 1.16667   0.66667   2.10028 0.041667 0.034536 0.050193   0        0.14815 0.98918  0.98433  0.99254  0.98478  0.9928  0.010822   0.0074611  0.015672  0.007203  0.015224  0.96429 0.9563  0.97085 0.87869 1       0.019608 0.01488  0.025799  0        0.066695  0.014453   -0.00593    0.062108    0.030845   -0.066984 0.12867 -0.014412   0.13654   0.028493   -0.011931  0.11695    3.97424  0.51794 30.49475  0       16.39567  1.37983  -0.65789   3.41755   0.97798   2.89266  0.59793 -0.056672   1.25253 -1        0.88503  0.1884  -0.10275  0.47956  0.11494  0.45157  0.16872 -0.11761  0.45505  0.11977  0.39923  0.17499 -0.12657  0.47654  0.12433  0.4294   0.17787 -0.13415  0.48413  0.12635  0.44374  0.018236  0.013407  0.071435
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.0035728 0.0018808  0.0067766  0.001191  0.005955 0.0047638  0.0027272  0.0083085  0.002382 0.007543  0.99166 0.98729 0.99454 0.98808 0.99524 1.33333   0.58823   4       0        0        0.0015227  0        0       0.99522  0.99167  0.99726  0.99243  0.99761 0.0047809  0.0027397  0.0083302 0.002389  0.007567  1       0.99848 1       1       1       0        0        0.0015227 0        0        -0.0020458  -0.002986  -0.00096863 -0.0047809  -0.15436  0.14479 -0.007567  -0.002389 -0.0041     -0.00599  -0.0019383  0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA         NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA        NA
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0019849 0.00084813 0.0046383  0.000397  0.00397  0.0011909  0.00040511 0.0034958  0        0.002779  0.99682 0.99375 0.99839 0.99444 0.99881 0.6       0         3       0        0        0.0015227  0        0       0.99881  0.9965   0.99959  0.99722  1       0.0011933  0.00040631 0.0034994 0         0.0027811 1       0.99848 1       1       1       0        0        0.0015227 0        0        -0.0007449  -0.001284   0          -0.0011933  -0.21844  0.21605 -0.0027815  0        -0.0014909  -0.002572  0          0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA         NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA        NA
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38744   0.42517  0.64946    0.63062    0.66786    0.6308   0.66773   0.69551 0.67726 0.71318 0.67685 0.71299 1.59922   1.53312   1.66739 0.92473  0.91377  0.9344     0.90747  0.94018 0.53877  0.51926  0.55816  0.51358  0.56495 0.46123    0.44184    0.48074   0.43505   0.48642   0.42176 0.40261 0.44115 0.39767 0.44727 0.55225  0.53276  0.57157   0.52724  0.57589   0.26855     0.24367    0.29305     0.4635      0.44247  0.48453  0.43434    0.49292   0.42339     0.39186   0.45327   14.35114 11.13717 18.4926  11.3666  18.33981  2.66383   2.41029   2.91737   2.43068   2.90907  0.86972  0.83884    0.9006   0.83827  0.89659  0.8402   0.80735  0.87305  0.80491  0.87246  0.3608   0.33651  0.38509  0.33388  0.38796  0.81633  0.73277  0.8999   0.77714  0.85165  0.65656  0.69776  0.93491  0.62091  0.68915  0.31805   0.29473   0.34268
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28265   0.3176   0.46685    0.44743    0.48637    0.447    0.48552   0.76657 0.74966 0.78268 0.7487  0.78325 1.55556   1.4781    1.63711 0.88889  0.87602  0.90057    0.86431  0.91087 0.71412  0.69616  0.73143  0.69216  0.73524 0.28588    0.26857    0.30384   0.26476   0.30784   0.42857 0.40937 0.44799 0.40016 0.4584  0.53333  0.51382  0.55275   0.50433  0.56194   0.35175     0.32036    0.38178     0.60301     0.57621  0.62982  0.56995    0.63517   0.52044     0.48527   0.55259   19.98413 15.57547 25.64067 15.64925 26.00927  2.99494   2.7457    3.24418   2.75042   3.25845  0.90469  0.88207    0.92731  0.87987  0.92595  0.82172  0.78698  0.85647  0.78447  0.85629  0.48735  0.45898  0.51572  0.45535  0.5182   0.82805  0.76912  0.88699  0.79142  0.86253  0.76717  0.75606  0.90004  0.73535  0.79641  0.3555    0.32624   0.38544
