VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7  CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10    CL_11 VALUE_11  CL_12 VALUE_12  CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17 CL_18 VALUE_18  CL_19 VALUE_19
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.46119       19 0.05 -0.45321   0.1  0.068182 0.15  0.24198   0.2  0.32888   0.25  0.38102   0.3  0.41578  0.35  0.4406   0.4  0.45922  0.45  0.3703     0.5  0.24731     0.55  0.096991   0.6 -0.090909  0.65 -0.3325    0.7 -0.65461  0.75 -1.10557   0.8 -1.78201  0.85 -2.90942   0.9  -5.16422  0.95 -11.92864
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.60188       19 0.05 -0.22065   0.1  0.27283  0.15  0.43732   0.2  0.51957   0.25  0.56892   0.3  0.60182  0.35  0.52951  0.4  0.44489  0.45  0.34488    0.5  0.22487     0.55  0.078189   0.6 -0.10516   0.65 -0.34089   0.7 -0.6552   0.75 -1.09524   0.8 -1.75529  0.85 -2.85538   0.9  -5.05556  0.95 -11.65608
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.56238       19 0.05 -0.35078   0.1  0.27055  0.15  0.47766   0.2  0.54947   0.25  0.48842   0.3  0.41865  0.35  0.33814  0.4  0.24421  0.45  0.13321    0.5  2.9438e-16  0.55 -0.16281    0.6 -0.36632   0.65 -0.62797   0.7 -0.97684  0.75 -1.46526   0.8 -2.19789  0.85 -3.41895   0.9  -5.86105  0.95 -13.18737
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.40388       19 0.05 -0.42172   0.1  0.27511  0.15  0.37826   0.2  0.32686   0.25  0.26861   0.3  0.20203  0.35  0.12522  0.4  0.035599 0.45 -0.070315   0.5 -0.19741     0.55 -0.35275    0.6 -0.54693   0.65 -0.79658   0.7 -1.12945  0.75 -1.59547   0.8 -2.2945   0.85 -3.45955   0.9  -5.78964  0.95 -12.77994
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.16304       19 0.05  0.15286   0.1  0.10993  0.15  0.061952  0.2  0.0079787 0.25 -0.053191  0.3 -0.1231   0.35 -0.20376  0.4 -0.29787  0.45 -0.40909    0.5 -0.54255     0.55 -0.70567    0.6 -0.90957   0.65 -1.17173   0.7 -1.52128  0.75 -2.01064   0.8 -2.74468  0.85 -3.96809   0.9  -6.41489  0.95 -13.75532
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.030845      19 0.05 -0.017544  0.1 -0.083333 0.15 -0.15686   0.2 -0.23958   0.25 -0.33333   0.3 -0.44048  0.35 -0.5641   0.4 -0.70833  0.45 -0.87879    0.5 -1.08333     0.55 -1.33333    0.6 -1.64583   0.65 -2.04762   0.7 -2.58333  0.75 -3.33333   0.8 -4.45833  0.85 -6.33333   0.9 -10.08333  0.95 -21.33333
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0047809     19 0.05 -0.070175  0.1 -0.14815  0.15 -0.23529   0.2 -0.33333   0.25 -0.44444   0.3 -0.57143  0.35 -0.71795  0.4 -0.88889  0.45 -1.09091    0.5 -1.33333     0.55 -1.62963    0.6 -2         0.65 -2.47619   0.7 -3.11111  0.75 -4         0.8 -5.33333  0.85 -7.55556   0.9 -12        0.95 -25.33333
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.0011933     19 0.05 -0.031579  0.1 -0.066667 0.15 -0.10588   0.2 -0.15      0.25 -0.2       0.3 -0.25714  0.35 -0.32308  0.4 -0.4      0.45 -0.49091    0.5 -0.6         0.55 -0.73333    0.6 -0.9       0.65 -1.11429   0.7 -1.4      0.75 -1.8       0.8 -2.4      0.85 -3.4       0.9  -5.4      0.95 -11.4
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.4635        19 0.05 -0.43917   0.1  0.075535 0.15  0.2471    0.2  0.33289   0.25  0.38436   0.3  0.41867  0.35  0.44318  0.4  0.46156  0.45  0.37288    0.5  0.25024     0.55  0.10036    0.6 -0.086999  0.65 -0.32789   0.7 -0.64907  0.75 -1.09873   0.8 -1.77322  0.85 -2.89736   0.9  -5.14565  0.95 -11.89052
V7.0    EC    ECMWF-M4 600000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.60301       19 0.05 -0.19115   0.1  0.28531  0.15  0.44413   0.2  0.52354   0.25  0.57119   0.3  0.60295  0.35  0.52991  0.4  0.44444  0.45  0.34343    0.5  0.22222     0.55  0.074074   0.6 -0.11111   0.65 -0.34921   0.7 -0.66667  0.75 -1.11111   0.8 -1.77778  0.85 -2.88889   0.9  -5.11111  0.95 -11.77778
