VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY     PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL  POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU   CSI_BCL  CSI_BCU  GSS         GSS_BCL    GSS_BCU     HK          HK_NCL    HK_NCU  HK_BCL     HK_BCU     HSS        HSS_BCL    HSS_BCU     ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL  SEDS_NCU SEDS_BCL  SEDS_BCU EDI      EDI_NCL   EDI_NCU  EDI_BCL   EDI_BCU  SEDI     SEDI_NCL  SEDI_NCU SEDI_BCL  SEDI_BCU BAGSS     BAGSS_BCL  BAGSS_BCU
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38745   0.42558  0.68877    0.67041    0.70655    0.6709    0.70704  0.66733 0.64869 0.68546 0.64866 0.68638 1.69599   1.62781   1.76627 0.93842  0.92834  0.94715    0.92292  0.95283 0.48195  0.46248  0.50148  0.45614  0.50599 0.51805    0.49852    0.53752   0.49401   0.54386  0.44669 0.42737 0.46617 0.42359 0.46836 0.53393  0.51441  0.55334   0.51228  0.55739   0.23358     0.21185    0.25719     0.42037     0.40118  0.43956  0.39054    0.44955    0.3787     0.34963    0.40915    14.17634 10.77508 18.65125 11.05427 19.12457  2.65157   2.37724   2.92591   2.40282   2.95097  0.86822  0.83444  0.90199  0.83408  0.90062  0.86822  0.83782   0.89862  0.83545  0.89873  0.32062  0.29913   0.34211  0.2942    0.34794  0.82375  0.7256    0.9219   0.78207   0.86409  0.62559  0.67685   0.97064  0.58976   0.66174  0.30798   0.28621    0.3335
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28345   0.31798  0.49186    0.47237    0.51138    0.4732    0.51131  0.74236 0.72492 0.75906 0.72569 0.75863 1.63889   1.56089   1.72415 0.89021  0.8774   0.90183    0.86842  0.91238 0.67896  0.66046  0.6969   0.6578   0.70029 0.32104    0.3031     0.33954   0.29971   0.3422   0.45682 0.43745 0.47632 0.42893 0.48511 0.50908  0.48956  0.52857   0.48194  0.53569   0.31695     0.29065    0.34448     0.56917     0.5425   0.59584  0.54009    0.59812    0.48134    0.45039    0.51244    17.14805 13.36865 21.9959  13.58924 22.6974   2.84188   2.59291   3.09086   2.60928   3.12225  0.8898   0.86387  0.91572  0.86291  0.9156   0.82378  0.78919   0.85837  0.79037  0.85966  0.44948  0.42199   0.47698  0.4211    0.47839  0.81429  0.74794   0.88065  0.77677   0.85369  0.73837  0.73204   0.89655  0.70739   0.7681   0.33028   0.30415    0.35627
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.18857   0.17377    0.20431    0.17388   0.20406  0.31282    0.29501    0.3312     0.29614   0.33069  0.78603 0.76958 0.8016  0.76896 0.8027  1.65895   1.54229   1.79093 0.76211  0.74509  0.77833    0.72591  0.80041 0.79159  0.77529  0.807    0.77233  0.80937 0.20841    0.193      0.22471   0.19063   0.22767  0.54061 0.5211  0.55999 0.50604 0.57638 0.40178  0.38279  0.42106   0.37013  0.4348    0.28363     0.25211    0.31751     0.55369     0.51127  0.59611  0.51204    0.59565    0.44192    0.40269    0.48199    12.16744  9.60345 15.41596  9.73508 15.62058  2.49876   2.26212   2.7354    2.27573   2.74859  0.84811  0.8149   0.88132  0.81369  0.87967  0.71992  0.67538   0.76447  0.67798  0.76718  0.459    0.42121   0.49679  0.42346   0.49602  0.70469  0.6323    0.77708  0.65717   0.75229  0.71199  0.63309   0.77629  0.66979   0.75253  0.26647   0.23768    0.29907
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.12267   0.11043    0.13606    0.10996   0.13537  0.17507    0.16073    0.1904     0.16117   0.19015  0.83327 0.81821 0.84731 0.81897 0.84716 1.42718   1.28565   1.58644 0.53398  0.51446  0.55339    0.4769   0.58966 0.87511  0.86163  0.88745  0.86177  0.88834 0.12489    0.11255    0.13837   0.11166   0.13823  0.62585 0.60678 0.64454 0.58064 0.67343 0.28205  0.26482  0.29995   0.24376  0.31849   0.2089      0.17217    0.2467      0.40909     0.35004  0.46815  0.34724    0.46796    0.3456     0.29376    0.39576     8.02914  6.21173 10.37828  6.11918 10.4719   2.08308   1.82644   2.33971   1.81143   2.3487   0.77849  0.72794  0.82905  0.71907  0.82566  0.53964  0.4808    0.59848  0.47981  0.60118  0.40914  0.35529   0.46299  0.35715   0.45535  0.53659  0.45706   0.61613  0.46856   0.59949  0.57788  0.45559   0.61759  0.50789   0.64026  0.18999   0.15495    0.22401
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.037316  0.030591   0.04545    0.030171  0.045256 0.049226   0.041443   0.058382   0.041286  0.05796  0.93251 0.92204 0.94167 0.92298 0.94204 1.31915   1.04384   1.68757 0.25532  0.23867  0.27271    0.17643  0.35136 0.95876  0.95027  0.96585  0.9506   0.9665  0.041237   0.034145   0.049726  0.033497  0.049405 0.80645 0.79056 0.82141 0.73552 0.86898 0.12371  0.11142  0.13714   0.082412 0.17205   0.1023      0.061561   0.15077     0.21408     0.12544  0.30273  0.13026    0.31007    0.18561    0.11598    0.26204     7.97143  4.81089 13.20829  4.81508 12.98069  2.07586   1.57088   2.58084   1.57175   2.56346  0.77707  0.67704  0.8771   0.65607  0.85695  0.41325  0.3084    0.5181   0.30063  0.522    0.35373  0.2533    0.45416  0.25928   0.4413   0.40038  0.27862   0.52214  0.28949   0.50612  0.42446  0.27047   0.53028  0.30513   0.53772  0.094476  0.056584   0.13944
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.0095276 0.0064109  0.014138   0.005558  0.013497 0.017864   0.013378   0.023819   0.0131    0.023422 0.9742  0.96725 0.9797  0.96784 0.98016 1.875     1.19969   3.22333 0.083333 0.073164 0.094771   0        0.21429 0.98277  0.9769   0.98716  0.97754  0.98758 0.017234   0.012838   0.023101  0.012419  0.022463 0.95556 0.94679 0.96293 0.88632 1       0.029851 0.023888 0.037246  0        0.076923  0.023603   -0.0065212  0.070061    0.066099   -0.052065 0.18426 -0.019624   0.19586    0.046117  -0.013127   0.13095     5.18393  1.18172 22.74077  0       15.71379  1.64556   0.16697   3.12416   0.63761   2.77599  0.67658  0.27571  1.07746 -1        0.88034  0.3038   0.061448  0.54615  0.13142  0.50714  0.21574 -0.010243  0.44172  0.077944  0.38742  0.24076 -0.024751  0.50627  0.084811  0.4569   0.24745 -0.035844  0.51736  0.086415  0.47574  0.023178  0.0097826  0.063661
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.0035728 0.0018808  0.0067766  0.001191  0.005955 0.0079397  0.0051456  0.012232   0.004764  0.011513 0.98849 0.98352 0.99197 0.98372 0.99246 2.22222   1.05735   5.805   0        0        0.0015227  0        0       0.99203  0.98773  0.99483  0.98843  0.99522 0.0079681  0.005168   0.012267  0.0047849 0.011568 1       0.99848 1       1       1       0        0        0.0015227 0        0        -0.0024701  -0.003626  -0.00106    -0.0079681  -0.15754  0.14161 -0.011568  -0.0047849 -0.0049525 -0.007278  -0.002122    0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA        NA       NA       NA       NA       NA        NA       NA        NA       NA       NA        NA       NA        NA       NA       NA        NA       NA        NA       NA        NA         NA
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0019849 0.00084813 0.0046383  0.000397  0.00397  0.0015879  0.00061768 0.004076   0.000397  0.003573 0.99643 0.99322 0.99812 0.99365 0.99841 0.8       0.14286   4       0        0        0.0015227  0        0       0.99841  0.99592  0.99938  0.99643  0.9996  0.0015911  0.00061945 0.0040806 0.000397  0.003574 1       0.99848 1       1       1       0        0        0.0015227 0        0        -0.00088296 -0.0014923 -0.00019403 -0.0015911  -0.21883  0.21565 -0.003574  -0.000397  -0.0017675 -0.0029886 -0.00038708  0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA        NA       NA       NA       NA       NA        NA       NA        NA       NA       NA        NA       NA        NA       NA       NA        NA       NA        NA       NA        NA         NA
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38744   0.42517  0.68996    0.67162    0.70772    0.67049   0.70782  0.66614 0.64748 0.68429 0.64668 0.68481 1.69892   1.62369   1.77223 0.93842  0.92834  0.94715    0.9219   0.95351 0.47995  0.46048  0.49947  0.45374  0.5056  0.52005    0.50053    0.53952   0.4944    0.54626  0.44764 0.42832 0.46712 0.42393 0.47181 0.53304  0.51352  0.55246   0.50861  0.55682   0.23209     0.20938    0.25566     0.41836     0.39918  0.43755  0.38748    0.44806    0.37674    0.34626    0.40722    14.06292 10.68881 18.50213 10.66628 18.94124  2.64354   2.3692    2.91789   2.36709   2.94134  0.86722  0.83322  0.90123  0.82857  0.89971  0.86822  0.83782   0.89862  0.83405  0.9007   0.31883  0.29736   0.34029  0.29284   0.34615  0.8228   0.72382   0.92177  0.77702   0.86468  0.62365  0.67502   0.97057  0.58223   0.65935  0.30704   0.28293    0.3327
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28265   0.3176   0.4994     0.47989    0.51892    0.47995   0.51887  0.73799 0.72047 0.75479 0.72091 0.75546 1.66402   1.57721   1.75035 0.8955   0.88295  0.90685    0.87268  0.9169  0.67045  0.65184  0.68853  0.64863  0.69342 0.32955    0.31147    0.34816   0.30658   0.35137  0.46184 0.44245 0.48136 0.43452 0.48871 0.50636  0.48684  0.52586   0.4809   0.53222   0.31211     0.28506    0.33879     0.56595     0.53985  0.59205  0.53406    0.59671    0.47573    0.44366    0.50612    17.43424 13.53303 22.46005 13.73999 22.61691  2.85844   2.60513   3.11174   2.62031   3.1187   0.89151  0.86552  0.9175   0.86431  0.91532  0.832    0.79805   0.86595  0.79463  0.86682  0.44444  0.41767   0.47121  0.4151    0.47355  0.81912  0.7519    0.88635  0.78128   0.85541  0.73694  0.73398   0.90426  0.70365   0.76681  0.32936   0.30344    0.35602
