VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6  CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10 CL_11 VALUE_11   CL_12 VALUE_12 CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.42037       19 0.05 -0.31818   0.1  0.10294  0.15  0.24332   0.2  0.3135    0.25  0.35561   0.3  0.38369 0.35  0.40374   0.4  0.41878  0.45  0.31858    0.5  0.18084  0.55  0.01249     0.6 -0.19795  0.65 -0.46851   0.7 -0.82926  0.75 -1.33431   0.8 -2.09189  0.85  -3.35451   0.9  -5.87977  0.95 -13.45552
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.56917       19 0.05 -0.21554   0.1  0.25525  0.15  0.41218   0.2  0.49064   0.25  0.53772   0.3  0.56911 0.35  0.48708   0.4  0.39109  0.45  0.27766    0.5  0.14153  0.55 -0.024838    0.6 -0.2328   0.65 -0.50019   0.7 -0.8567   0.75 -1.35582   0.8 -2.1045   0.85  -3.35229   0.9  -5.84788  0.95 -13.33466
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.55369       19 0.05 -0.25881   0.1  0.29403  0.15  0.47831   0.2  0.53789   0.25  0.46316   0.3  0.37774 0.35  0.27919   0.4  0.16421  0.45  0.028325   0.5 -0.13474  0.55 -0.33404     0.6 -0.58316  0.65 -0.90346   0.7 -1.33053  0.75 -1.92842   0.8 -2.82526  0.85  -4.32      0.9  -7.30947  0.95 -16.27789
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.40909       19 0.05 -0.3629    0.1  0.28869  0.15  0.37636   0.2  0.31068   0.25  0.23625   0.3  0.15118 0.35  0.053025  0.4 -0.061489 0.45 -0.19682    0.5 -0.35922  0.55 -0.55771     0.6 -0.80583  0.65 -1.12483   0.7 -1.55016  0.75 -2.14563   0.8 -3.03883  0.85  -4.52751   0.9  -7.50485  0.95 -16.43689
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.21408       19 0.05  0.19933   0.1  0.13712  0.15  0.067584  0.2 -0.010638  0.25 -0.099291  0.3 -0.20061 0.35 -0.31751   0.4 -0.4539   0.45 -0.61509    0.5 -0.80851  0.55 -1.04492     0.6 -1.34043  0.65 -1.72036   0.7 -2.22695  0.75 -2.93617   0.8 -4        0.85  -5.77305   0.9  -9.31915  0.95 -19.95745
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.066099      19 0.05 -0.010965  0.1 -0.11574  0.15 -0.23284   0.2 -0.36458   0.25 -0.51389   0.3 -0.68452 0.35 -0.88141   0.4 -1.11111  0.45 -1.38258    0.5 -1.70833  0.55 -2.10648     0.6 -2.60417  0.65 -3.24405   0.7 -4.09722  0.75 -5.29167   0.8 -7.08333  0.85 -10.06944   0.9 -16.04167  0.95 -33.95833
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0079681     19 0.05 -0.11696   0.1 -0.24691  0.15 -0.39216   0.2 -0.55556   0.25 -0.74074   0.3 -0.95238 0.35 -1.19658   0.4 -1.48148  0.45 -1.81818    0.5 -2.22222  0.55 -2.71605     0.6 -3.33333  0.65 -4.12698   0.7 -5.18519  0.75 -6.66667   0.8 -8.88889  0.85 -12.59259   0.9 -20        0.95 -42.22222
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.0015911     19 0.05 -0.042105  0.1 -0.088889 0.15 -0.14118   0.2 -0.2       0.25 -0.26667   0.3 -0.34286 0.35 -0.43077   0.4 -0.53333  0.45 -0.65455    0.5 -0.8      0.55 -0.97778     0.6 -1.2      0.65 -1.48571   0.7 -1.86667  0.75 -2.4       0.8 -3.2      0.85  -4.53333   0.9  -7.2      0.95 -15.2
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.41836       19 0.05 -0.32019   0.1  0.10094  0.15  0.24131   0.2  0.3115    0.25  0.35361   0.3  0.38168 0.35  0.40174   0.4  0.41678  0.45  0.31618    0.5  0.17791  0.55  0.0089063   0.6 -0.20235  0.65 -0.47396   0.7 -0.8361   0.75 -1.34311   0.8 -2.10362  0.85  -3.37113   0.9  -5.90616  0.95 -13.51124
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.56595       19 0.05 -0.18094   0.1  0.26716  0.15  0.41652   0.2  0.49121   0.25  0.53602   0.3  0.56589 0.35  0.48168   0.4  0.38316  0.45  0.26671    0.5  0.12698  0.55 -0.043798    0.6 -0.25728  0.65 -0.53175   0.7 -0.89771  0.75 -1.41005   0.8 -2.17857  0.85  -3.45944   0.9  -6.02116  0.95 -13.70635
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.55658       19 0.05 -0.23434   0.1  0.30382  0.15  0.4832    0.2  0.54053   0.25  0.46456   0.3  0.37774 0.35  0.27757   0.4  0.1607   0.45  0.022584   0.5 -0.14316  0.55 -0.34573     0.6 -0.59895  0.65 -0.92451   0.7 -1.3586   0.75 -1.96632   0.8 -2.87789  0.85  -4.39719   0.9  -7.43579  0.95 -16.55158
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.40871       19 0.05 -0.35792   0.1  0.28914  0.15  0.37502   0.2  0.30744   0.25  0.23085   0.3  0.14332 0.35  0.04232   0.4 -0.075512 0.45 -0.21477    0.5 -0.38188  0.55 -0.58612     0.6 -0.84142  0.65 -1.16967   0.7 -1.60734  0.75 -2.22006   0.8 -3.13916  0.85  -4.67098   0.9  -7.73463  0.95 -16.92557
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.20468       19 0.05  0.19037   0.1  0.13002  0.15  0.062578  0.2 -0.013298  0.25 -0.099291  0.3 -0.19757 0.35 -0.31097   0.4 -0.44326  0.45 -0.59961    0.5 -0.78723  0.55 -1.01655     0.6 -1.30319  0.65 -1.67173   0.7 -2.16312  0.75 -2.85106   0.8 -3.88298  0.85  -5.60284   0.9  -9.04255  0.95 -19.3617
V7.0    EC    ECMWF-M4 720000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.066099      19 0.05 -0.010965  0.1 -0.11574  0.15 -0.23284   0.2 -0.36458   0.25 -0.51389   0.3 -0.68452 0.35 -0.88141   0.4 -1.11111  0.45 -1.38258    0.5 -1.70833  0.55 -2.10648     0.6 -2.60417  0.65 -3.24405   0.7 -4.09722  0.75 -5.29167   0.8 -7.08333  0.85 -10.06944   0.9 -16.04167  0.95 -33.95833
