VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN     FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY    PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD      POFD_NCL   POFD_NCU  POFD_BCL   POFD_BCU  FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU   CSI_BCL  CSI_BCU GSS         GSS_BCL    GSS_BCU   HK         HK_NCL    HK_NCU  HK_BCL     HK_BCU    HSS        HSS_BCL    HSS_BCU   ODDS      ODDS_NCL ODDS_NCU   ODDS_BCL ODDS_BCU   LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL   EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL  SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL    EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL   SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38745   0.42558  0.69869   0.68048    0.71629    0.68121   0.71774  0.64073 0.62179 0.65924 0.62247 0.6586  1.72043   1.64506   1.79921 0.91789 0.90652  0.92798   0.90173   0.93426 0.4512   0.43186  0.4707   0.42491  0.47672 0.5488    0.5293     0.56814   0.52328    0.57509   0.46648 0.44706 0.486   0.444   0.48996 0.50922  0.4897   0.52871   0.48666  0.53015  0.19858     0.17761    0.21984   0.36909    0.34722  0.39097  0.33739    0.40034   0.33135    0.30165    0.36044    9.19066  7.19111   11.74621  7.34211   11.97526  2.21819   1.97285   2.46353   1.99363   2.48284  0.80374  0.76032  0.84717  0.76025  0.84586  0.82635  0.79243   0.86027  0.79268  0.86027  0.27652  0.25281   0.30023  0.24987  0.30276  0.7501   0.62865    0.87154  0.70157  0.79919  0.55716  0.59988    0.90031  0.51774  0.59501  0.26776   0.24604   0.29105
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28345   0.31798  0.53871   0.51919    0.5581     0.51886   0.55816  0.69234 0.67403 0.71006 0.67527 0.70981 1.79497   1.70527   1.8938  0.88492 0.87187  0.8968    0.86305   0.9071  0.60976  0.59055  0.62862  0.58768  0.6337  0.39024   0.37138    0.40945   0.3663     0.41232   0.507   0.48748 0.5265  0.48043 0.53289 0.4633   0.44389  0.48281   0.43858  0.48885  0.25246     0.22994    0.27546   0.49468    0.46746  0.52189  0.46391    0.52482   0.40315    0.3739     0.43194   12.01509  9.423     15.32021  9.74366   15.45875  2.48616   2.24315   2.72917   2.27662   2.73817  0.84633  0.81186  0.88081  0.81384  0.87848  0.81558  0.78038   0.85078  0.77948  0.85076  0.37435  0.34771   0.401    0.34802  0.40039  0.77003  0.68448    0.85558  0.72893  0.81277  0.66831  0.66652    0.87354  0.63316  0.70296  0.28152   0.25781   0.30522
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.18857   0.17377    0.20431    0.17388   0.20406  0.32791   0.30985    0.34649    0.31123   0.34458  0.76062 0.74357 0.77688 0.74434 0.7777  1.73895   1.61076   1.88323 0.73474 0.71715  0.75161   0.69617   0.77444 0.76663  0.74972  0.78274  0.74803  0.78487 0.23337   0.21726    0.25028   0.21513    0.25197   0.57748 0.55809 0.59664 0.54425 0.61139 0.3666   0.348    0.3856    0.33615  0.39604  0.24269     0.21468    0.27214   0.50137    0.45741  0.54534  0.45832    0.54683   0.39059    0.35347    0.42785    9.09925  7.24388   11.42982  7.34771   11.65941  2.20819   1.98016   2.43623   1.99439   2.45611  0.80197  0.76128  0.84265  0.76041  0.84201  0.6881   0.64195   0.73425  0.64123  0.73831  0.40818  0.36968   0.44667  0.3733   0.44484  0.6504   0.57015    0.73064  0.59702  0.70418  0.65795  0.57069    0.7301   0.61136  0.70497  0.22898   0.20248   0.25819
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.12267   0.11043    0.13606    0.10996   0.13537  0.1838    0.16916    0.19941    0.16951   0.19889  0.81818 0.80264 0.83276 0.8027  0.83328 1.49838   1.34685   1.67396 0.50809 0.48857  0.52759   0.45307   0.56135 0.86154  0.8475   0.87448  0.84729  0.87586 0.13846   0.12552    0.1525    0.12414    0.15271   0.66091 0.64219 0.67914 0.61605 0.70727 0.25528  0.23864  0.27268   0.21889  0.29018  0.17951     0.14596    0.21402   0.36963    0.31045  0.42881  0.31043    0.42458   0.30438    0.25474    0.35258    6.4269   4.9873     8.28205  4.97934    8.16716  1.86049   1.60689   2.11409   1.6053    2.10012  0.73071  0.67161  0.78981  0.66551  0.78183  0.51207  0.4523    0.57184  0.45121  0.57181  0.36636  0.31235   0.42037  0.31736  0.412    0.4898   0.40644    0.57316  0.42274  0.54991  0.52964  0.40375    0.57585  0.45987  0.59033  0.16213   0.12981   0.19353
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.037316  0.030591   0.04545    0.030171  0.045256 0.057166  0.048756   0.066924   0.048422  0.066693 0.92934 0.91866 0.9387  0.91902 0.93967 1.53191   1.22096   1.93346 0.31915 0.30123  0.33762   0.22725   0.41937 0.95299  0.94401  0.96059  0.94398  0.96119 0.04701   0.039412   0.055988  0.038811   0.056017  0.79167 0.77537 0.80708 0.72184 0.84869 0.14423  0.13105  0.15849   0.10119  0.19445  0.12154     0.080385   0.17003   0.27214    0.17766  0.36661  0.18099    0.37271   0.21673    0.14881    0.29064    9.50247  5.92314   15.24476  5.93657   15.19358  2.25155   1.77887   2.72424   1.78113   2.72087  0.80957  0.72813  0.89101  0.71167  0.87649  0.48443  0.3855    0.58336  0.37776  0.58503  0.38816  0.29564   0.48067  0.3036   0.46872  0.45608  0.33577    0.57638  0.34705  0.55741  0.48608  0.32845    0.58371  0.36949  0.59465  0.10711   0.071329  0.15348
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.0095276 0.0064109  0.014138   0.005558  0.013497 0.026995  0.02135    0.03408    0.02104   0.034141 0.96824 0.96065 0.97441 0.9611  0.97459 2.83333   1.8998    4.73412 0.25    0.23348  0.26728   0.086866  0.43478 0.97515  0.96831  0.98054  0.96829  0.98075 0.02485   0.019456   0.03169   0.019246   0.031708  0.91176 0.90005 0.92222 0.83607 0.97183 0.069767 0.06046  0.080385  0.022721 0.12942  0.062706    0.016085   0.12174   0.22515    0.059776 0.39052  0.061234   0.40795   0.11801    0.031662   0.21705   13.08065  5.02      34.0843   3.74147   31.55626  2.57113   1.61343   3.52884   1.33463   3.45235  0.85796  0.73159  0.98433  0.57819  0.93857  0.54095  0.36416   0.71774  0.32818  0.69924  0.36852  0.21151   0.52553  0.17321  0.49752  0.45434  0.2312     0.67749  0.20987  0.63275  0.47666  0.21821    0.69048  0.21732  0.66518  0.050304  0.015079  0.10114
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.0035728 0.0018808  0.0067766  0.001191  0.005955 0.0075427 0.0048341  0.011751   0.004367  0.011116 0.98968 0.98492 0.99295 0.98531 0.99365 2.11111   1         5.75    0.11111 0.099426 0.12398   0         0.375   0.99283  0.9887   0.99546  0.98925  0.99602 0.0071713 0.0045447  0.011299  0.003982   0.010748  0.94737 0.93795 0.95543 0.8125  1       0.037037 0.030339 0.045145  0        0.12823  0.03461    -0.0030031  0.12408   0.10394   -0.10398  0.31186 -0.0099602  0.36745   0.066904  -0.0060251  0.22077   17.30556  2.05669  145.61359  0         89.18304  2.85103   0.7211    4.98096   2.18122   4.70813  0.89074  0.67075  1.11074 -1        0.97782  0.43888  0.099379  0.77839  0.32605  0.74328  0.34347  0.026481  0.66047  0.26386  0.59453  0.38409  0.0056841  0.7625   0.2914   0.68996  0.39271 -0.0093634  0.77754  0.29652  0.71551  0.027843  0.020059  0.1169
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0019849 0.00084813 0.0046383  0.000397  0.00397  0.0023819 0.0010921  0.0051871  0.000794  0.004367 0.99563 0.9922  0.99756 0.99285 0.99801 1.2       0.25      6       0       0        0.0015227 0         0       0.99761  0.99481  0.9989   0.99562  0.99921 0.0023866 0.0010951  0.0051936 0.00079498 0.004381  1       0.99848 1       1       1       0        0        0.0015227 0        0       -0.0010839  -0.001684  -0.000318 -0.0023866 -0.21963  0.21486 -0.004381  -0.000795 -0.0021701 -0.003374  -0.000636   0       NA         NA        0          0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA        NA       NA       NA       NA       NA        NA       NA       NA       NA       NA         NA       NA       NA       NA       NA         NA       NA       NA       NA        NA        NA
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38744   0.42517  0.70266   0.68451    0.72019    0.68479   0.72053  0.63755 0.61859 0.6561  0.6185  0.65621 1.73021   1.65151   1.81122 0.91887 0.90755  0.9289    0.90091   0.93573 0.44519  0.42588  0.46466  0.42094  0.47047 0.55481   0.53534    0.57412   0.52953    0.57906   0.46893 0.4495  0.48845 0.44387 0.49213 0.50729  0.48777  0.52678   0.48444  0.53097  0.19501     0.17482    0.21679   0.36405    0.34229  0.38581  0.33428    0.39487   0.32638    0.29761    0.35634    9.08753  7.10214   11.62793  7.13151   11.89829  2.2069    1.9604    2.45341   1.96452   2.47639  0.80174  0.75771  0.84576  0.75404  0.84494  0.82832  0.79455   0.8621   0.79063  0.86426  0.27215  0.24865   0.29565  0.24747  0.29845  0.74882  0.62467    0.87297  0.69455  0.79945  0.55246  0.59566    0.90199  0.51061  0.59347  0.26629   0.24301   0.29139
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28265   0.3176   0.54109   0.52158    0.56047    0.52163   0.56094  0.69234 0.67403 0.71006 0.67408 0.7106  1.80291   1.71245   1.90211 0.88889 0.87602  0.90057   0.86464   0.9115  0.60805  0.58884  0.62694  0.58436  0.63024 0.39195   0.37306    0.41116   0.36976    0.41564   0.50697 0.48745 0.52647 0.48132 0.53249 0.46441  0.445    0.48392   0.43974  0.48929  0.25333     0.22986    0.27853   0.49694    0.47014  0.52375  0.46473    0.52946   0.40425    0.37379    0.4357    12.411    9.70296   15.87483  9.70766   16.20825  2.51858   2.27243   2.76474   2.27291   2.78552  0.85087  0.8169   0.88484  0.81322  0.88378  0.82172  0.78698   0.85647  0.7828   0.85769  0.37567  0.34943   0.40191  0.34652  0.40477  0.77659  0.69141    0.86177  0.72856  0.82109  0.67178  0.6721     0.88108  0.63446  0.70831  0.28413   0.26012   0.31014
