VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2   CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7   CL_8 VALUE_8   CL_9 VALUE_9   CL_10 VALUE_10  CL_11 VALUE_11  CL_12 VALUE_12 CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611     0.36909      19 0.05 -0.61564   0.1 -0.054144 0.15  0.13302   0.2  0.2266    0.25  0.28275   0.3  0.32019  0.35  0.34693   0.4  0.36698  0.45  0.26126    0.5  0.11535   0.55 -0.062996   0.6 -0.28592  0.65 -0.57255   0.7 -0.95471  0.75 -1.48974   0.8  -2.29228  0.85  -3.62985   0.9  -6.30499  0.95 -14.3304
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2519 0.30012     0.49468      19 0.05 -0.32785   0.1  0.16563  0.15  0.33012   0.2  0.41237   0.25  0.46171   0.3  0.49461  0.35  0.39489   0.4  0.27822  0.45  0.14033    0.5 -0.025132  0.55 -0.22737    0.6 -0.48016  0.65 -0.80518   0.7 -1.23854  0.75 -1.84524   0.8  -2.75529  0.85  -4.27205   0.9  -7.30556  0.95 -16.40608
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857     0.50137      19 0.05 -0.4046    0.1  0.21184  0.15  0.41732   0.2  0.48368   0.25  0.4       0.3  0.30436  0.35  0.19401   0.4  0.065263 0.45 -0.08689    0.5 -0.26947   0.55 -0.49263    0.6 -0.77158  0.65 -1.13023   0.7 -1.60842  0.75 -2.27789   0.8  -3.28211  0.85  -4.95579   0.9  -8.30316  0.95 -18.34526
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267     0.36963      19 0.05 -0.44525   0.1  0.24253  0.15  0.33333   0.2  0.26052   0.25  0.17799   0.3  0.08368  0.35 -0.025143  0.4 -0.1521   0.45 -0.30215    0.5 -0.4822    0.55 -0.70227    0.6 -0.97735  0.65 -1.33102   0.7 -1.80259  0.75 -2.46278   0.8  -3.45307  0.85  -5.10356   0.9  -8.40453  0.95 -18.30744
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316    0.27214      19 0.05  0.25532   0.1  0.1844   0.15  0.10513   0.2  0.015957  0.25 -0.085106  0.3 -0.20061  0.35 -0.33388   0.4 -0.48936  0.45 -0.67311    0.5 -0.89362   0.55 -1.16312    0.6 -1.5      0.65 -1.93313   0.7 -2.51064  0.75 -3.31915   0.8  -4.53191  0.85  -6.55319   0.9 -10.59574  0.95 -22.7234
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276   0.22515      19 0.05  0.11404   0.1 -0.037037 0.15 -0.20588   0.2 -0.39583   0.25 -0.61111   0.3 -0.85714  0.35 -1.14103   0.4 -1.47222  0.45 -1.86364    0.5 -2.33333   0.55 -2.90741    0.6 -3.625    0.65 -4.54762   0.7 -5.77778  0.75 -7.5       0.8 -10.08333  0.85 -14.38889   0.9 -23        0.95 -48.83333
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728   0.10394      19 0.05  0.005848  0.1 -0.11111  0.15 -0.24183   0.2 -0.38889   0.25 -0.55556   0.3 -0.74603  0.35 -0.96581   0.4 -1.22222  0.45 -1.52525    0.5 -1.88889   0.55 -2.33333    0.6 -2.88889  0.65 -3.60317   0.7 -4.55556  0.75 -5.88889   0.8  -7.88889  0.85 -11.22222   0.9 -17.88889  0.95 -37.88889
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849  -0.0023866    19 0.05 -0.063158  0.1 -0.13333  0.15 -0.21176   0.2 -0.3       0.25 -0.4       0.3 -0.51429  0.35 -0.64615   0.4 -0.8      0.45 -0.98182    0.5 -1.2       0.55 -1.46667    0.6 -1.8      0.65 -2.22857   0.7 -2.8      0.75 -3.6       0.8  -4.8      0.85  -6.8       0.9 -10.8      0.95 -22.8
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611     0.36405      19 0.05 -0.60896   0.1 -0.054144 0.15  0.13079   0.2  0.22326   0.25  0.27874   0.3  0.31573  0.35  0.34215   0.4  0.36197  0.45  0.25504    0.5  0.10753   0.55 -0.072771   0.6 -0.29814  0.65 -0.58791   0.7 -0.97426  0.75 -1.51515   0.8  -2.32649  0.85  -3.67872   0.9  -6.38319  0.95 -14.49658
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012     0.49694      19 0.05 -0.29722   0.1  0.17924  0.15  0.33806   0.2  0.41747   0.25  0.46512   0.3  0.49688  0.35  0.39672   0.4  0.27954  0.45  0.14105    0.5 -0.025132  0.55 -0.22825    0.6 -0.48214  0.65 -0.80858   0.7 -1.24383  0.75 -1.85317   0.8  -2.7672   0.85  -4.29056   0.9  -7.3373   0.95 -16.47751
