VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL F_RATE    H_RATE     O_RATE
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    FHO        2519 0.69869   0.37277    0.40611
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    FHO        2519 0.53871   0.26558    0.30012
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    FHO        2519 0.32791   0.13855    0.18857
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    FHO        2519 0.1838    0.062326   0.12267
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    FHO        2519 0.057166  0.011909   0.037316
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    FHO        2519 0.026995  0.0023819  0.0095276
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    FHO        2519 0.0075427 0.00039698 0.0035728
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    FHO        2519 0.0023819 0          0.0019849
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    FHO        2519 0.70266   0.37316    0.40611
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    FHO        2519 0.54109   0.26677    0.30012
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=5.0       >=5.0      NA         NA    FHO        2519 0.3287    0.14013    0.18857
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=10.0      >=10.0     NA         NA    FHO        2519 0.18857   0.064708   0.12267
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=25.0      >=25.0     NA         NA    FHO        2519 0.054784  0.010719   0.037316
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=50.0      >=50.0     NA         NA    FHO        2519 0.026201  0.0023819  0.0095276
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=75.0      >=75.0     NA         NA    FHO        2519 0.0075427 0.00039698 0.0035728
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=100.0     >=100.0    NA         NA    FHO        2519 0.0019849 0          0.0019849
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=0.1       >=0.1      NA         NA    FHO        2519 0.71139   0.37435    0.40611
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=1         >=1        NA         NA    FHO        2519 0.54029   0.26677    0.30012
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=5.0       >=5.0      NA         NA    FHO        2519 0.3291    0.13934    0.18857
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=10.0      >=10.0     NA         NA    FHO        2519 0.18817   0.064311   0.12267
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=25.0      >=25.0     NA         NA    FHO        2519 0.055975  0.011116   0.037316
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=50.0      >=50.0     NA         NA    FHO        2519 0.026201  0.0023819  0.0095276
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=75.0      >=75.0     NA         NA    FHO        2519 0.0071457 0.00039698 0.0035728
V7.0    EC    ECMWF-M4 840000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    DW_MEAN_SQUARE 9           >=100.0     >=100.0    NA         NA    FHO        2519 0.0027789 0.00039698 0.0019849
