VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL  BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS   FBIAS_BCL FBIAS_BCU PODY    PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL POFD_BCU FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI      CSI_NCL  CSI_NCU   CSI_BCL  CSI_BCU GSS         GSS_BCL    GSS_BCU    HK          HK_NCL     HK_NCU  HK_BCL    HK_BCU    HSS         HSS_BCL    HSS_BCU    ODDS     ODDS_NCL ODDS_NCU ODDS_BCL ODDS_BCU LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS     BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38745   0.42558  0.6848     0.66638    0.70265    0.66613   0.70267  0.67289 0.65431 0.69093 0.65222 0.69035 1.68622   1.61801   1.75863 0.94037  0.93044 0.94897   0.92607   0.95459 0.48997  0.47048  0.5095   0.46262  0.5146  0.51003    0.4905     0.52952   0.4854   0.53738  0.44232 0.42303 0.46179 0.42015 0.46595 0.53863  0.51912  0.55803   0.516    0.56062  0.24087     0.21707    0.26281    0.43034     0.41144   0.44925  0.39969   0.45889   0.38823     0.35672    0.41623   15.15042 11.4742  20.00446 11.82264 20.60411  2.71803   2.4401    2.99596   2.47002   3.02549  0.87616  0.84388  0.90845  0.84403  0.90742  0.87226  0.84225  0.90228  0.84208  0.90292  0.32948  0.30816  0.35079  0.30232  0.35568  0.83265  0.73874  0.92657  0.79329  0.87235  0.63687  0.68817  0.97714  0.60016  0.66988  0.31457   0.29087    0.33944
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28345   0.31798  0.49782    0.47831    0.51733    0.47995   0.51688  0.73482 0.71723 0.75169 0.71813 0.75228 1.65873   1.57123   1.75216 0.88757  0.87464 0.89932   0.86423   0.90968 0.66931  0.6507   0.68742  0.64806  0.69041 0.33069    0.31258    0.3493    0.30959  0.35194  0.46491 0.4455  0.48443 0.4378  0.49174 0.50112  0.48161  0.52063   0.47565  0.52668  0.30608     0.28073    0.33352    0.55688     0.52993   0.58382  0.52762   0.58794   0.4687      0.4384     0.50021   15.9778  12.48713 20.44426 12.81766 20.91677  2.7712    2.5247    3.0177    2.55082   3.04055  0.8822   0.85487  0.90953  0.85526  0.90875  0.81967  0.78477  0.85457  0.78445  0.85563  0.43713  0.40956  0.46469  0.40883  0.46674  0.80541  0.73625  0.87456  0.76712  0.84396  0.72682  0.7204   0.89041  0.6947   0.75801  0.32111   0.29581    0.34886
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.18857   0.17377    0.20431    0.17388   0.20406  0.30528    0.2876     0.32355    0.2886    0.32275  0.78087 0.76429 0.79659 0.76577 0.79794 1.61895   1.50095   1.75235 0.72842  0.71071 0.74543   0.68945   0.76876 0.79305  0.77679  0.80842  0.77563  0.81121 0.20695    0.19158    0.22321   0.18879  0.22437  0.55007 0.53058 0.5694  0.51421 0.58626 0.3853   0.36648  0.40447   0.35307  0.41827  0.26692     0.23637    0.30086    0.52147     0.47718   0.56576  0.47764   0.56776   0.42137     0.38237    0.46256   10.27848  8.17671 12.92051  8.22018 13.21197  2.33005   2.10129   2.55882   2.10659   2.58112  0.82267  0.7857   0.85964  0.78308  0.85927  0.68076  0.63427  0.72725  0.63485  0.72722  0.43807  0.39829  0.47785  0.40133  0.47663  0.66507  0.59068  0.73946  0.61386  0.71788  0.6798   0.5918   0.73833  0.63327  0.72581  0.24874   0.21984    0.28113
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.12267   0.11043    0.13606    0.10996   0.13537  0.17626    0.16188    0.19163    0.16157   0.19175  0.8289  0.8137  0.8431  0.81342 0.84319 1.43689   1.29419   1.60295 0.52104  0.50151 0.5405    0.46338   0.58097 0.87195  0.85833  0.88443  0.85804  0.88612 0.12805    0.11557    0.14167   0.11388  0.14196  0.63739 0.61842 0.65594 0.59432 0.68796 0.27196  0.25494  0.28967   0.23362  0.3085   0.19819     0.16099    0.23519    0.39298     0.33384   0.45212  0.33144   0.45222   0.33082     0.27734    0.38081    7.40729  5.73601  9.56554  5.59239  9.65543  2.00246   1.74676   2.25817   1.72141   2.26752  0.76211  0.70852  0.8157   0.69662  0.8123   0.5259   0.46659  0.58521  0.46157  0.59287  0.3941   0.33991  0.44829  0.33995  0.4421   0.51837  0.43773  0.59902  0.44678  0.58142  0.55929  0.43575  0.601    0.48529  0.6225   0.18005   0.14417    0.21377
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.037316  0.030591   0.04545    0.030171  0.045256 0.062326   0.053536   0.07245    0.053583  0.072648 0.92576 0.91487 0.93537 0.91544 0.93569 1.67021   1.34285   2.13164 0.34043  0.32218 0.35916   0.24702   0.4375  0.94845  0.93912  0.95643  0.93888  0.95665 0.051546   0.043574   0.060884  0.043351 0.061121 0.79618 0.78    0.81145 0.73457 0.85537 0.14612  0.13286  0.16045   0.10138  0.19159  0.12265     0.078484   0.16846    0.28888     0.19291   0.38485  0.19445   0.38271   0.2185      0.14555    0.28834    9.49677  5.97696 15.0894   5.85896 14.8319   2.25095   1.78791   2.71399   1.76797   2.69678  0.80947  0.72964  0.88929  0.70841  0.87367  0.50637  0.40928  0.60346  0.4015   0.60112  0.38888  0.29937  0.4784   0.30087  0.46363  0.46693  0.34568  0.58818  0.35845  0.5624   0.49889  0.33857  0.59529  0.38171  0.60054  0.10586   0.067617   0.14649
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.0095276 0.0064109  0.014138   0.005558  0.013497 0.018261   0.013719   0.024271   0.013497  0.023432 0.97618 0.96946 0.98145 0.96983 0.98135 1.91667   1.23524   3.23167 0.20833  0.19292 0.22463   0.047619  0.38889 0.98357  0.97782  0.98785  0.97836  0.98834 0.016433   0.012154   0.022184  0.011665 0.021643 0.8913  0.87855 0.90287 0.79164 0.97674 0.076923 0.067149 0.087985  0.016116 0.1452   0.070657    0.010944   0.13847    0.1919      0.034962  0.34884  0.028654  0.37261   0.13199     0.021651   0.24326   15.75096  5.61004 44.223    3.14927 41.08333  2.7569    1.72456   3.78925   1.51329   3.7156   0.8806   0.7647   0.9965   0.51798  0.95247  0.4958   0.30831  0.68328  0.27448  0.66532  0.39124  0.21686  0.56562  0.18762  0.53382  0.44739  0.22857  0.6662   0.21471  0.62882  0.46512  0.21672  0.67805  0.21946  0.65631  0.0605    0.0146     0.12671
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.0035728 0.0018808  0.0067766  0.001191  0.005955 0.0079397  0.0051456  0.012232   0.004764  0.011513 0.98849 0.98352 0.99197 0.98411 0.99246 2.22222   1.07111   6.25625 0        0       0.0015227 0         0       0.99203  0.98773  0.99483  0.98844  0.99522 0.0079681  0.005168   0.012267  0.004783 0.011558 1       0.99848 1       1       1       0        0        0.0015227 0        0       -0.0024701  -0.003617  -0.0010597 -0.0079681  -0.15754   0.14161 -0.011558 -0.004783 -0.0049525  -0.007261  -0.0021215  0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA         NA
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0019849 0.00084813 0.0046383  0.000397  0.00397  0.00039698 7.0081e-05 0.0022453  0         0.001191 0.99762 0.99481 0.99891 0.99524 0.99921 0.2       0         1.375   0        0       0.0015227 0         0       0.9996   0.99775  0.99993  0.9988   1       0.00039777 7.0318e-05 0.0022467 0        0.001196 1       0.99848 1       1       1       0        0        0.0015227 0        0       -0.00033093 -0.000867   0         -0.00039777 -0.21764   0.21684 -0.001196  0        -0.00066208 -0.001735   0          0       NA       NA        0        0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA         NA
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.40611   0.38709    0.42542    0.38744   0.42517  0.68757    0.6692     0.70538    0.66892   0.70505  0.67249 0.65391 0.69054 0.65304 0.69076 1.69306   1.61615   1.76795 0.9433   0.93358 0.95168   0.92849   0.95743 0.4873   0.46781  0.50682  0.4618   0.51382 0.5127     0.49318    0.53219   0.48618  0.5382   0.44284 0.42354 0.46231 0.41894 0.46795 0.53911  0.5196   0.5585    0.51371  0.56181  0.24076     0.21755    0.26427    0.4306      0.41213   0.44907  0.40112   0.4589    0.38808     0.35735    0.41805   15.81363 11.90744 21.00123 12.08577 21.45497  2.76087   2.47716   3.04458   2.49203   3.06596  0.88105  0.84931  0.91279  0.84716  0.91093  0.87834  0.84893  0.90775  0.84812  0.90706  0.32957  0.30875  0.35039  0.30293  0.35547  0.83931  0.74597  0.93264  0.79859  0.8766   0.63978  0.69194  0.98667  0.60389  0.67477  0.3176    0.29335    0.3438
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.30012   0.28254    0.31831    0.28265   0.3176   0.4998     0.48029    0.51931    0.48074   0.51886  0.73442 0.71682 0.7513  0.71735 0.75269 1.66534   1.58121   1.75661 0.89021  0.8774  0.90183   0.86569   0.91269 0.66761  0.64897  0.68574  0.64552  0.69087 0.33239    0.31426    0.35103   0.30913  0.35448  0.46545 0.44604 0.48497 0.43636 0.49328 0.50149  0.48198  0.521     0.4738   0.52914  0.30612     0.27946    0.33478    0.55782     0.53116   0.58449  0.5251    0.58927   0.46875     0.43684    0.50163   16.28605 12.70116 20.88278 12.78613 21.3878   2.79031   2.54169   3.03892   2.54836   3.06282  0.8843   0.8572   0.9114   0.85493  0.91067  0.82378  0.78919  0.85837  0.78638  0.85996  0.43735  0.41009  0.46461  0.40744  0.46856  0.809    0.73997  0.87802  0.76767  0.84747  0.72835  0.72333  0.89467  0.6938   0.75941  0.3224    0.29644    0.35
