VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1   CL_2 VALUE_2    CL_3 VALUE_3   CL_4 VALUE_4    CL_5 VALUE_5   CL_6 VALUE_6   CL_7 VALUE_7    CL_8 VALUE_8   CL_9 VALUE_9     CL_10 VALUE_10 CL_11 VALUE_11   CL_12 VALUE_12 CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15 CL_16 VALUE_16 CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.43034       19 0.05 -0.28476   0.1  0.12299   0.15  0.25891   0.2  0.32687   0.25  0.36765   0.3  0.39483  0.35  0.41425    0.4  0.42881  0.45  0.33013      0.5  0.19453  0.55  0.028782    0.6 -0.1784   0.65 -0.44477   0.7 -0.79993  0.75 -1.29717   0.8 -2.04301  0.85  -3.28609   0.9  -5.77224  0.95 -13.23069
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.55688       19 0.05 -0.24674   0.1  0.23539   0.15  0.39611   0.2  0.47646   0.25  0.52467   0.3  0.55682  0.35  0.47232    0.4  0.37346  0.45  0.25661      0.5  0.1164   0.55 -0.054968    0.6 -0.26918  0.65 -0.5446    0.7 -0.91182  0.75 -1.42593   0.8 -2.19709  0.85  -3.48236   0.9  -6.05291  0.95 -13.76455
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         NA    ECLV       2519 0.18857    0.52147       19 0.05 -0.40607   0.1  0.22505   0.15  0.43542   0.2  0.50579   0.25  0.43158   0.3  0.34677  0.35  0.24891    0.4  0.13474  0.45 -0.00019139   0.5 -0.16211  0.55 -0.36        0.6 -0.60737  0.65 -0.92541   0.7 -1.34947  0.75 -1.94316   0.8 -2.83368  0.85  -4.31789   0.9  -7.28632  0.95 -16.19158
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         NA    ECLV       2519 0.12267    0.39298       19 0.05 -0.40045   0.1  0.26923   0.15  0.35941   0.2  0.29207   0.25  0.21575   0.3  0.12853  0.35  0.027882   0.4 -0.089536 0.45 -0.2283       0.5 -0.39482  0.55 -0.59835     0.6 -0.85275  0.65 -1.17984   0.7 -1.61597  0.75 -2.22654   0.8 -3.14239  0.85  -4.66882   0.9  -7.72168  0.95 -16.88026
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         NA    ECLV       2519 0.037316   0.28888       19 0.05  0.27044   0.1  0.19267   0.15  0.10576   0.2  0.0079787 0.25 -0.10284   0.3 -0.22948  0.35 -0.37561    0.4 -0.5461   0.45 -0.74758      0.5 -0.98936  0.55 -1.28487     0.6 -1.65426  0.65 -2.12918   0.7 -2.76241  0.75 -3.64894   0.8 -4.97872  0.85  -7.19504   0.9 -11.62766  0.95 -24.92553
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         NA    ECLV       2519 0.0095276  0.1919        19 0.05  0.11842   0.1  0.018519  0.15 -0.093137  0.2 -0.21875   0.25 -0.36111   0.3 -0.52381  0.35 -0.71154    0.4 -0.93056  0.45 -1.18939      0.5 -1.5      0.55 -1.87963     0.6 -2.35417  0.65 -2.96429   0.7 -3.77778  0.75 -4.91667   0.8 -6.625    0.85  -9.47222   0.9 -15.16667  0.95 -32.25
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         NA    ECLV       2519 0.0035728 -0.0079681     19 0.05 -0.11696   0.1 -0.24691   0.15 -0.39216   0.2 -0.55556   0.25 -0.74074   0.3 -0.95238  0.35 -1.19658    0.4 -1.48148  0.45 -1.81818      0.5 -2.22222  0.55 -2.71605     0.6 -3.33333  0.65 -4.12698   0.7 -5.18519  0.75 -6.66667   0.8 -8.88889  0.85 -12.59259   0.9 -20        0.95 -42.22222
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         NA    ECLV       2519 0.0019849 -0.00039777    19 0.05 -0.010526  0.1 -0.022222  0.15 -0.035294  0.2 -0.05      0.25 -0.066667  0.3 -0.085714 0.35 -0.10769    0.4 -0.13333  0.45 -0.16364      0.5 -0.2      0.55 -0.24444     0.6 -0.3      0.65 -0.37143   0.7 -0.46667  0.75 -0.6       0.8 -0.8      0.85  -1.13333   0.9  -1.8      0.95  -3.8
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         NA    ECLV       2519 0.40611    0.4306        19 0.05 -0.24933   0.1  0.13837   0.15  0.2676    0.2  0.33222   0.25  0.37099   0.3  0.39684  0.35  0.4153     0.4  0.42914  0.45  0.32987      0.5  0.19355  0.55  0.026936    0.6 -0.18133  0.65 -0.4491    0.7 -0.80613  0.75 -1.30596   0.8 -2.05572  0.85  -3.30531   0.9  -5.8045   0.95 -13.30205
V7.0    EC    ECMWF-M4 960000    20180627_000000 20180627_000000 000000   20180626_223000 20180627_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         NA    ECLV       2519 0.30012    0.55782       19 0.05 -0.22689   0.1  0.2439    0.15  0.40083   0.2  0.4793    0.25  0.52638   0.3  0.55776  0.35  0.47283    0.4  0.37346  0.45  0.25601      0.5  0.11508  0.55 -0.057172    0.6 -0.27249  0.65 -0.54932   0.7 -0.91843  0.75 -1.43519   0.8 -2.21032  0.85  -3.5022    0.9  -6.08598  0.95 -13.8373
