VERSION MODEL DESC     FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_LEV OBS_VAR   OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     BASER_NCL BASER_NCU BASER_BCL BASER_BCU FMEAN      FMEAN_NCL  FMEAN_NCU FMEAN_BCL FMEAN_BCU ACC     ACC_NCL ACC_NCU ACC_BCL ACC_BCU FBIAS    FBIAS_BCL FBIAS_BCU PODY    PODY_NCL PODY_NCU  PODY_BCL PODY_BCU PODN    PODN_NCL PODN_NCU PODN_BCL PODN_BCU POFD       POFD_NCL   POFD_NCU  POFD_BCL  POFD_BCU  FAR     FAR_NCL FAR_NCU FAR_BCL FAR_BCU CSI     CSI_NCL CSI_NCU   CSI_BCL CSI_BCU GSS         GSS_BCL    GSS_BCU     HK          HK_NCL    HK_NCU   HK_BCL     HK_BCU    HSS         HSS_BCL    HSS_BCU     ODDS     ODDS_NCL ODDS_NCU  ODDS_BCL ODDS_BCU  LODDS    LODDS_NCL LODDS_NCU LODDS_BCL LODDS_BCU ORSS     ORSS_NCL ORSS_NCU ORSS_BCL ORSS_BCU EDS      EDS_NCL  EDS_NCU  EDS_BCL  EDS_BCU  SEDS     SEDS_NCL SEDS_NCU SEDS_BCL SEDS_BCU EDI      EDI_NCL  EDI_NCU  EDI_BCL  EDI_BCU  SEDI     SEDI_NCL SEDI_NCU SEDI_BCL SEDI_BCU BAGSS    BAGSS_BCL BAGSS_BCU
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=0.1       >=0.1      NA         0.05  CTS        2519 0.4339    0.41466    0.45334  0.41484   0.45217   0.80627    0.79038    0.82123    0.7896   0.82176   0.60064 0.58137 0.61959 0.57999 0.61969 1.85819   1.78943    1.94343 0.96889  0.96137 0.97499    0.95776  0.979   0.31837  0.30047  0.33683  0.29282  0.34422 0.68163    0.66317    0.69953   0.65578   0.70718   0.47858 0.45912 0.49811 0.45776 0.5025  0.51283 0.49331 0.53232   0.48916 0.53396  0.15015     0.1326     0.16785     0.28727     0.27345  0.30108   0.25993    0.31448   0.2611      0.23415    0.28745    14.54811 10.15799  20.83557 10.45047  22.41778  2.67746   2.31826   3.03666   2.34665   3.10985  0.87137  0.82813  0.9146   0.82533  0.91459  0.92706  0.90344  0.95069  0.90226  0.95031  0.21203  0.19717  0.22689  0.18894  0.23457  0.84766  0.67886  1.01646  0.7953   0.89756  0.53233  0.56709  1.12823  0.48891  0.57846  0.3005    0.2757    0.3296
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=1         >=1        NA         0.05  CTS        2519 0.35173   0.33332    0.37059  0.33386   0.36999   0.58237    0.563      0.60149    0.56331  0.60064   0.68996 0.67162 0.70772 0.6713  0.70901 1.65576   1.57997    1.73771 0.88713  0.87418 0.89891    0.86526  0.90695 0.58298  0.56361  0.60209  0.55879  0.60642 0.41702    0.39791    0.43639   0.39358   0.44121   0.46421 0.44481 0.48373 0.43863 0.48942 0.5016  0.48208 0.5211    0.47658 0.52708  0.25691     0.2323     0.28323     0.47011     0.44421  0.49601   0.43782    0.50194   0.4088      0.37702    0.44144    10.98784  8.72873  13.83164  8.78409  14.01608  2.39679   2.16662   2.62696   2.17294   2.64021  0.83316  0.79797  0.86836  0.79559  0.86681  0.79434  0.75816  0.83053  0.75635  0.82822  0.36138  0.33392  0.38883  0.33215  0.39073  0.75912  0.67286  0.84539  0.71335  0.80121  0.64507  0.65499  0.86326  0.60651  0.68085  0.28644   0.26213   0.31192
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=5.0       >=5.0      NA         0.05  CTS        2519 0.2366    0.22041    0.25359  0.21953   0.25288   0.3152     0.29735    0.33362    0.29653  0.33308   0.78404 0.76755 0.79967 0.76854 0.79993 1.33221   1.24996    1.42209 0.70973  0.6917  0.72713    0.67707  0.74423 0.80707  0.7912   0.82201  0.78953  0.82512 0.19293    0.17799    0.2088    0.17488   0.21047   0.46725 0.44784 0.48677 0.4336  0.50251 0.43744 0.41817 0.45689   0.40501 0.46908  0.30179     0.27096    0.33412     0.5168      0.47519  0.55842   0.478      0.55707   0.46366     0.42639    0.50088    10.2285   8.29075  12.61916  8.38306  12.70561  2.32518   2.11514   2.53522   2.12621   2.54204  0.82188  0.7878   0.85596  0.78685  0.85407  0.61567  0.56918  0.66216  0.57022  0.66359  0.45491  0.41304  0.49677  0.41938  0.49089  0.65512  0.5906   0.71963  0.6125   0.69879  0.676    0.59183  0.71841  0.63487  0.71649  0.28199   0.25333   0.31364
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=10.0      >=10.0     NA         0.05  CTS        2519 0.16713   0.15307    0.1822   0.15204   0.18142   0.18222    0.16763    0.19777    0.16713  0.19651   0.84915 0.83464 0.86259 0.83605 0.86306 1.09026   0.99755    1.18817 0.59382  0.57452 0.61285    0.54878  0.63983 0.90038  0.88807  0.91147  0.88846  0.91402 0.099619   0.088526   0.11193   0.085981  0.11154   0.45534 0.43597 0.47484 0.40624 0.49795 0.39683 0.37789 0.41607   0.36006 0.43721  0.3132      0.27749    0.35583     0.49421     0.443    0.54542   0.44757    0.54264   0.477       0.43443    0.52488    13.21386 10.38048  16.8206  10.65035  17.21543  2.58127   2.33993   2.8226    2.36559   2.84581  0.85929  0.82772  0.89086  0.82833  0.8902   0.5488   0.49583  0.60176  0.49604  0.60164  0.51139  0.45971  0.56308  0.47265  0.55556  0.63137  0.57073  0.692    0.58413  0.67879  0.67335  0.57162  0.69111  0.62662  0.71995  0.30348   0.26842   0.34776
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=25.0      >=25.0     NA         0.05  CTS        2519 0.083763  0.073568   0.095226 0.073829  0.094889  0.068678   0.059444   0.079225   0.05915  0.078603  0.93013 0.91951 0.93945 0.91981 0.93966 0.81991   0.71097    0.94331 0.49289  0.47339 0.51241    0.42184  0.55887 0.9701   0.9627   0.97607  0.96338  0.97664 0.029896   0.023928   0.037296  0.023364  0.036619  0.39884 0.37989 0.41811 0.32941 0.4699  0.37143 0.35277 0.39048   0.31437 0.42637  0.33712     0.28066    0.39248     0.46299     0.39311  0.53288   0.39276    0.53039   0.50425     0.4383     0.56372    31.53948 21.9852   45.24584 22.42969  45.51858  3.45124   3.09037   3.81211   3.11039   3.81812  0.93854  0.91704  0.96004  0.91464  0.95701  0.55606  0.48924  0.62288  0.48287  0.62475  0.61836  0.54887  0.68786  0.56449  0.66874  0.66451  0.59991  0.72911  0.60345  0.71878  0.70049  0.59968  0.72933  0.63831  0.75427  0.37393   0.3115    0.43865
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=50.0      >=50.0     NA         0.05  CTS        2519 0.040889  0.033829   0.049347 0.03295   0.048829  0.032553   0.026303   0.040226   0.025804 0.039698  0.96705 0.95934 0.97334 0.95991 0.97341 0.79612   0.65517    0.96251 0.49515  0.47564 0.51466    0.40404  0.59407 0.98717  0.98197  0.99088  0.98261  0.99131 0.012831   0.009119   0.018027  0.0086878 0.017392  0.37805 0.35931 0.39716 0.28    0.48053 0.3806  0.36183 0.39973   0.30232 0.46668  0.3647      0.28624    0.45075     0.48231     0.38544  0.57919   0.39206    0.58148   0.53448     0.44509    0.62141    75.45596 44.67466 127.44589 45.92618 131.23906  4.32355   3.79941   4.84769   3.82703   4.87702  0.97384  0.96031  0.98737  0.95738  0.98488  0.63952  0.55754  0.7215   0.55668  0.71843  0.69798  0.61308  0.78289  0.63348  0.75814  0.72211  0.64522  0.799    0.65027  0.78857  0.75124  0.64548  0.79873  0.67812  0.81772  0.41055   0.32268   0.5093
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=75.0      >=75.0     NA         0.05  CTS        2519 0.01707   0.012698   0.022913 0.012296  0.022231  0.011909   0.0083549  0.01695    0.00794  0.016673  0.98134 0.97528 0.98594 0.97578 0.9865  0.69767   0.46663    1       0.30233  0.2847  0.32055    0.16211  0.44126 0.99313  0.98907  0.99569  0.98951  0.99597 0.0068659  0.0043082  0.010925  0.0040289 0.010488  0.56667 0.54723 0.5859  0.3871  0.75678 0.21667 0.20102 0.23318   0.10938 0.31885  0.20992     0.10479    0.311       0.29546     0.16172  0.4292    0.15309    0.4352    0.347       0.18971    0.47445    62.68039 27.97066 140.46262 24.627   139.24362  4.13805   3.33116   4.94494   3.20384   4.93622  0.96859  0.94365  0.99354  0.92196  0.98574  0.54573  0.41247  0.67899  0.38864  0.6686   0.61408  0.47493  0.75324  0.46413  0.71125  0.6127   0.48183  0.74357  0.45865  0.72416  0.63231  0.477    0.7484   0.47244  0.74486  0.26078   0.13651   0.39289
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    NEAREST        1           >=100.0     >=100.0    NA         0.05  CTS        2519 0.0071457 0.0045248  0.011267 0.00397   0.010322  0.0015879  0.00061768 0.004076   0.000397 0.003573  0.99127 0.98681 0.99423 0.9873  0.99484 0.22222   0.045455   0.55573 0        0       0.0015227  0        0       0.9984   0.99591  0.99938  0.99641  0.9996  0.0015994  0.00062409 0.0040924 0.000399  0.0035941 1       0.99848 1       1       1       0       0       0.0015227 0       0       -0.0013009  -0.002362  -0.000371   -0.0015994  -0.089542 0.086344 -0.003594  -0.000399 -0.0026052  -0.004735  -0.000742    0       NA        NA        0         0       NA        NA        NA        NA        NA       -1       NA       NA       -1       -1       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA       NA        NA        NA
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=0.1       >=0.1      NA         0.05  CTS        2519 0.4339    0.41466    0.45334  0.41485   0.45454   0.81183    0.7961     0.82661    0.79713  0.82731   0.59905 0.57977 0.61802 0.57959 0.6189  1.871     1.79364    1.95123 0.97347  0.96643 0.97906    0.9638   0.98323 0.31206  0.29427  0.33043  0.28803  0.33523 0.68794    0.66957    0.70573   0.66477   0.71197   0.47971 0.46024 0.49923 0.45722 0.50171 0.51302 0.49349 0.5325    0.49113 0.53572  0.14888     0.13257    0.16703     0.28553     0.27271  0.29834   0.26018    0.31329   0.25917     0.2341     0.28625    16.64312 11.31897  24.47159 11.80015  27.00094  2.812     2.42648   3.19751   2.46811   3.29587  0.88664  0.84542  0.92787  0.84375  0.92857  0.9376   0.91559  0.9596   0.91605  0.95905  0.21068  0.19694  0.22443  0.18998  0.23364  0.86586  0.70018  1.03155  0.8174   0.91473  0.5413   0.56467  1.16705  0.49873  0.5916   0.3093    0.28428   0.34141
V7.0    EC    ECMWF-M4 360000    20180724_000000 20180724_000000 000000   20180723_223000 20180724_013000 APCP_24  A24      AccPrecip Z2      ADPSFC FULL    MEDIAN_SQUARE  9           >=1         >=1        NA         0.05  CTS        2519 0.35173   0.33332    0.37059  0.33267   0.37119   0.58912    0.56979    0.60819    0.56927  0.60819   0.68638 0.66799 0.70421 0.66892 0.70426 1.67494   1.60173    1.75329 0.89165  0.87891 0.90319    0.87049  0.91124 0.57502  0.55561  0.59419  0.55202  0.59963 0.42498    0.40581    0.44439   0.40037   0.44798   0.46765 0.44823 0.48717 0.44295 0.49188 0.5     0.48049 0.51951   0.47628 0.52414  0.25333     0.23021    0.27806     0.46666     0.44122  0.49211   0.43504    0.49735   0.40426     0.37427    0.43513    11.13428  8.81599  14.06219  8.89503  14.18715  2.41003   2.17657   2.64349   2.18549   2.65234  0.83518  0.79987  0.87049  0.79788  0.86831  0.8022   0.76652  0.83787  0.76416  0.83795  0.3574   0.33053  0.38427  0.3294   0.38632  0.76363  0.6759   0.85136  0.71773  0.80471  0.64334  0.65635  0.87091  0.60663  0.6782   0.28635   0.26193   0.31097
