ecmwf  2018050100  0.4865	gfs  2018050100  0.5075	pwafs15  2018050100  0.4813	warms  2018050100  0.4799
ecmwf  2018050200  0.5772	gfs  2018050200  0.6117	pwafs15  2018050200  0.5787	warms  2018050200  0.6204
ecmwf  2018050300  0.4939	gfs  2018050300  0.4844	pwafs15  2018050300  0.5394	warms  2018050300  0.5603
ecmwf  2018050400  0.6365	gfs  2018050400  0.6174	pwafs15  2018050400  0.6652	warms  2018050400  nan
ecmwf  2018050500  0.6194	gfs  2018050500  0.5476	pwafs15  2018050500  0.6171	warms  2018050500  0.5985
ecmwf  2018050600  0.651	gfs  2018050600  0.6254	pwafs15  2018050600  0.6205	warms  2018050600  nan
ecmwf  2018050700  0.6557	gfs  2018050700  0.6586	pwafs15  2018050700  0.6835	warms  2018050700  0.6921
ecmwf  2018050800  0.5017	gfs  2018050800  0.5144	pwafs15  2018050800  0.5496	warms  2018050800  0.5458
ecmwf  2018050900  0.5472	gfs  2018050900  0.5685	pwafs15  2018050900  0.5606	warms  2018050900  0.6159
ecmwf  2018051000  0.6705	gfs  2018051000  0.6466	pwafs15  2018051000  0.6037	warms  2018051000  0.6437
ecmwf  2018051100  0.6605	gfs  2018051100  0.6205	pwafs15  2018051100  0.5793	warms  2018051100  0.6605
ecmwf  2018051200  0.5236	gfs  2018051200  0.5331	pwafs15  2018051200  0.5228	warms  2018051200  0.501
ecmwf  2018051300  0.5747	gfs  2018051300  nan	pwafs15  2018051300  0.5969	warms  2018051300  0.5849
ecmwf  2018051400  0.4615	gfs  2018051400  nan	pwafs15  2018051400  0.3588	warms  2018051400  0.4143
ecmwf  2018051500  0.1862	gfs  2018051500  nan	pwafs15  2018051500  0.2115	warms  2018051500  0.2574
ecmwf  2018051600  0.3726	gfs  2018051600  0.392	pwafs15  2018051600  0.3794	warms  2018051600  0.5411
ecmwf  2018051700  0.4079	gfs  2018051700  nan	pwafs15  2018051700  0.4087	warms  2018051700  0.5086
ecmwf  2018051800  0.4015	gfs  2018051800  nan	pwafs15  2018051800  0.3774	warms  2018051800  0.3975
ecmwf  2018051900  0.4975	gfs  2018051900  0.5113	pwafs15  2018051900  0.4619	warms  2018051900  0.5566
ecmwf  2018052000  0.5913	gfs  2018052000  0.6245	pwafs15  2018052000  0.4918	warms  2018052000  0.6984
ecmwf  2018052100  0.5356	gfs  2018052100  0.5731	pwafs15  2018052100  0.5744	warms  2018052100  0.6079
ecmwf  2018052200  0.6605	gfs  2018052200  0.6853	pwafs15  2018052200  0.679	warms  2018052200  0.7569
ecmwf  2018052300  0.6513	gfs  2018052300  0.6868	pwafs15  2018052300  0.6522	warms  2018052300  0.6761
ecmwf  2018052400  0.3281	gfs  2018052400  nan	pwafs15  2018052400  0.3525	warms  2018052400  0.392
ecmwf  2018052500  0.4339	gfs  2018052500  nan	pwafs15  2018052500  0.3728	warms  2018052500  0.4463
ecmwf  2018052600  0.5737	gfs  2018052600  nan	pwafs15  2018052600  0.529	warms  2018052600  0.6368
ecmwf  2018052700  0.6118	gfs  2018052700  nan	pwafs15  2018052700  0.6098	warms  2018052700  0.6147
ecmwf  2018052800  0.6264	gfs  2018052800  nan	pwafs15  2018052800  0.6536	warms  2018052800  0.6576
ecmwf  2018052900  0.4016	gfs  2018052900  nan	pwafs15  2018052900  0.4239	warms  2018052900  0.3922
ecmwf  2018053000  0.6056	gfs  2018053000  nan	pwafs15  2018053000  0.5992	warms  2018053000  0.6181
ecmwf  2018053100  0.7055	gfs  2018053100  0.7094	pwafs15  2018053100  0.6793	warms  2018053100  nan
ecmwf  2018060100  0.673	gfs  2018060100  0.6615	pwafs15  2018060100  0.6884	warms  2018060100  0.6922
ecmwf  2018060200  0.603	gfs  2018060200  0.5854	pwafs15  2018060200  0.5302	warms  2018060200  0.6302
