ecmwf  2018050100  0.2293	gfs  2018050100  0.2269	pwafs15  2018050100  0.1591	warms  2018050100  0.1351
ecmwf  2018050200  0.3322	gfs  2018050200  0.3355	pwafs15  2018050200  0.2941	warms  2018050200  0.3175
ecmwf  2018050300  0.3178	gfs  2018050300  0.3439	pwafs15  2018050300  0.3479	warms  2018050300  0.3091
ecmwf  2018050400  0.386	gfs  2018050400  0.3973	pwafs15  2018050400  0.4067	warms  2018050400  nan
ecmwf  2018050500  0.1661	gfs  2018050500  0.1289	pwafs15  2018050500  0.1671	warms  2018050500  0.1856
ecmwf  2018050600  0.4473	gfs  2018050600  0.4068	pwafs15  2018050600  0.3892	warms  2018050600  nan
ecmwf  2018050700  0.5359	gfs  2018050700  0.5086	pwafs15  2018050700  0.4521	warms  2018050700  0.4934
ecmwf  2018050800  0.545	gfs  2018050800  0.5012	pwafs15  2018050800  0.5435	warms  2018050800  0.4624
ecmwf  2018050900  0.3836	gfs  2018050900  0.379	pwafs15  2018050900  0.3578	warms  2018050900  0.3789
ecmwf  2018051000  0.2802	gfs  2018051000  0.1801	pwafs15  2018051000  0.2482	warms  2018051000  0.1906
ecmwf  2018051100  0.3068	gfs  2018051100  0.2447	pwafs15  2018051100  0.2587	warms  2018051100  0.2449
ecmwf  2018051200  0.257	gfs  2018051200  0.2801	pwafs15  2018051200  0.2604	warms  2018051200  0.2593
ecmwf  2018051300  0.2457	gfs  2018051300  nan	pwafs15  2018051300  0.2308	warms  2018051300  0.2098
ecmwf  2018051400  0.0543	gfs  2018051400  nan	pwafs15  2018051400  0.0988	warms  2018051400  0.1149
ecmwf  2018051500  0.0196	gfs  2018051500  nan	pwafs15  2018051500  0.0974	warms  2018051500  0.1129
ecmwf  2018051600  0.365	gfs  2018051600  0.306	pwafs15  2018051600  0.3613	warms  2018051600  0.4474
ecmwf  2018051700  0.3698	gfs  2018051700  nan	pwafs15  2018051700  0.3179	warms  2018051700  0.3789
ecmwf  2018051800  0.2836	gfs  2018051800  nan	pwafs15  2018051800  0.1566	warms  2018051800  0.2683
ecmwf  2018051900  0.2732	gfs  2018051900  0.2696	pwafs15  2018051900  0.2692	warms  2018051900  0.2921
ecmwf  2018052000  0.1936	gfs  2018052000  0.1783	pwafs15  2018052000  0.1566	warms  2018052000  0.1693
ecmwf  2018052100  0.2929	gfs  2018052100  0.177	pwafs15  2018052100  0.325	warms  2018052100  0.2296
ecmwf  2018052200  0.4011	gfs  2018052200  0.2764	pwafs15  2018052200  0.3836	warms  2018052200  0.3905
ecmwf  2018052300  0.4168	gfs  2018052300  0.3695	pwafs15  2018052300  0.2964	warms  2018052300  0.3321
ecmwf  2018052400  0.0492	gfs  2018052400  nan	pwafs15  2018052400  0.0504	warms  2018052400  0.0825
ecmwf  2018052500  0.3173	gfs  2018052500  nan	pwafs15  2018052500  0.2525	warms  2018052500  0.2875
ecmwf  2018052600  0.5635	gfs  2018052600  nan	pwafs15  2018052600  0.4863	warms  2018052600  0.4331
ecmwf  2018052700  0.3577	gfs  2018052700  nan	pwafs15  2018052700  0.314	warms  2018052700  0.3799
ecmwf  2018052800  0.1568	gfs  2018052800  nan	pwafs15  2018052800  0.2512	warms  2018052800  0.2026
ecmwf  2018052900  0.3791	gfs  2018052900  nan	pwafs15  2018052900  0.268	warms  2018052900  0.3319
ecmwf  2018053000  0.3521	gfs  2018053000  nan	pwafs15  2018053000  0.398	warms  2018053000  0.2668
ecmwf  2018053100  0.5648	gfs  2018053100  0.5027	pwafs15  2018053100  0.5	warms  2018053100  nan
ecmwf  2018060100  0.3893	gfs  2018060100  0.3478	pwafs15  2018060100  0.3162	warms  2018060100  0.302
ecmwf  2018060200  0.248	gfs  2018060200  0.2401	pwafs15  2018060200  0.2371	warms  2018060200  0.268
ecmwf  2018060300  0.3086	gfs  2018060300  0.3148	pwafs15  2018060300  0.3276	warms  2018060300  0.2113
ecmwf  2018060400  0.3712	gfs  2018060400  0.3405	pwafs15  2018060400  0.3693	warms  2018060400  0.3665
ecmwf  2018060500  0.3949	gfs  2018060500  0.3765	pwafs15  2018060500  0.3525	warms  2018060500  nan
ecmwf  2018060600  0.577	gfs  2018060600  0.5374	pwafs15  2018060600  0.5094	warms  2018060600  0.5754
ecmwf  2018060700  0.4526	gfs  2018060700  0.4829	pwafs15  2018060700  0.4253	warms  2018060700  0.4271
